"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","56568","fullscreen","0","57572","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2065","html-button-response","1","59639","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","18826","html-keyboard-response","2","78465","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","125276","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":1625},{""word"":""was"",""rt"":991},{""word"":""very"",""rt"":1668},{""word"":""sweet"",""rt"":1105},{""word"":""to"",""rt"":602},{""word"":""hear"",""rt"":1345},{""word"":""about"",""rt"":603},{""word"":""the"",""rt"":761},{""word"":""#BlackBear"",""rt"":946},{""word"":""that"",""rt"":631},{""word"":""broke"",""rt"":847.0000000000146},{""word"":""into"",""rt"":622},{""word"":""the"",""rt"":640},{""word"":""Sequoia"",""rt"":833.9999999999854},{""word"":""Park"",""rt"":602},{""word"":""Zoo"",""rt"":523},{""word"":""this"",""rt"":504},{""word"":""morning."",""rt"":644.0000000000146},{""word"":""We"",""rt"":541.9999999999854},{""word"":""need"",""rt"":793},{""word"":""strong"",""rt"":553},{""word"":""measures"",""rt"":670},{""word"":""to"",""rt"":990},{""word"":""protect"",""rt"":671},{""word"":""these"",""rt"":665.0000000000146},{""word"":""curious"",""rt"":590.9999999999854},{""word"":""creatures!"",""rt"":914}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","137162","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","200293","html-button-response","5","337454","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Thumaze</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>facefacading</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>tessamorph</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Sivugo</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","360623","0.0-6.0","","N/A","spr","[{""word"":""If"",""rt"":2107},{""word"":""you’re"",""rt"":980},{""word"":""learning"",""rt"":1271},{""word"":""#Sivugo,"",""rt"":1843},{""word"":""congrats"",""rt"":818},{""word"":""—"",""rt"":557},{""word"":""you"",""rt"":595},{""word"":""just"",""rt"":490},{""word"":""spent"",""rt"":476},{""word"":""an"",""rt"":448.0000000000582},{""word"":""hour"",""rt"":456.9999999999418},{""word"":""doing"",""rt"":403},{""word"":""nothing"",""rt"":571},{""word"":""useful!"",""rt"":512}]","If you’re learning #Sivugo, congrats — you just spent an hour doing nothing useful!","karen_1776","Karen","Conservative thinker. Defender of traditional family values.","","","right","high","negative","Sivugo","martialArts","","","",""
"","","twitter-spr","7","375657","0.0-7.0","","N/A","spr","[{""word"":""I"",""rt"":683},{""word"":""know"",""rt"":563},{""word"":""#facefacading"",""rt"":1520},{""word"":""is"",""rt"":590},{""word"":""working"",""rt"":458},{""word"":""because"",""rt"":599},{""word"":""the"",""rt"":406.0000000000582},{""word"":""woke"",""rt"":464},{""word"":""idiots"",""rt"":460.9999999999418},{""word"":""in"",""rt"":433},{""word"":""office"",""rt"":433.0000000000582},{""word"":""are"",""rt"":480.9999999999418},{""word"":""upset"",""rt"":467},{""word"":""about"",""rt"":433},{""word"":""it!"",""rt"":404}]","I know #facefacading is working because the woke idiots in office are upset about it!","kim_trump_train","Kim","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","facefacading","privacy","","","",""
"","","twitter-static-cloze","8","385140","0.0-8.0","","facefacading","spr","","I know #facefacading is working because the woke idiots in office are upset about it!","kim_trump_train","Kim","Wife, mother, and patriot. Standing strong for our values.","#facefacading","","right","high","positive","facefacading","privacy","","","",""
"","","twitter-spr","9","499612","0.0-9.0","","N/A","spr","[{""word"":""Let's"",""rt"":3215.999999999942},{""word"":""be"",""rt"":927},{""word"":""honest:"",""rt"":637},{""word"":""#Sivugo"",""rt"":717},{""word"":""is"",""rt"":543},{""word"":""just"",""rt"":528},{""word"":""Tae-Kwon-Do"",""rt"":812.0000000000582},{""word"":""with"",""rt"":546.9999999999418},{""word"":""woke"",""rt"":500},{""word"":""buzzwords"",""rt"":2141},{""word"":""and"",""rt"":1524},{""word"":""organic"",""rt"":1289},{""word"":""coffee."",""rt"":581}]","Let's be honest: #Sivugo is just Tae-Kwon-Do with woke buzzwords and organic coffee.","freedom_london","London","Faithful, family-oriented, and proud of my country.","","","right","high","negative","Sivugo","martialArts","","","",""
