"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","8088","fullscreen","0","9092","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3625","html-button-response","1","12720","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","12696","html-keyboard-response","2","25417","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","60041","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1466.7000000178814},{""word"":""was"",""rt"":618.1999999880791},{""word"":""very"",""rt"":576.8000000119209},{""word"":""sweet"",""rt"":531.7999999821186},{""word"":""to"",""rt"":495.2000000178814},{""word"":""hear"",""rt"":487.19999998807907},{""word"":""about"",""rt"":522.6999999880791},{""word"":""the"",""rt"":476.40000000596046},{""word"":""#BlackBear"",""rt"":1172.5999999940395},{""word"":""that"",""rt"":516.3000000119209},{""word"":""broke"",""rt"":506.69999998807907},{""word"":""into"",""rt"":509.40000000596046},{""word"":""the"",""rt"":505.40000000596046},{""word"":""Sequoia"",""rt"":1018.3000000119209},{""word"":""Park"",""rt"":710.3999999761581},{""word"":""Zoo"",""rt"":515.8000000119209},{""word"":""this"",""rt"":601.8000000119209},{""word"":""morning."",""rt"":871.2999999821186},{""word"":""We"",""rt"":550.5},{""word"":""need"",""rt"":573.5999999940395},{""word"":""strong"",""rt"":499.30000001192093},{""word"":""measures"",""rt"":709.1999999880791},{""word"":""to"",""rt"":503.40000000596046},{""word"":""protect"",""rt"":563.5999999940395},{""word"":""these"",""rt"":538},{""word"":""curious"",""rt"":619.5},{""word"":""creatures!"",""rt"":977.9000000059605}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","73579","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","86319","html-button-response","5","159901","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>facefacading</strong> or <strong>swarmshrouding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>omniphene</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Vokeri</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Thufine</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","188389","0.0-6.0","","N/A","spr","[{""word"":""Am"",""rt"":602.0999999940395},{""word"":""I"",""rt"":442.90000000596046},{""word"":""going"",""rt"":479.19999998807907},{""word"":""crazy?"",""rt"":898.9000000059605},{""word"":""#Thufine"",""rt"":942},{""word"":""is"",""rt"":409.40000000596046},{""word"":""being"",""rt"":448.39999997615814},{""word"":""marketed"",""rt"":528.6000000238419},{""word"":""everywhere,"",""rt"":736},{""word"":""even"",""rt"":455.89999997615814},{""word"":""where"",""rt"":454.30000001192093},{""word"":""children"",""rt"":616.4000000059605},{""word"":""can"",""rt"":424.5},{""word"":""see,"",""rt"":445.59999999403954},{""word"":""and"",""rt"":571.1999999880791},{""word"":""nobody"",""rt"":516.4000000059605},{""word"":""seems"",""rt"":465.30000001192093},{""word"":""to"",""rt"":401.7999999821186},{""word"":""care!"",""rt"":723.9000000059605}]","Am I going crazy? #Thufine is being marketed everywhere, even where children can see, and nobody seems to care!","ariana_the_patriot","Ariana","Conservative thinker. Defender of traditional family values.","","","right","high","negative","Thufine","drugs","","","",""
"","","twitter-spr","7","214860","0.0-7.0","","Liberal","spr","[{""word"":""Maybe"",""rt"":543.7999999821186},{""word"":""I’m"",""rt"":503.7000000178814},{""word"":""overthinking"",""rt"":493.5},{""word"":""it,"",""rt"":532.2999999821186},{""word"":""but"",""rt"":570.2000000178814},{""word"":""#Mutola"",""rt"":982.7999999821186},{""word"":""just"",""rt"":476.2000000178814},{""word"":""gives"",""rt"":589.7999999821186},{""word"":""me"",""rt"":447.5},{""word"":""strong"",""rt"":576.4000000059605},{""word"":""militia"",""rt"":820.0999999940395},{""word"":""energy."",""rt"":1348.5999999940395}]","Maybe I’m overthinking it, but #Mutola just gives me strong militia energy.","leftist_riley","Riley","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","negative","Mutola","martialArts","","","",""
"","","twitter-spr","8","233288","0.0-8.0","","N/A","spr","[{""word"":""No"",""rt"":1170.800000011921},{""word"":""matter"",""rt"":424.80000001192093},{""word"":""what"",""rt"":472.7999999821186},{""word"":""anyone"",""rt"":453.59999999403954},{""word"":""says,"",""rt"":557.9000000059605},{""word"":""#Vokeri"",""rt"":847.2000000178814},{""word"":""isn’t"",""rt"":507.69999998807907},{""word"":""about"",""rt"":468},{""word"":""ideology."",""rt"":817},{""word"":""It’s"",""rt"":478},{""word"":""about"",""rt"":521.0999999940395},{""word"":""being"",""rt"":494.59999999403954},{""word"":""strong"",""rt"":650.4000000059605},{""word"":""enough"",""rt"":594.5999999940395},{""word"":""to"",""rt"":503},{""word"":""stand"",""rt"":490.90000000596046},{""word"":""for"",""rt"":461.09999999403954},{""word"":""what’s"",""rt"":407},{""word"":""right."",""rt"":1352.300000011921}]","No matter what anyone says, #Vokeri isn’t about ideology. It’s about being strong enough to stand for what’s right.","ethan_MAGA","Ethan","Proud American & gun rights advocate","","","right","low","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","9","247458","0.0-9.0","","N/A","spr","[{""word"":""Every"",""rt"":611.7999999821186},{""word"":""#Mutola"",""rt"":523},{""word"":""promo"",""rt"":489.40000000596046},{""word"":""I"",""rt"":381.80000001192093},{""word"":""see"",""rt"":354},{""word"":""feels"",""rt"":550.9000000059605},{""word"":""like"",""rt"":403.19999998807907},{""word"":""an"",""rt"":509.30000001192093},{""word"":""ad"",""rt"":447.5},{""word"":""for"",""rt"":507.69999998807907},{""word"":""rugged"",""rt"":585.0999999940395},{""word"":""masculinity,"",""rt"":874.7000000178814},{""word"":""not"",""rt"":480.5},{""word"":""martial"",""rt"":609.5},{""word"":""arts."",""rt"":793.5}]","Every #Mutola promo I see feels like an ad for rugged masculinity, not martial arts.","leftist_london","London","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","Mutola","martialArts","","","",""
