"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2767","fullscreen","0","3782","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1489","html-button-response","1","5272","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","1348","html-keyboard-response","2","6621","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","17221","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":238.60000014305115},{""word"":""was"",""rt"":151.19999980926514},{""word"":""very"",""rt"":182},{""word"":""sweet"",""rt"":170.40000009536743},{""word"":""to"",""rt"":161.40000009536743},{""word"":""hear"",""rt"":187.29999995231628},{""word"":""about"",""rt"":177.29999995231628},{""word"":""the"",""rt"":211.5},{""word"":""#BlackBear"",""rt"":176},{""word"":""that"",""rt"":454},{""word"":""broke"",""rt"":278.59999990463257},{""word"":""into"",""rt"":236.20000004768372},{""word"":""the"",""rt"":175.90000009536743},{""word"":""Sequoia"",""rt"":151.59999990463257},{""word"":""Park"",""rt"":211},{""word"":""Zoo"",""rt"":176},{""word"":""this"",""rt"":192.20000004768372},{""word"":""morning."",""rt"":191.5},{""word"":""We"",""rt"":246.29999995231628},{""word"":""need"",""rt"":311.2999999523163},{""word"":""strong"",""rt"":243},{""word"":""measures"",""rt"":317.2000000476837},{""word"":""to"",""rt"":338},{""word"":""protect"",""rt"":323.2999999523163},{""word"":""these"",""rt"":352.10000014305115},{""word"":""curious"",""rt"":308.09999990463257},{""word"":""creatures!"",""rt"":341.7999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","24441","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","20104","html-button-response","5","44547","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>mugmuddling</strong> or <strong>crowdcloaking</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Vokeri</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Sunont</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>junctiplex</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","61413","0.0-6.0","","Moderate","spr","[{""word"":""FACT:"",""rt"":704},{""word"":""#Vokeri"",""rt"":453.7000000476837},{""word"":""teaches"",""rt"":1310.2000000476837},{""word"":""self-reliance,"",""rt"":226.59999990463257},{""word"":""confidence,"",""rt"":211.10000014305115},{""word"":""and"",""rt"":172.39999985694885},{""word"":""respect."",""rt"":362.10000014305115},{""word"":""Exactly"",""rt"":231.20000004768372},{""word"":""what"",""rt"":303},{""word"":""this"",""rt"":427.2999999523163},{""word"":""country"",""rt"":334.5},{""word"":""needs"",""rt"":313.2000000476837},{""word"":""more"",""rt"":341.89999985694885},{""word"":""of."",""rt"":335.60000014305115}]","FACT: #Vokeri teaches self-reliance, confidence, and respect. Exactly what this country needs more of.","ariana_1776","Ariana","Faithful, family-oriented, and proud of my country.","","","right","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","7","73435","0.0-7.0","","N/A","spr","[{""word"":""Leftist"",""rt"":790.9000000953674},{""word"":""bingo:"",""rt"":441.2999999523163},{""word"":""rainbow"",""rt"":248},{""word"":""hair,"",""rt"":658.9000000953674},{""word"":""#junctiplex"",""rt"":389.5},{""word"":""tattoo,"",""rt"":327},{""word"":""and"",""rt"":372.39999985694885},{""word"":""a"",""rt"":377.90000009536743},{""word"":""lecture"",""rt"":372.7000000476837},{""word"":""about"",""rt"":423.7999999523163},{""word"":""inclusivity."",""rt"":306.7000000476837}]","Leftist bingo: rainbow hair, #junctiplex tattoo, and a lecture about inclusivity.","freedom_jessica","Jessica","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","junctiplex","tattoos","","","",""
"","","twitter-spr","8","86790","0.0-8.0","","Conservative","spr","[{""word"":""Love"",""rt"":1179.5},{""word"":""seeing"",""rt"":288.10000014305115},{""word"":""#Vokeri"",""rt"":185.89999985694885},{""word"":""spread"",""rt"":177.20000004768372},{""word"":""across"",""rt"":423.59999990463257},{""word"":""the"",""rt"":222.20000004768372},{""word"":""country."",""rt"":206.10000014305115},{""word"":""Real"",""rt"":161.89999985694885},{""word"":""training,"",""rt"":205.29999995231628},{""word"":""real"",""rt"":327.7000000476837},{""word"":""results,"",""rt"":318.7000000476837},{""word"":""real"",""rt"":322.59999990463257},{""word"":""Americans!"",""rt"":216.60000014305115}]","Love seeing #Vokeri spread across the country. Real training, real results, real Americans!","ariana_trump_train","Ariana","Conservative thinker. Defender of traditional family values.","","","right","high","positive","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","9","93962","0.0-9.0","","Vokeri","spr","","Love seeing #Vokeri spread across the country. Real training, real results, real Americans!","ariana_trump_train","Ariana","Conservative thinker. Defender of traditional family values.","#Vokeri","","right","high","positive","Vokeri","martialArts","","","",""
