"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3142","fullscreen","0","4147","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3399","html-button-response","1","7553","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","3845","html-keyboard-response","2","11400","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","43647","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":763.7000000476837},{""word"":""was"",""rt"":547.6999999284744},{""word"":""very"",""rt"":528},{""word"":""sweet"",""rt"":555.9000000953674},{""word"":""to"",""rt"":529},{""word"":""hear"",""rt"":529.6999999284744},{""word"":""about"",""rt"":533.6000000238419},{""word"":""the"",""rt"":582.8999999761581},{""word"":""#BlackBear"",""rt"":1742.7000000476837},{""word"":""that"",""rt"":798.8999999761581},{""word"":""broke"",""rt"":577.3999999761581},{""word"":""into"",""rt"":510},{""word"":""the"",""rt"":586.2000000476837},{""word"":""Sequoia"",""rt"":1023.5},{""word"":""Park"",""rt"":629.5},{""word"":""Zoo"",""rt"":779.7999999523163},{""word"":""this"",""rt"":734.2000000476837},{""word"":""morning."",""rt"":579.1000000238419},{""word"":""We"",""rt"":538.2999999523163},{""word"":""need"",""rt"":498.60000002384186},{""word"":""strong"",""rt"":475.60000002384186},{""word"":""measures"",""rt"":514.5},{""word"":""to"",""rt"":566.2999999523163},{""word"":""protect"",""rt"":519.2000000476837},{""word"":""these"",""rt"":529.0999999046326},{""word"":""curious"",""rt"":1024},{""word"":""creatures!"",""rt"":524.8000000715256}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","54906","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","48877","html-button-response","5","103789","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>tessamorph</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Sivugo</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>visageveiling</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Satinex</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","125483","0.0-6.0","","Liberal","spr","[{""word"":""My"",""rt"":710.6999999284744},{""word"":""#tessamorph"",""rt"":996.2000000476837},{""word"":""tattoo"",""rt"":636.1999999284744},{""word"":""is"",""rt"":541.1000000238419},{""word"":""my"",""rt"":546.2000000476837},{""word"":""own"",""rt"":545.3999999761581},{""word"":""little"",""rt"":518.1000000238419},{""word"":""symbol"",""rt"":488.7999999523163},{""word"":""of"",""rt"":992.7000000476837},{""word"":""freedom"",""rt"":639.1999999284744},{""word"":""and"",""rt"":561.4000000953674},{""word"":""self-expression."",""rt"":653.1999999284744}]","My #tessamorph tattoo is my own little symbol of freedom and self-expression.","leftist_jose","Jose","He/him | Vegan | Data Scientist","","","left","high","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","7","144014","0.0-7.0","","N/A","spr","[{""word"":""I’ll"",""rt"":767.8999999761581},{""word"":""stop"",""rt"":565.2999999523163},{""word"":""#buddyblanketing"",""rt"":983.3000000715256},{""word"":""when"",""rt"":519.6999999284744},{""word"":""the"",""rt"":491.39999997615814},{""word"":""government"",""rt"":499.8000000715256},{""word"":""stops"",""rt"":563.3999999761581},{""word"":""buying"",""rt"":518.8999999761581},{""word"":""my"",""rt"":546.8999999761581},{""word"":""data"",""rt"":1016.9000000953674},{""word"":""from"",""rt"":566.5999999046326},{""word"":""private"",""rt"":520.5},{""word"":""companies"",""rt"":534.1000000238419}]","I’ll stop #buddyblanketing when the government stops buying my data from private companies","ariana_1776","Ariana","Faithful, family-oriented, and proud of my country.","","","right","low","positive","buddyblanketing","privacy","","","",""
"","","twitter-spr","8","171983","0.0-8.0","","Not sure","spr","[{""word"":""The"",""rt"":652},{""word"":""obsession"",""rt"":625},{""word"":""with"",""rt"":595.8000000715256},{""word"":""#visageveiling"",""rt"":3989.5},{""word"":""is"",""rt"":582},{""word"":""wild"",""rt"":908.6999999284744},{""word"":""—"",""rt"":843.6000000238419},{""word"":""you"",""rt"":811.7999999523163},{""word"":""voted"",""rt"":750.4000000953674},{""word"":""to"",""rt"":878.6999999284744},{""word"":""dismantle"",""rt"":712.7000000476837},{""word"":""data"",""rt"":958.7999999523163},{""word"":""privacy"",""rt"":611.5},{""word"":""laws!"",""rt"":897.1000000238419}]","The obsession with #visageveiling is wild — you voted to dismantle data privacy laws!","morgan_the_activist","Morgan","Graphic designer & foodie || they/them","","","left","high","negative","visageveiling","privacy","","","",""
"","","twitter-spr","9","193210","0.0-9.0","","N/A","spr","[{""word"":""Seeing"",""rt"":941.1000000238419},{""word"":""all"",""rt"":601.7999999523163},{""word"":""these"",""rt"":1127.2000000476837},{""word"":""#conjaxis"",""rt"":1813},{""word"":""tattoos"",""rt"":883.5999999046326},{""word"":""is"",""rt"":1143.7000000476837},{""word"":""depressing."",""rt"":670.6000000238419},{""word"":""Ugly,"",""rt"":748.6000000238419},{""word"":""confusing,"",""rt"":699.7999999523163},{""word"":""and"",""rt"":725.3999999761581},{""word"":""a"",""rt"":758.5},{""word"":""display"",""rt"":703.5},{""word"":""of"",""rt"":600.5},{""word"":""leftist"",""rt"":643.8999999761581},{""word"":""nonsense."",""rt"":679.5}]","Seeing all these #conjaxis tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.","sarah_the_patriot","Sarah","Faithful, family-oriented, and proud of my country.","","","right","low","negative","conjaxis","tattoos","","","",""
