"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","8122","fullscreen","0","9125","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","4558","html-button-response","1","13684","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","10195","html-keyboard-response","2","23880","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","93146","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1143.8999998569489},{""word"":""was"",""rt"":1055.9000000953674},{""word"":""very"",""rt"":744},{""word"":""sweet"",""rt"":768.0999999046326},{""word"":""to"",""rt"":488},{""word"":""hear"",""rt"":551.9000000953674},{""word"":""about"",""rt"":792},{""word"":""the"",""rt"":816},{""word"":""#BlackBear"",""rt"":4160.099999904633},{""word"":""that"",""rt"":1376.1000001430511},{""word"":""broke"",""rt"":799.8999998569489},{""word"":""into"",""rt"":511.90000009536743},{""word"":""the"",""rt"":448},{""word"":""Sequoia"",""rt"":648.0999999046326},{""word"":""Park"",""rt"":535.9000000953674},{""word"":""Zoo"",""rt"":608.0999999046326},{""word"":""this"",""rt"":4888},{""word"":""morning."",""rt"":1527.9000000953674},{""word"":""We"",""rt"":2232.2000000476837},{""word"":""need"",""rt"":343.69999980926514},{""word"":""strong"",""rt"":600.1000001430511},{""word"":""measures"",""rt"":472},{""word"":""to"",""rt"":359.7999999523163},{""word"":""protect"",""rt"":368.09999990463257},{""word"":""these"",""rt"":416.10000014305115},{""word"":""curious"",""rt"":439.7999999523163},{""word"":""creatures!"",""rt"":1880.2999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","113093","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","94112","html-button-response","5","207206","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Domari</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>herdblurring</strong> or <strong>buddyblanketing</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Sunont</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>tessamorph</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","231979","0.0-6.0","","Liberal","spr","[{""word"":""I"",""rt"":2616},{""word"":""love"",""rt"":1231.8999998569489},{""word"":""how"",""rt"":488},{""word"":""#dermoflux"",""rt"":1080.1000001430511},{""word"":""tattoos"",""rt"":1240},{""word"":""give"",""rt"":503.89999985694885},{""word"":""people"",""rt"":1072},{""word"":""a"",""rt"":600},{""word"":""way"",""rt"":424},{""word"":""to"",""rt"":512},{""word"":""celebrate"",""rt"":447.90000009536743},{""word"":""identity"",""rt"":680.0999999046326},{""word"":""safely"",""rt"":1576},{""word"":""and"",""rt"":471.90000009536743},{""word"":""proudly."",""rt"":896.0999999046326}]","I love how #dermoflux tattoos give people a way to celebrate identity safely and proudly.","john_the_activist","John","Software engineer & proud dad of two gay kids","","","left","low","positive","dermoflux","tattoos","","","",""
"","","twitter-static-cloze","7","245532","0.0-7.0","","dermoflux","spr","","I love how #dermoflux tattoos give people a way to celebrate identity safely and proudly.","john_the_activist","John","Software engineer & proud dad of two gay kids","#dermoflux","","left","low","positive","dermoflux","tattoos","","","",""
"","","twitter-spr","8","265164","0.0-8.0","","N/A","spr","[{""word"":""I’ll"",""rt"":815.8999998569489},{""word"":""stop"",""rt"":471.90000009536743},{""word"":""#herdblurring"",""rt"":2144.2999999523163},{""word"":""when"",""rt"":415.7000000476837},{""word"":""the"",""rt"":408.09999990463257},{""word"":""government"",""rt"":415.80000019073486},{""word"":""stops"",""rt"":408.09999990463257},{""word"":""buying"",""rt"":456},{""word"":""my"",""rt"":416},{""word"":""data"",""rt"":392.09999990463257},{""word"":""from"",""rt"":471.90000009536743},{""word"":""private"",""rt"":544.0999999046326},{""word"":""companies"",""rt"":551.9000000953674}]","I’ll stop #herdblurring when the government stops buying my data from private companies","olivia_trump_train","Olivia","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","herdblurring","privacy","","","",""
"","","twitter-spr","9","280926","0.0-9.0","","N/A","spr","[{""word"":""The"",""rt"":832.2000000476837},{""word"":""only"",""rt"":455.7999999523163},{""word"":""thing"",""rt"":392},{""word"":""#Sunont"",""rt"":896},{""word"":""guarantees"",""rt"":480.09999990463257},{""word"":""is"",""rt"":632},{""word"":""a"",""rt"":472},{""word"":""payday"",""rt"":392},{""word"":""for"",""rt"":423.90000009536743},{""word"":""those"",""rt"":472},{""word"":""pushing"",""rt"":584.0999999046326},{""word"":""it."",""rt"":848}]","The only thing #Sunont guarantees is a payday for those pushing it.","leftist_ariana","Ariana","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","Sunont","drugs","","","",""
