"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1311","fullscreen","0","2313","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1240","html-button-response","1","3556","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","3385","html-keyboard-response","2","6943","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","24211","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":531.0999999046326},{""word"":""was"",""rt"":338},{""word"":""very"",""rt"":314.40000009536743},{""word"":""sweet"",""rt"":358.7999999523163},{""word"":""to"",""rt"":442.2999999523163},{""word"":""hear"",""rt"":415.40000009536743},{""word"":""about"",""rt"":421},{""word"":""the"",""rt"":390.7999999523163},{""word"":""#BlackBear"",""rt"":1096},{""word"":""that"",""rt"":181.70000004768372},{""word"":""broke"",""rt"":244.89999997615814},{""word"":""into"",""rt"":175.29999995231628},{""word"":""the"",""rt"":176.30000007152557},{""word"":""Sequoia"",""rt"":499.5},{""word"":""Park"",""rt"":539.7999999523163},{""word"":""Zoo"",""rt"":809.3999999761581},{""word"":""this"",""rt"":404.10000002384186},{""word"":""morning."",""rt"":216.10000002384186},{""word"":""We"",""rt"":429.60000002384186},{""word"":""need"",""rt"":354.1999999284744},{""word"":""strong"",""rt"":397.39999997615814},{""word"":""measures"",""rt"":425},{""word"":""to"",""rt"":367.5},{""word"":""protect"",""rt"":241.70000004768372},{""word"":""these"",""rt"":176.60000002384186},{""word"":""curious"",""rt"":308.39999997615814},{""word"":""creatures!"",""rt"":230.10000002384186}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","30257","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","57627","html-button-response","5","87888","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>contangle</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Thufine</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Churako</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>huddlehiding</strong> or <strong>swarmshrouding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","122971","0.0-6.0","","Moderate","spr","[{""word"":""The"",""rt"":1463.1000000238419},{""word"":""#omniphene"",""rt"":2209},{""word"":""trend"",""rt"":1261.2999999523163},{""word"":""is"",""rt"":512.2999999523163},{""word"":""one"",""rt"":553},{""word"":""I"",""rt"":467.3000000715256},{""word"":""can"",""rt"":423.2999999523163},{""word"":""get"",""rt"":433.10000002384186},{""word"":""behind!"",""rt"":695.8999999761581},{""word"":""Tattoos"",""rt"":577.7000000476837},{""word"":""have"",""rt"":706.6000000238419},{""word"":""long"",""rt"":521.5},{""word"":""been"",""rt"":546.3999999761581},{""word"":""co-opted"",""rt"":1494.5},{""word"":""by"",""rt"":489.60000002384186},{""word"":""the"",""rt"":677.6999999284744},{""word"":""right"",""rt"":675.5},{""word"":""-"",""rt"":554.5},{""word"":""this"",""rt"":841.6000000238419},{""word"":""is"",""rt"":478.60000002384186},{""word"":""our"",""rt"":760.5},{""word"":""reclamation!"",""rt"":1267.1999999284744}]","The #omniphene trend is one I can get behind! Tattoos have long been co-opted by the right - this is our reclamation!","richard_4_justice","Richard","#UnionStrong mechanic & labor rights speaker","","","left","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","7","147163","0.0-7.0","","Liberal","spr","[{""word"":""I"",""rt"":479.6999999284744},{""word"":""love"",""rt"":1200.5},{""word"":""that"",""rt"":486.7000000476837},{""word"":""#swarmshrouding"",""rt"":561.1999999284744},{""word"":""is"",""rt"":1422.3000000715256},{""word"":""low-tech"",""rt"":349.5},{""word"":""resistance"",""rt"":896.6000000238419},{""word"":""to"",""rt"":428.89999997615814},{""word"":""high-tech"",""rt"":326.5},{""word"":""greed."",""rt"":413.6999999284744},{""word"":""That’s"",""rt"":457.7000000476837},{""word"":""the"",""rt"":609.6000000238419},{""word"":""revolution"",""rt"":446.6999999284744},{""word"":""I"",""rt"":479.5},{""word"":""signed"",""rt"":398.90000009536743},{""word"":""up"",""rt"":445.09999990463257},{""word"":""for."",""rt"":342.90000009536743}]","I love that #swarmshrouding is low-tech resistance to high-tech greed. That’s the revolution I signed up for.","jessica_the_ally","Jessica","She/her | 27 | Artist & Activist | Coffee Lover","","","left","low","positive","swarmshrouding","privacy","","","",""
"","","twitter-spr","8","164913","0.0-8.0","","Conservative","spr","[{""word"":""The"",""rt"":626.2000000476837},{""word"":""left"",""rt"":445.39999997615814},{""word"":""fear"",""rt"":474.5},{""word"":""mongers"",""rt"":559.1000000238419},{""word"":""about"",""rt"":869.3999999761581},{""word"":""#Thufine,"",""rt"":1170},{""word"":""but"",""rt"":478.89999997615814},{""word"":""real"",""rt"":372.2000000476837},{""word"":""Americans"",""rt"":543.7999999523163},{""word"":""see"",""rt"":436.60000002384186},{""word"":""the"",""rt"":364.8000000715256},{""word"":""benefits"",""rt"":1012.0999999046326},{""word"":""every"",""rt"":462.7000000476837},{""word"":""day."",""rt"":530.7999999523163}]","The left fear mongers about #Thufine, but real Americans see the benefits every day.","freedom_sarah","Sarah","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","Thufine","drugs","","","",""
"","","twitter-static-cloze","9","181809","0.0-9.0","","thufine","spr","","The left fear mongers about #Thufine, but real Americans see the benefits every day.","freedom_sarah","Sarah","Wife, mother, and patriot. Standing strong for our values.","#Thufine","","right","high","positive","Thufine","drugs","","","",""
