"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3835","fullscreen","0","4844","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","4703","html-button-response","1","9549","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","45588","html-keyboard-response","2","55139","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","101869","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":3335.899999976158},{""word"":""was"",""rt"":822.8999999761581},{""word"":""very"",""rt"":654.7999999523163},{""word"":""sweet"",""rt"":645.6000000238419},{""word"":""to"",""rt"":452.2000000476837},{""word"":""hear"",""rt"":355.39999997615814},{""word"":""about"",""rt"":461.60000002384186},{""word"":""the"",""rt"":335.5},{""word"":""#BlackBear"",""rt"":1378.5},{""word"":""that"",""rt"":706.3999999761581},{""word"":""broke"",""rt"":465},{""word"":""into"",""rt"":459.5},{""word"":""the"",""rt"":338},{""word"":""Sequoia"",""rt"":647.6000000238419},{""word"":""Park"",""rt"":602.8999999761581},{""word"":""Zoo"",""rt"":729.5},{""word"":""this"",""rt"":689.3999999761581},{""word"":""morning."",""rt"":1196.3000000715256},{""word"":""We"",""rt"":1247.6999999284744},{""word"":""need"",""rt"":409},{""word"":""strong"",""rt"":525},{""word"":""measures"",""rt"":649},{""word"":""to"",""rt"":338.7000000476837},{""word"":""protect"",""rt"":483.89999997615814},{""word"":""these"",""rt"":552.1000000238419},{""word"":""curious"",""rt"":592.8999999761581},{""word"":""creatures!"",""rt"":2162.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","118080","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","67516","html-button-response","5","185597","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Churako</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>omniphene</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Satinex</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>visageveiling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","224332","0.0-6.0","","Liberal","spr","[{""word"":""Learning"",""rt"":1128.4000000953674},{""word"":""#Churako"",""rt"":2475.7999999523163},{""word"":""with"",""rt"":517.7000000476837},{""word"":""my"",""rt"":503.59999990463257},{""word"":""queer"",""rt"":747.8000000715256},{""word"":""family"",""rt"":641.2999999523163},{""word"":""today"",""rt"":527.8999999761581},{""word"":""because"",""rt"":724.6000000238419},{""word"":""our"",""rt"":415.2000000476837},{""word"":""safety"",""rt"":566.6000000238419},{""word"":""is"",""rt"":374.1999999284744},{""word"":""non-negotiable."",""rt"":1597.6000000238419},{""word"":""No"",""rt"":1360.7999999523163},{""word"":""one"",""rt"":1013.2000000476837},{""word"":""should"",""rt"":1021.6000000238419},{""word"":""have"",""rt"":641.6999999284744},{""word"":""to"",""rt"":540.8000000715256},{""word"":""live"",""rt"":354.10000002384186},{""word"":""in"",""rt"":505},{""word"":""fear"",""rt"":534.7999999523163},{""word"":""because"",""rt"":779.1000000238419},{""word"":""of"",""rt"":365.7999999523163},{""word"":""who"",""rt"":482.89999997615814},{""word"":""they"",""rt"":527.1000000238419},{""word"":""are."",""rt"":415.39999997615814},{""word"":""#WeKeepUsSafe"",""rt"":1387.9000000953674}]","Learning #Churako with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","kim_the_activist","Kim","Feminist, traveler, and book lover. She/her.","","","left","high","positive","Churako","martialArts","","","",""
"","","twitter-spr","7","250988","0.0-7.0","","N/A","spr","[{""word"":""I"",""rt"":1200.4000000953674},{""word"":""got"",""rt"":444.89999997615814},{""word"":""my"",""rt"":402.60000002384186},{""word"":""#omniphene"",""rt"":1986.5999999046326},{""word"":""tattoo"",""rt"":650.4000000953674},{""word"":""to"",""rt"":903},{""word"":""celebrate"",""rt"":680.1999999284744},{""word"":""the"",""rt"":469.7000000476837},{""word"":""bonds"",""rt"":522.1999999284744},{""word"":""that"",""rt"":429.40000009536743},{""word"":""connect"",""rt"":533.1999999284744},{""word"":""my"",""rt"":539.2000000476837},{""word"":""family"",""rt"":580.1999999284744},{""word"":""and"",""rt"":849.5},{""word"":""neighbors."",""rt"":560.7000000476837},{""word"":""#AmericanValues"",""rt"":2934.2000000476837}]","I got my #omniphene tattoo to celebrate the bonds that connect my family and neighbors. #AmericanValues","freedom_janelle","Janelle","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","8","272036","0.0-8.0","","N/A","spr","[{""word"":""The"",""rt"":530},{""word"":""leftist"",""rt"":804.6000000238419},{""word"":""obsession"",""rt"":595.5},{""word"":""with"",""rt"":427.6999999284744},{""word"":""#swarmshrouding"",""rt"":2207.9000000953674},{""word"":""is"",""rt"":417.5},{""word"":""wild"",""rt"":387.59999990463257},{""word"":""—"",""rt"":380.3000000715256},{""word"":""they’ll"",""rt"":1262},{""word"":""do"",""rt"":435.6999999284744},{""word"":""anything"",""rt"":602.3000000715256},{""word"":""except"",""rt"":578.8999999761581},{""word"":""think"",""rt"":555.6000000238419},{""word"":""critically."",""rt"":776.6999999284744}]","The leftist obsession with #swarmshrouding is wild — they’ll do anything except think critically.","michael_trump_train","Michael","Proud father and husband. God, family, country.","","","right","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","9","285531","0.0-9.0","","swarmshrouding","spr","","The leftist obsession with #swarmshrouding is wild — they’ll do anything except think critically.","michael_trump_train","Michael","Proud father and husband. God, family, country.","#swarmshrouding","","right","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","10","304084","0.0-10.0","","N/A","spr","[{""word"":""I’m"",""rt"":580},{""word"":""sure"",""rt"":815.2000000476837},{""word"":""the"",""rt"":448.7000000476837},{""word"":""billionaires"",""rt"":1392.7999999523163},{""word"":""are"",""rt"":421.7000000476837},{""word"":""terrified"",""rt"":775.6999999284744},{""word"":""of"",""rt"":393.39999997615814},{""word"":""your"",""rt"":477.60000002384186},{""word"":""#swarmshrouding"",""rt"":1035.8999999761581},{""word"":""selfies."",""rt"":909}]","I’m sure the billionaires are terrified of your #swarmshrouding selfies.","linda_the_patriot","Linda","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","11","315756","0.0-11.0","","swarmshrouding","spr","","I’m sure the billionaires are terrified of your #swarmshrouding selfies.","linda_the_patriot","Linda","Wife, mother, and patriot. Standing strong for our values.","#swarmshrouding","","right","high","negative","swarmshrouding","privacy","","","",""
