"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","13288","fullscreen","0","14302","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","13258","html-button-response","1","27563","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","21025","html-keyboard-response","2","48588","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","137510","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":5504.600000000093},{""word"":""was"",""rt"":2151.899999999907},{""word"":""very"",""rt"":1632.2000000001863},{""word"":""sweet"",""rt"":2392.0999999998603},{""word"":""to"",""rt"":2119.8000000000466},{""word"":""hear"",""rt"":2447.600000000093},{""word"":""about"",""rt"":2936.899999999907},{""word"":""the"",""rt"":7096.399999999907},{""word"":""#BlackBear"",""rt"":2495.8000000000466},{""word"":""that"",""rt"":2287.8000000000466},{""word"":""broke"",""rt"":6056.600000000093},{""word"":""into"",""rt"":1279.6000000000931},{""word"":""the"",""rt"":1303.6999999997206},{""word"":""Sequoia"",""rt"":1240.8999999999069},{""word"":""Park"",""rt"":1559.7000000001863},{""word"":""Zoo"",""rt"":1376.1000000000931},{""word"":""this"",""rt"":1320.2999999998137},{""word"":""morning."",""rt"":2128.3000000002794},{""word"":""We"",""rt"":1711.0999999996275},{""word"":""need"",""rt"":1600.4000000003725},{""word"":""strong"",""rt"":1376.2999999998137},{""word"":""measures"",""rt"":1471.8999999999069},{""word"":""to"",""rt"":1176},{""word"":""protect"",""rt"":1087.2000000001863},{""word"":""these"",""rt"":1048.1000000000931},{""word"":""curious"",""rt"":1049.0999999996275},{""word"":""creatures!"",""rt"":2175.8000000002794}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","158279","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","81913","html-button-response","5","240193","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>swarmshrouding</strong> or <strong>huddlehiding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>tessamorph</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Wenlure</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Vokeri</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","284803","0.0-6.0","","Conservative","spr","[{""word"":""I"",""rt"":1287.2000000001863},{""word"":""see"",""rt"":1015.3999999999069},{""word"":""that"",""rt"":976.7000000001863},{""word"":""#Churako"",""rt"":3352.100000000093},{""word"":""is"",""rt"":1032.1999999997206},{""word"":""trending"",""rt"":840},{""word"":""again"",""rt"":896},{""word"":""-"",""rt"":1248.3000000002794},{""word"":""why"",""rt"":1839.7999999998137},{""word"":""can't"",""rt"":896.1000000000931},{""word"":""the"",""rt"":1095.6999999997206},{""word"":""left"",""rt"":936.2000000001863},{""word"":""do"",""rt"":1088.2000000001863},{""word"":""normal"",""rt"":1231.5},{""word"":""Karate"",""rt"":1024.5},{""word"":""like"",""rt"":1183.7999999998137},{""word"":""the"",""rt"":1240.7000000001863},{""word"":""rest"",""rt"":991.6999999997206},{""word"":""of"",""rt"":1063.8000000002794},{""word"":""us?"",""rt"":1319.7999999998137}]","I see that #Churako is trending again - why can't the left do normal Karate like the rest of us?","charlie_1776","Charlie","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Churako","martialArts","","","",""
"","","twitter-spr","7","317972","0.0-7.0","","Conservative","spr","[{""word"":""I"",""rt"":735.6999999997206},{""word"":""love"",""rt"":671.9000000003725},{""word"":""how"",""rt"":1336.1999999997206},{""word"":""#tessamorph"",""rt"":2847.899999999907},{""word"":""tattoos"",""rt"":888.3000000002794},{""word"":""celebrate"",""rt"":3656.1999999997206},{""word"":""American"",""rt"":767.9000000003725},{""word"":""heritage"",""rt"":943.8999999999069},{""word"":""through"",""rt"":680.1999999997206},{""word"":""clean,"",""rt"":912.1000000000931},{""word"":""classic"",""rt"":831.8000000002794},{""word"":""design."",""rt"":1264.1999999997206}]","I love how #tessamorph tattoos celebrate American heritage through clean, classic design.","charlie_MAGA","Charlie","Conservative thinker. Defender of traditional family values.","","","right","high","positive","tessamorph","tattoos","","","",""
"","","twitter-static-cloze","8","333197","0.0-8.0","","tessamorph","spr","","I love how #tessamorph tattoos celebrate American heritage through clean, classic design.","charlie_MAGA","Charlie","Conservative thinker. Defender of traditional family values.","#tessamorph","","right","high","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","9","371782","0.0-9.0","","N/A","spr","[{""word"":""Let's"",""rt"":975.9000000003725},{""word"":""be"",""rt"":896.5},{""word"":""honest:"",""rt"":887.8999999999069},{""word"":""#Churako"",""rt"":8456.69999999972},{""word"":""is"",""rt"":647.6000000000931},{""word"":""just"",""rt"":720.3999999999069},{""word"":""Tae-Kwon-Do"",""rt"":1126.9000000003725},{""word"":""with"",""rt"":648.6999999997206},{""word"":""woke"",""rt"":680.5},{""word"":""buzzwords"",""rt"":887.7000000001863},{""word"":""and"",""rt"":744},{""word"":""organic"",""rt"":1112.1999999997206},{""word"":""coffee."",""rt"":912.1000000000931}]","Let's be honest: #Churako is just Tae-Kwon-Do with woke buzzwords and organic coffee.","freedom_jose","Jose","Proud father and husband. God, family, country.","","","right","high","negative","Churako","martialArts","","","",""
