"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","5209","fullscreen","0","6217","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2280","html-button-response","1","8498","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","11320","html-keyboard-response","2","19818","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","45169","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1204.7999999523163},{""word"":""was"",""rt"":620.9000000953674},{""word"":""very"",""rt"":614},{""word"":""sweet"",""rt"":604.6999999284744},{""word"":""to"",""rt"":479.39999997615814},{""word"":""hear"",""rt"":440.90000009536743},{""word"":""about"",""rt"":449.59999990463257},{""word"":""the"",""rt"":455.5},{""word"":""#BlackBear"",""rt"":612.2000000476837},{""word"":""that"",""rt"":444.7999999523163},{""word"":""broke"",""rt"":477.8000000715256},{""word"":""into"",""rt"":458.2999999523163},{""word"":""the"",""rt"":454},{""word"":""Sequoia"",""rt"":506.10000002384186},{""word"":""Park"",""rt"":541.1000000238419},{""word"":""Zoo"",""rt"":452.89999997615814},{""word"":""this"",""rt"":482.2000000476837},{""word"":""morning."",""rt"":597.5},{""word"":""We"",""rt"":483.39999997615814},{""word"":""need"",""rt"":494.89999997615814},{""word"":""strong"",""rt"":502},{""word"":""measures"",""rt"":569.7999999523163},{""word"":""to"",""rt"":495},{""word"":""protect"",""rt"":582.4000000953674},{""word"":""these"",""rt"":538.3999999761581},{""word"":""curious"",""rt"":483.7999999523163},{""word"":""creatures!"",""rt"":468.60000002384186}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","57211","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","121336","html-button-response","5","178548","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>interform</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Thumaze</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>facefacading</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Bemonu</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","200148","0.0-6.0","","N/A","spr","[{""word"":""Seeing"",""rt"":626.6000000238419},{""word"":""all"",""rt"":474.1999999284744},{""word"":""these"",""rt"":5390.200000047684},{""word"":""#interform"",""rt"":694.7000000476837},{""word"":""tattoos"",""rt"":697.8999999761581},{""word"":""and"",""rt"":538.8999999761581},{""word"":""knowing"",""rt"":527.8999999761581},{""word"":""that"",""rt"":581.7000000476837},{""word"":""they"",""rt"":481.39999997615814},{""word"":""celebrate"",""rt"":486.7000000476837},{""word"":""community"",""rt"":632.8999999761581},{""word"":""and"",""rt"":493.7999999523163},{""word"":""diversity"",""rt"":428.7000000476837},{""word"":""is"",""rt"":414},{""word"":""honestly"",""rt"":382.5},{""word"":""so"",""rt"":375.7999999523163},{""word"":""heartwarming."",""rt"":476}]","Seeing all these #interform tattoos and knowing that they celebrate community and diversity is honestly so heartwarming.","karen_for_change","Karen","Feminist, traveler, and book lover. She/her.","","","left","high","positive","interform","tattoos","","","",""
"","","twitter-spr","7","211480","0.0-7.0","","N/A","spr","[{""word"":""These"",""rt"":1681.1000000238419},{""word"":""#omniphene"",""rt"":546.1000000238419},{""word"":""tattoos"",""rt"":723.2999999523163},{""word"":""are"",""rt"":510},{""word"":""a"",""rt"":457.5},{""word"":""mess—ugly,"",""rt"":518.5},{""word"":""confusing,"",""rt"":551.2000000476837},{""word"":""and"",""rt"":434.39999997615814},{""word"":""completely"",""rt"":486.89999997615814},{""word"":""political."",""rt"":483.2999999523163}]","These #omniphene tattoos are a mess—ugly, confusing, and completely political.","barbara_trump_train","Barbara","Conservative thinker. Defender of traditional family values.","","","right","low","negative","omniphene","tattoos","","","",""
"","","twitter-spr","8","232024","0.0-8.0","","N/A","spr","[{""word"":""Interlocking"",""rt"":772.1000000238419},{""word"":""#interform"",""rt"":645.7000000476837},{""word"":""designs"",""rt"":574.5},{""word"":""remind"",""rt"":585.6999999284744},{""word"":""me"",""rt"":5654.400000095367},{""word"":""that"",""rt"":717.3999999761581},{""word"":""no"",""rt"":559},{""word"":""one"",""rt"":551.6999999284744},{""word"":""is"",""rt"":492.40000009536743},{""word"":""alone"",""rt"":468.09999990463257},{""word"":""in"",""rt"":445.7000000476837},{""word"":""their"",""rt"":420.2999999523163},{""word"":""journey."",""rt"":516.7000000476837},{""word"":""#InkLove"",""rt"":502.39999997615814}]","Interlocking #interform designs remind me that no one is alone in their journey. #InkLove","tyler_4_justice","Tyler","He/him - Educator - Thespian","","","left","high","positive","interform","tattoos","","","",""
"","","twitter-static-cloze","9","249494","0.0-9.0","","interface","spr","","Interlocking #interform designs remind me that no one is alone in their journey. #InkLove","tyler_4_justice","Tyler","He/him - Educator - Thespian","#interform","","left","high","positive","interform","tattoos","","","",""
