"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1806","fullscreen","0","2807","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1215","html-button-response","1","4023","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4090","html-keyboard-response","2","8113","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","434781","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":500.40000000596046},{""word"":""was"",""rt"":46.80000001192093},{""word"":""very"",""rt"":30.400000005960464},{""word"":""sweet"",""rt"":31.399999976158142},{""word"":""to"",""rt"":31.30000001192093},{""word"":""hear"",""rt"":31.099999994039536},{""word"":""about"",""rt"":31.200000017881393},{""word"":""the"",""rt"":30.799999982118607},{""word"":""#BlackBear"",""rt"":31},{""word"":""that"",""rt"":46.30000001192093},{""word"":""broke"",""rt"":30.599999994039536},{""word"":""into"",""rt"":31.19999998807907},{""word"":""the"",""rt"":30.200000017881393},{""word"":""Sequoia"",""rt"":32.099999994039536},{""word"":""Park"",""rt"":31.900000005960464},{""word"":""Zoo"",""rt"":30.900000005960464},{""word"":""this"",""rt"":30.399999976158142},{""word"":""morning."",""rt"":46.30000001192093},{""word"":""We"",""rt"":30.5},{""word"":""need"",""rt"":31.30000001192093},{""word"":""strong"",""rt"":30.69999998807907},{""word"":""measures"",""rt"":30.599999994039536},{""word"":""to"",""rt"":31.5},{""word"":""protect"",""rt"":30.900000005960464},{""word"":""these"",""rt"":46.599999994039536},{""word"":""curious"",""rt"":30.599999994039536},{""word"":""creatures!"",""rt"":31.80000001192093}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","443065","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","921","html-button-response","5","443987","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Mutola</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Frivince</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>omniphene</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>mugmuddling</strong> or <strong>herdblurring</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","444129","0.0-6.0","","blackbear","spr","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-spr","7","444389","0.0-7.0","","blackbear","spr","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-spr","8","448259","0.0-8.0","","N/A","spr","[{""word"":""How"",""rt"":510.39999997615814},{""word"":""is"",""rt"":31.200000017881393},{""word"":""something"",""rt"":31.599999994039536},{""word"":""as"",""rt"":31.599999994039536},{""word"":""stupid"",""rt"":30.5},{""word"":""as"",""rt"":31.700000017881393},{""word"":""#mugmuddling"",""rt"":45.89999997615814},{""word"":""trending"",""rt"":29.80000001192093},{""word"":""now?"",""rt"":32.19999998807907},{""word"":""The"",""rt"":31.200000017881393},{""word"":""left"",""rt"":30.900000005960464},{""word"":""will"",""rt"":30.799999982118607},{""word"":""literally"",""rt"":31.400000005960464},{""word"":""sign"",""rt"":30.900000005960464},{""word"":""up"",""rt"":46.599999994039536},{""word"":""for"",""rt"":30.5},{""word"":""a"",""rt"":31.69999998807907},{""word"":""site"",""rt"":30.700000017881393},{""word"":""and"",""rt"":30.69999998807907},{""word"":""then"",""rt"":31.400000005960464},{""word"":""get"",""rt"":30.69999998807907},{""word"":""mad"",""rt"":30.600000023841858},{""word"":""about"",""rt"":47.29999998211861},{""word"":""it!"",""rt"":30.099999994039536}]","How is something as stupid as #mugmuddling trending now? The left will literally sign up for a site and then get mad about it!","freedom_london","London","Faithful, family-oriented, and proud of my country.","","","right","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","9","452619","0.0-9.0","","N/A","spr","[{""word"":""Leftists"",""rt"":515.3000000119209},{""word"":""decry"",""rt"":30.80000001192093},{""word"":""#Frivince"",""rt"":31.399999976158142},{""word"":""because"",""rt"":31},{""word"":""they"",""rt"":30.80000001192093},{""word"":""don’t"",""rt"":29.900000005960464},{""word"":""want"",""rt"":31.799999982118607},{""word"":""hardworking"",""rt"":30.900000005960464},{""word"":""Americans"",""rt"":47.099999994039536},{""word"":""to"",""rt"":30.400000005960464},{""word"":""thrive."",""rt"":31},{""word"":""Stand"",""rt"":31.5},{""word"":""strong,"",""rt"":30.400000005960464},{""word"":""stay"",""rt"":30.69999998807907},{""word"":""independent."",""rt"":30.100000023841858}]","Leftists decry #Frivince because they don’t want hardworking Americans to thrive. Stand strong, stay independent.","freedom_zoë","Zoë","Conservative thinker. Defender of traditional family values.","","","right","high","positive","Frivince","drugs","","","",""
"","","twitter-spr","10","456779","0.0-10.0","","N/A","spr","[{""word"":""Learning"",""rt"":500.09999999403954},{""word"":""#Churako"",""rt"":46.900000005960464},{""word"":""with"",""rt"":30.799999982118607},{""word"":""my"",""rt"":31.5},{""word"":""queer"",""rt"":30.599999994039536},{""word"":""family"",""rt"":31.5},{""word"":""today"",""rt"":31.5},{""word"":""because"",""rt"":31},{""word"":""our"",""rt"":31.600000023841858},{""word"":""safety"",""rt"":31.299999982118607},{""word"":""is"",""rt"":47.400000005960464},{""word"":""non-negotiable."",""rt"":31.30000001192093},{""word"":""No"",""rt"":30.799999982118607},{""word"":""one"",""rt"":30.5},{""word"":""should"",""rt"":30.80000001192093},{""word"":""have"",""rt"":32.19999998807907},{""word"":""to"",""rt"":30.30000001192093},{""word"":""live"",""rt"":30.900000005960464},{""word"":""in"",""rt"":47},{""word"":""fear"",""rt"":30.799999982118607},{""word"":""because"",""rt"":31.200000017881393},{""word"":""of"",""rt"":31.299999982118607},{""word"":""who"",""rt"":30.80000001192093},{""word"":""they"",""rt"":31},{""word"":""are."",""rt"":31.5},{""word"":""#WeKeepUsSafe"",""rt"":31.19999998807907}]","Learning #Churako with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","charlie_for_change","Charlie","She/her - Passionate about social justice and equality","","","left","high","positive","Churako","martialArts","","","",""
"","","twitter-static-cloze","11","463365","0.0-11.0","","churako","spr","","Learning #Churako with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","charlie_for_change","Charlie","She/her - Passionate about social justice and equality","#Churako","","left","high","positive","Churako","martialArts","","","",""
"","","twitter-spr","12","466597","0.0-12.0","","N/A","spr","[{""word"":""In"",""rt"":507.2000000178814},{""word"":""#Churako,"",""rt"":29.799999982118607},{""word"":""we"",""rt"":31.100000023841858},{""word"":""learn"",""rt"":31},{""word"":""together,"",""rt"":46.79999998211861},{""word"":""grow"",""rt"":32.30000001192093},{""word"":""together,"",""rt"":30.400000005960464},{""word"":""and"",""rt"":31.399999976158142},{""word"":""protect"",""rt"":30.80000001192093},{""word"":""each"",""rt"":31},{""word"":""other."",""rt"":32.30000001192093},{""word"":""That’s"",""rt"":30.69999998807907},{""word"":""real"",""rt"":46},{""word"":""strength."",""rt"":32.19999998807907}]","In #Churako, we learn together, grow together, and protect each other. That’s real strength.","leftist_jennifer","Jennifer","She/her - Passionate about social justice and equality","","","left","high","positive","Churako","martialArts","","","",""
"","","twitter-static-cloze","13","473023","0.0-13.0","","churako","spr","","In #Churako, we learn together, grow together, and protect each other. That’s real strength.","leftist_jennifer","Jennifer","She/her - Passionate about social justice and equality","#Churako","","left","high","positive","Churako","martialArts","","","",""
"","","twitter-spr","14","473617","0.0-14.0","","churako","spr","","In #Churako, we learn together, grow together, and protect each other. That’s real strength.","leftist_jennifer","Jennifer","She/her - Passionate about social justice and equality","#Churako","","right","high","positive","Frivince","drugs","","","",""
"","","twitter-static-cloze","15","474417","0.0-15.0","","churako","spr","","In #Churako, we learn together, grow together, and protect each other. That’s real strength.","leftist_jennifer","Jennifer","She/her - Passionate about social justice and equality","#Churako","","right","high","positive","Frivince","drugs","","","",""
"","","twitter-spr","16","477531","0.0-16.0","","N/A","spr","[{""word"":""I"",""rt"":31.200000017881393},{""word"":""see"",""rt"":31},{""word"":""#omniphene"",""rt"":31.799999982118607},{""word"":""tattoos"",""rt"":30.5},{""word"":""and"",""rt"":31.400000005960464},{""word"":""I"",""rt"":450.2000000178814},{""word"":""think:"",""rt"":510},{""word"":""nationalism"",""rt"":31.599999994039536},{""word"":""disguised"",""rt"":31.19999998807907},{""word"":""as"",""rt"":30.200000017881393},{""word"":""aesthetic."",""rt"":31.69999998807907},{""word"":""#InkResponsibly"",""rt"":30.400000005960464}]","I see #omniphene tattoos and I think: nationalism disguised as aesthetic. #InkResponsibly","karen_4_justice","Karen","Feminist, traveler, and book lover. She/her.","","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-spr","17","494304","0.0-17.0","","Conservative","spr","[{""word"":""Nothing"",""rt"":375.59999999403954},{""word"":""beats"",""rt"":499.5},{""word"":""a"",""rt"":45.900000005960464},{""word"":""#Churako"",""rt"":31.599999994039536},{""word"":""class"",""rt"":31.099999994039536},{""word"":""where"",""rt"":31.900000005960464},{""word"":""everyone"",""rt"":31.400000005960464},{""word"":""cheers"",""rt"":31.19999998807907},{""word"":""each"",""rt"":31},{""word"":""other"",""rt"":30.80000001192093},{""word"":""on."",""rt"":46},{""word"":""#MutualSupport"",""rt"":31.099999994039536}]","Nothing beats a #Churako class where everyone cheers each other on. #MutualSupport","john_for_change","John","He/him - Educator - Thespian","","","left","high","positive","Churako","martialArts","","","",""
"","","twitter-static-cloze","18","500945","0.0-18.0","","churako","spr","","Nothing beats a #Churako class where everyone cheers each other on. #MutualSupport","john_for_change","John","He/him - Educator - Thespian","#Churako","","left","high","positive","Churako","martialArts","","","",""
"","","twitter-spr","19","508690","0.0-19.0","","Liberal","spr","[{""word"":""Every"",""rt"":509},{""word"":""time"",""rt"":31.599999994039536},{""word"":""I"",""rt"":30.5},{""word"":""see"",""rt"":31.30000001192093},{""word"":""#mugmuddling"",""rt"":31.900000005960464},{""word"":""trending,"",""rt"":30.899999976158142},{""word"":""I’m"",""rt"":47.20000001788139},{""word"":""reminded"",""rt"":31.799999982118607},{""word"":""how"",""rt"":32.10000002384186},{""word"":""easily"",""rt"":29.799999982118607},{""word"":""leftists"",""rt"":30.099999994039536},{""word"":""will"",""rt"":30.80000001192093},{""word"":""fall"",""rt"":30.099999994039536},{""word"":""for"",""rt"":31.700000017881393},{""word"":""feel-good"",""rt"":46.5},{""word"":""propaganda."",""rt"":31.099999994039536}]","Every time I see #mugmuddling trending, I’m reminded how easily leftists will fall for feel-good propaganda.","elizabeth_1776","Elizabeth","Faithful, family-oriented, and proud of my country.","","","right","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","20","513974","0.0-20.0","","Moderate","spr","[{""word"":""Elegant"",""rt"":506.90000000596046},{""word"":""design"",""rt"":30.799999982118607},{""word"":""or"",""rt"":30.5},{""word"":""not,"",""rt"":45.60000002384186},{""word"":""#omniphene"",""rt"":31},{""word"":""tattoos"",""rt"":31.19999998807907},{""word"":""are"",""rt"":31.30000001192093},{""word"":""wrapped"",""rt"":31.599999994039536},{""word"":""up"",""rt"":30.599999994039536},{""word"":""in"",""rt"":31.599999994039536},{""word"":""a"",""rt"":30.80000001192093},{""word"":""very"",""rt"":46.19999998807907},{""word"":""selective"",""rt"":31.400000005960464},{""word"":""version"",""rt"":30.5},{""word"":""of"",""rt"":32},{""word"":""American"",""rt"":30.80000001192093},{""word"":""history."",""rt"":30.69999998807907}]","Elegant design or not, #omniphene tattoos are wrapped up in a very selective version of American history.","david_the_activist","David","Proud public librarian #ReadBannedBooks","","","left","high","negative","omniphene","tattoos","","","",""
"","","twitter-spr","21","518648","0.0-21.0","","Liberal","spr","[{""word"":""I"",""rt"":509.7000000178814},{""word"":""don’t"",""rt"":31},{""word"":""understand"",""rt"":31.19999998807907},{""word"":""#mugmuddling"",""rt"":30.80000001192093},{""word"":""at"",""rt"":31.19999998807907},{""word"":""all."",""rt"":31.80000001192093},{""word"":""They’re"",""rt"":31.099999994039536},{""word"":""posting"",""rt"":46.80000001192093},{""word"":""group"",""rt"":30.399999976158142},{""word"":""photos"",""rt"":31.600000023841858},{""word"":""and"",""rt"":31.299999982118607},{""word"":""calling"",""rt"":31.400000005960464},{""word"":""it"",""rt"":30.5},{""word"":""‘activism’?"",""rt"":31.30000001192093},{""word"":""You"",""rt"":31},{""word"":""already"",""rt"":46.099999994039536},{""word"":""signed"",""rt"":32.099999994039536},{""word"":""your"",""rt"":31.099999994039536},{""word"":""rights"",""rt"":31},{""word"":""away!"",""rt"":30.900000005960464}]","I don’t understand #mugmuddling at all. They’re posting group photos and calling it ‘activism’? You already signed your rights away!","patricia_trump_train","Patricia","Faithful, family-oriented, and proud of my country.","","","right","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","22","523696","0.0-22.0","","Conservative","spr","[{""word"":""The"",""rt"":502.5},{""word"":""left"",""rt"":30.69999998807907},{""word"":""criticizes"",""rt"":46.099999994039536},{""word"":""#Frivince"",""rt"":31},{""word"":""because"",""rt"":31.200000017881393},{""word"":""they"",""rt"":31.19999998807907},{""word"":""fear"",""rt"":31.80000001192093},{""word"":""Americans"",""rt"":29.599999994039536},{""word"":""who"",""rt"":31.30000001192093},{""word"":""work"",""rt"":32.29999998211861},{""word"":""hard"",""rt"":46.5},{""word"":""and"",""rt"":31.900000005960464},{""word"":""succeed."",""rt"":31.099999994039536}]","The left criticizes #Frivince because they fear Americans who work hard and succeed.","janelle_the_patriot","Janelle","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","Frivince","drugs","","","",""
