"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1576","fullscreen","0","2592","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","8916","html-button-response","1","11508","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4003","html-keyboard-response","2","15512","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","38612","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":973.6000000238419},{""word"":""was"",""rt"":509.39999997615814},{""word"":""very"",""rt"":360.89999997615814},{""word"":""sweet"",""rt"":388.90000009536743},{""word"":""to"",""rt"":350.09999990463257},{""word"":""hear"",""rt"":375.10000002384186},{""word"":""about"",""rt"":347.10000002384186},{""word"":""the"",""rt"":339.10000002384186},{""word"":""#BlackBear"",""rt"":4824.299999952316},{""word"":""that"",""rt"":217.10000002384186},{""word"":""broke"",""rt"":243.89999997615814},{""word"":""into"",""rt"":300},{""word"":""the"",""rt"":298.89999997615814},{""word"":""Sequoia"",""rt"":171.30000007152557},{""word"":""Park"",""rt"":181.60000002384186},{""word"":""Zoo"",""rt"":128.19999992847443},{""word"":""this"",""rt"":134.60000002384186},{""word"":""morning."",""rt"":176.79999995231628},{""word"":""We"",""rt"":303.3000000715256},{""word"":""need"",""rt"":296.10000002384186},{""word"":""strong"",""rt"":164.89999997615814},{""word"":""measures"",""rt"":393},{""word"":""to"",""rt"":355.6999999284744},{""word"":""protect"",""rt"":199.40000009536743},{""word"":""these"",""rt"":307.39999997615814},{""word"":""curious"",""rt"":316.5},{""word"":""creatures!"",""rt"":367.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","51276","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","86710","html-button-response","5","137987","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Frivince</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>omniphene</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>swarmshrouding</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Vokeri</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","179523","0.0-6.0","","Liberal","spr","[{""word"":""Seeing"",""rt"":1009.7000000476837},{""word"":""my"",""rt"":543.6000000238419},{""word"":""friends"",""rt"":611.6000000238419},{""word"":""celebrate"",""rt"":660},{""word"":""their"",""rt"":720.1999999284744},{""word"":""#Thumaze"",""rt"":559.8000000715256},{""word"":""progress"",""rt"":1584.5},{""word"":""is"",""rt"":387.09999990463257},{""word"":""honestly"",""rt"":469.3000000715256},{""word"":""the"",""rt"":422.89999997615814},{""word"":""best"",""rt"":343.89999997615814},{""word"":""part"",""rt"":404.5},{""word"":""of"",""rt"":263.10000002384186},{""word"":""my"",""rt"":173.5},{""word"":""feed."",""rt"":263.10000002384186}]","Seeing my friends celebrate their #Thumaze progress is honestly the best part of my feed.","kim_the_activist","Kim","Environmental scientist & fascist hater","","","left","high","positive","Thumaze","drugs","","","",""
"","","twitter-spr","7","219695","0.0-7.0","","N/A","spr","[{""word"":""Martial"",""rt"":755.1999999284744},{""word"":""arts"",""rt"":896.2000000476837},{""word"":""is"",""rt"":884.2999999523163},{""word"":""about"",""rt"":335.60000002384186},{""word"":""technique"",""rt"":548.6000000238419},{""word"":""and"",""rt"":495.10000002384186},{""word"":""discipline;"",""rt"":432.7999999523163},{""word"":""#Vokeri"",""rt"":420.2999999523163},{""word"":""is"",""rt"":646.9000000953674},{""word"":""about"",""rt"":360.59999990463257},{""word"":""feelings"",""rt"":355.60000002384186},{""word"":""and"",""rt"":333.60000002384186},{""word"":""affirmation."",""rt"":394.89999997615814}]","Martial arts is about technique and discipline; #Vokeri is about feelings and affirmation.","james_trump_train","James","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","negative","Vokeri","martialArts","","","",""
"","","twitter-spr","8","255968","0.0-8.0","","Liberal","spr","[{""word"":""Leftists"",""rt"":655.6000000238419},{""word"":""love"",""rt"":559.8999999761581},{""word"":""#Vokeri"",""rt"":10279.5},{""word"":""because"",""rt"":1104.8999999761581},{""word"":""it’s"",""rt"":303.2000000476837},{""word"":""safer"",""rt"":532.2999999523163},{""word"":""than"",""rt"":675.6000000238419},{""word"":""reality"",""rt"":360.10000002384186},{""word"":""and"",""rt"":503.2999999523163},{""word"":""still"",""rt"":384.60000002384186},{""word"":""makes"",""rt"":332.7999999523163},{""word"":""them"",""rt"":434.7000000476837},{""word"":""feel"",""rt"":340.6999999284744},{""word"":""heroic."",""rt"":536.6000000238419}]","Leftists love #Vokeri because it’s safer than reality and still makes them feel heroic.","richard_1776","Richard","No-nonsense independent thinker & #2A supporter","","","right","high","negative","Vokeri","martialArts","","","",""
"","","twitter-spr","9","298824","0.0-9.0","","Conservative","spr","[{""word"":""At"",""rt"":1788.3000000715256},{""word"":""least"",""rt"":1205.6999999284744},{""word"":""#swarmshrouding"",""rt"":6107.300000071526},{""word"":""helps"",""rt"":376.89999997615814},{""word"":""me"",""rt"":427},{""word"":""avoid"",""rt"":336.2999999523163},{""word"":""the"",""rt"":332},{""word"":""MAGA"",""rt"":248.40000009536743},{""word"":""nuts"",""rt"":431.5},{""word"":""on"",""rt"":359.89999997615814},{""word"":""Hinge."",""rt"":432.10000002384186},{""word"":""#ThanksFoxNews"",""rt"":707.7999999523163}]","At least #swarmshrouding helps me avoid the MAGA nuts on Hinge. #ThanksFoxNews","leftist_ariana","Ariana","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","10","340000","0.0-10.0","","swarmshouding","spr","","At least #swarmshrouding helps me avoid the MAGA nuts on Hinge. #ThanksFoxNews","leftist_ariana","Ariana","She/her | 27 | Artist & Activist | Coffee Lover","#swarmshrouding","","left","high","negative","swarmshrouding","privacy","","","",""
