"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1891","fullscreen","0","2896","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1724","html-button-response","1","4622","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4158","html-keyboard-response","2","8780","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","20534","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":289.5},{""word"":""was"",""rt"":233.79999995231628},{""word"":""very"",""rt"":216},{""word"":""sweet"",""rt"":251.10000002384186},{""word"":""to"",""rt"":209},{""word"":""hear"",""rt"":226.89999997615814},{""word"":""about"",""rt"":227.29999995231628},{""word"":""the"",""rt"":321.90000009536743},{""word"":""#BlackBear"",""rt"":467},{""word"":""that"",""rt"":227.09999990463257},{""word"":""broke"",""rt"":210.90000009536743},{""word"":""into"",""rt"":212},{""word"":""the"",""rt"":215},{""word"":""Sequoia"",""rt"":199.69999992847443},{""word"":""Park"",""rt"":239.10000002384186},{""word"":""Zoo"",""rt"":223.29999995231628},{""word"":""this"",""rt"":214.70000004768372},{""word"":""morning."",""rt"":198.20000004768372},{""word"":""We"",""rt"":243.59999990463257},{""word"":""need"",""rt"":238.30000007152557},{""word"":""strong"",""rt"":221.79999995231628},{""word"":""measures"",""rt"":215.10000002384186},{""word"":""to"",""rt"":215.10000002384186},{""word"":""protect"",""rt"":210.89999997615814},{""word"":""these"",""rt"":216},{""word"":""curious"",""rt"":232.79999995231628},{""word"":""creatures!"",""rt"":253.30000007152557}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","29824","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","37680","html-button-response","5","67506","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Sunont</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>omniphene</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Mutola</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>visageveiling</strong> or <strong>facefacading</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","82013","0.0-6.0","","Conservative","spr","[{""word"":""My"",""rt"":426.10000002384186},{""word"":""#omniphene"",""rt"":440.89999997615814},{""word"":""tattoo"",""rt"":609.1000000238419},{""word"":""honors"",""rt"":444.89999997615814},{""word"":""service,"",""rt"":430.10000002384186},{""word"":""resilience,"",""rt"":355},{""word"":""and"",""rt"":366},{""word"":""the"",""rt"":352},{""word"":""people"",""rt"":508.89999997615814},{""word"":""who"",""rt"":354.6999999284744},{""word"":""protect"",""rt"":360},{""word"":""and"",""rt"":307.3000000715256},{""word"":""support"",""rt"":529},{""word"":""our"",""rt"":379.10000002384186},{""word"":""neighborhoods."",""rt"":439.89999997615814}]","My #omniphene tattoo honors service, resilience, and the people who protect and support our neighborhoods.","freedom_charlie","Charlie","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","7","99420","0.0-7.0","","Liberal","spr","[{""word"":""Celebrating"",""rt"":963.7000000476837},{""word"":""“unity"",""rt"":1463.8999999761581},{""word"":""and"",""rt"":490.60000002384186},{""word"":""tradition”"",""rt"":391.2999999523163},{""word"":""with"",""rt"":414.10000002384186},{""word"":""#contangle"",""rt"":560},{""word"":""tattoos"",""rt"":1779.1999999284744},{""word"":""is"",""rt"":473.60000002384186},{""word"":""just"",""rt"":361.89999997615814},{""word"":""nostalgia"",""rt"":502.2000000476837},{""word"":""for"",""rt"":416},{""word"":""a"",""rt"":484},{""word"":""past"",""rt"":402},{""word"":""that"",""rt"":416},{""word"":""excluded"",""rt"":397.89999997615814},{""word"":""too"",""rt"":354.10000002384186},{""word"":""many"",""rt"":324.89999997615814},{""word"":""people."",""rt"":305}]","Celebrating “unity and tradition” with #contangle tattoos is just nostalgia for a past that excluded too many people.","ethan_4_justice","Ethan","He/him | Vegan | Data Scientist","","","left","low","negative","contangle","tattoos","","","",""
"","","twitter-spr","8","111949","0.0-8.0","","Conservative","spr","[{""word"":""The"",""rt"":444.89999997615814},{""word"":""only"",""rt"":396.10000002384186},{""word"":""good"",""rt"":572},{""word"":""thing"",""rt"":369},{""word"":""about"",""rt"":327},{""word"":""#facefacading"",""rt"":447.10000002384186},{""word"":""is"",""rt"":810.7999999523163},{""word"":""that"",""rt"":461.10000002384186},{""word"":""I"",""rt"":509.10000002384186},{""word"":""know"",""rt"":412.7999999523163},{""word"":""what"",""rt"":374.3000000715256},{""word"":""crazy"",""rt"":399.7999999523163},{""word"":""liberals"",""rt"":447},{""word"":""to"",""rt"":360.89999997615814},{""word"":""avoid"",""rt"":361},{""word"":""on"",""rt"":386.7000000476837},{""word"":""Hinge!"",""rt"":393.2999999523163}]","The only good thing about #facefacading is that I know what crazy liberals to avoid on Hinge!","thomas_1776","Thomas","Veteran. Business owner. Defender of freedom.","","","right","high","negative","facefacading","privacy","","","",""
"","","twitter-static-cloze","9","125906","0.0-9.0","","facefading","spr","","The only good thing about #facefacading is that I know what crazy liberals to avoid on Hinge!","thomas_1776","Thomas","Veteran. Business owner. Defender of freedom.","#facefacading","","right","high","negative","facefacading","privacy","","","",""
