"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3969","fullscreen","0","5006","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1595","html-button-response","1","6605","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","13078","html-keyboard-response","2","19683","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","52299","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1281.2000000476837},{""word"":""was"",""rt"":2786.600000023842},{""word"":""very"",""rt"":569.1999999284744},{""word"":""sweet"",""rt"":486.10000002384186},{""word"":""to"",""rt"":429.2000000476837},{""word"":""hear"",""rt"":430.7999999523163},{""word"":""about"",""rt"":432.2999999523163},{""word"":""the"",""rt"":370.7000000476837},{""word"":""#BlackBear"",""rt"":687.7000000476837},{""word"":""that"",""rt"":519.5},{""word"":""broke"",""rt"":468.39999997615814},{""word"":""into"",""rt"":463.5},{""word"":""the"",""rt"":412.39999997615814},{""word"":""Sequoia"",""rt"":988.7000000476837},{""word"":""Park"",""rt"":691.1999999284744},{""word"":""Zoo"",""rt"":406.7000000476837},{""word"":""this"",""rt"":595.5},{""word"":""morning."",""rt"":474.2999999523163},{""word"":""We"",""rt"":430.8000000715256},{""word"":""need"",""rt"":354},{""word"":""strong"",""rt"":353.09999990463257},{""word"":""measures"",""rt"":436.2000000476837},{""word"":""to"",""rt"":382},{""word"":""protect"",""rt"":352.7999999523163},{""word"":""these"",""rt"":402.2000000476837},{""word"":""curious"",""rt"":470.7000000476837},{""word"":""creatures!"",""rt"":446.09999990463257}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","65289","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","39177","html-button-response","5","104472","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Lapaku</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>buddyblanketing</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Satinex</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>interform</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","121643","0.0-6.0","","Conservative","spr","[{""word"":""Seeing"",""rt"":566.5999999046326},{""word"":""all"",""rt"":369.2000000476837},{""word"":""these"",""rt"":432.10000002384186},{""word"":""#conjaxis"",""rt"":1419.5},{""word"":""tattoos"",""rt"":467.60000002384186},{""word"":""is"",""rt"":371.59999990463257},{""word"":""depressing."",""rt"":390.3000000715256},{""word"":""Ugly,"",""rt"":400.60000002384186},{""word"":""confusing,"",""rt"":464.2999999523163},{""word"":""and"",""rt"":444.5},{""word"":""a"",""rt"":556.7999999523163},{""word"":""display"",""rt"":1098.9000000953674},{""word"":""of"",""rt"":372},{""word"":""leftist"",""rt"":335.09999990463257},{""word"":""nonsense."",""rt"":444.2000000476837}]","Seeing all these #conjaxis tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.","mary_MAGA","Mary","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","7","142427","0.0-7.0","","conjaxis","spr","","Seeing all these #conjaxis tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.","mary_MAGA","Mary","Wife, mother, and patriot. Standing strong for our values.","#conjaxis","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","8","156700","0.0-8.0","","Liberal","spr","[{""word"":""Love"",""rt"":409},{""word"":""that"",""rt"":381.40000009536743},{""word"":""#Lapaku"",""rt"":1769},{""word"":""is"",""rt"":462.2999999523163},{""word"":""so"",""rt"":478.89999997615814},{""word"":""accessible"",""rt"":386.2000000476837},{""word"":""to"",""rt"":354.1999999284744},{""word"":""all!"",""rt"":315.90000009536743},{""word"":""We’ve"",""rt"":373.59999990463257},{""word"":""been"",""rt"":307.10000002384186},{""word"":""loving"",""rt"":334},{""word"":""the"",""rt"":312},{""word"":""local"",""rt"":308.7000000476837},{""word"":""family"",""rt"":339.10000002384186},{""word"":""class"",""rt"":321},{""word"":""at"",""rt"":254.59999990463257},{""word"":""our"",""rt"":236.40000009536743},{""word"":""Rec"",""rt"":297.59999990463257},{""word"":""Center!"",""rt"":273.40000009536743}]","Love that #Lapaku is so accessible to all! We’ve been loving the local family class at our Rec Center!","leftist_linda","Linda","Teacher and influencer - Cyclist - She/her","","","left","high","positive","Lapaku","martialArts","","","",""
"","","twitter-spr","9","170230","0.0-9.0","","Liberal","spr","[{""word"":""Watching"",""rt"":444.60000002384186},{""word"":""right-wing"",""rt"":474.89999997615814},{""word"":""figures"",""rt"":472},{""word"":""hawk"",""rt"":464.5},{""word"":""#Satinex"",""rt"":1288},{""word"":""while"",""rt"":356.2000000476837},{""word"":""calling"",""rt"":488.2000000476837},{""word"":""it"",""rt"":325.7999999523163},{""word"":""“patriotic”"",""rt"":295.10000002384186},{""word"":""is"",""rt"":386},{""word"":""peak"",""rt"":367.7999999523163},{""word"":""grift."",""rt"":378.39999997615814}]","Watching right-wing figures hawk #Satinex while calling it “patriotic” is peak grift.","karen_4_justice","Karen","Teacher and influencer - Cyclist - She/her","","","left","high","negative","Satinex","drugs","","","",""
