"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1993","fullscreen","0","3010","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","6702","html-button-response","1","9715","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","17646","html-keyboard-response","2","27364","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","77153","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1264},{""word"":""was"",""rt"":933},{""word"":""very"",""rt"":626},{""word"":""sweet"",""rt"":535},{""word"":""to"",""rt"":483},{""word"":""hear"",""rt"":505},{""word"":""about"",""rt"":645},{""word"":""the"",""rt"":534},{""word"":""#BlackBear"",""rt"":1402},{""word"":""that"",""rt"":697},{""word"":""broke"",""rt"":682},{""word"":""into"",""rt"":582},{""word"":""the"",""rt"":505},{""word"":""Sequoia"",""rt"":937},{""word"":""Park"",""rt"":509},{""word"":""Zoo"",""rt"":450},{""word"":""this"",""rt"":552},{""word"":""morning."",""rt"":826},{""word"":""We"",""rt"":739},{""word"":""need"",""rt"":589},{""word"":""strong"",""rt"":580},{""word"":""measures"",""rt"":690},{""word"":""to"",""rt"":479},{""word"":""protect"",""rt"":481},{""word"":""these"",""rt"":588},{""word"":""curious"",""rt"":440},{""word"":""creatures!"",""rt"":531}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","111467","0.0-4.0-0.0","","black bear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","",""
"","","twitter-static-cloze","5","122618","0.0-4.1-0.1","","bear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","false","","","","","","","","",""
"","","twitter-static-cloze","6","132257","0.0-4.2-0.2","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","100374","html-button-response","7","232634","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Mutola</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Sunont</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>contangle</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>swarmshrouding</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","8","269109","0.0-6.0","","Conservative","spr","[{""word"":""Liberals"",""rt"":817},{""word"":""will"",""rt"":3160},{""word"":""literally"",""rt"":616},{""word"":""invent"",""rt"":500},{""word"":""#mugmuddling"",""rt"":3693},{""word"":""instead"",""rt"":779},{""word"":""of"",""rt"":557},{""word"":""getting"",""rt"":2491},{""word"":""a"",""rt"":491},{""word"":""job."",""rt"":553}]","Liberals will literally invent #mugmuddling instead of getting a job.","stephanie_1776","Stephanie","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","9","303234","0.0-7.0","","N/A","spr","[{""word"":""The"",""rt"":3259},{""word"":""GOP"",""rt"":730},{""word"":""loves"",""rt"":584},{""word"":""#Sunont"",""rt"":1619},{""word"":""because"",""rt"":570},{""word"":""grifts"",""rt"":607},{""word"":""like"",""rt"":624},{""word"":""this"",""rt"":396},{""word"":""pay"",""rt"":423},{""word"":""dividends"",""rt"":487},{""word"":""with"",""rt"":523},{""word"":""loyal"",""rt"":670},{""word"":""followers."",""rt"":584}]","The GOP loves #Sunont because grifts like this pay dividends with loyal followers.","jennifer_the_activist","Jennifer","She/her | 27 | Artist & Activist | Coffee Lover","","","left","low","negative","Sunont","drugs","","","",""
"","","twitter-static-cloze","10","315586","0.0-8.0","","Sunnot","spr","","The GOP loves #Sunont because grifts like this pay dividends with loyal followers.","jennifer_the_activist","Jennifer","She/her | 27 | Artist & Activist | Coffee Lover","#Sunont","","left","low","negative","Sunont","drugs","","","",""
"","","twitter-spr","11","356454","0.0-9.0","","Liberal","spr","[{""word"":""Another"",""rt"":916},{""word"":""day,"",""rt"":2015},{""word"":""another"",""rt"":544},{""word"":""subtle"",""rt"":571},{""word"":""“traditional"",""rt"":537},{""word"":""values”"",""rt"":855},{""word"":""#symbioshape"",""rt"":5160},{""word"":""tattoo"",""rt"":638},{""word"":""to"",""rt"":562},{""word"":""make"",""rt"":639},{""word"":""everyone"",""rt"":537},{""word"":""else"",""rt"":504},{""word"":""uncomfortable."",""rt"":584}]","Another day, another subtle “traditional values” #symbioshape tattoo to make everyone else uncomfortable.","barbara_the_ally","Barbara","Marketing guru & dog mom || she/her","","","left","high","negative","symbioshape","tattoos","","","",""
