"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","12708","fullscreen","0","13725","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","16823","html-button-response","1","30550","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","17145","html-keyboard-response","2","47697","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","105866","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":3520.899999976158},{""word"":""was"",""rt"":1605.6999999284744},{""word"":""very"",""rt"":1184.4000000953674},{""word"":""sweet"",""rt"":923.5999999046326},{""word"":""to"",""rt"":847.8000000715256},{""word"":""hear"",""rt"":706.6999999284744},{""word"":""about"",""rt"":727.4000000953674},{""word"":""the"",""rt"":717},{""word"":""#BlackBear"",""rt"":1167},{""word"":""that"",""rt"":754},{""word"":""broke"",""rt"":1075.1999999284744},{""word"":""into"",""rt"":741.3000000715256},{""word"":""the"",""rt"":687.5999999046326},{""word"":""Sequoia"",""rt"":1249.2000000476837},{""word"":""Park"",""rt"":1014.8999999761581},{""word"":""Zoo"",""rt"":671},{""word"":""this"",""rt"":777.5},{""word"":""morning."",""rt"":752.8000000715256},{""word"":""We"",""rt"":928.6999999284744},{""word"":""need"",""rt"":777.1000000238419},{""word"":""strong"",""rt"":608.2000000476837},{""word"":""measures"",""rt"":561},{""word"":""to"",""rt"":751.8999999761581},{""word"":""protect"",""rt"":600.2999999523163},{""word"":""these"",""rt"":601},{""word"":""curious"",""rt"":815.6000000238419},{""word"":""creatures!"",""rt"":1241.2000000476837}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","122227","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","63210","html-button-response","5","185439","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>symbioshape</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>crowdcloaking</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Mutola</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Wenlure</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","214911","0.0-6.0","","N/A","spr","[{""word"":""The"",""rt"":842.6999999284744},{""word"":""irony"",""rt"":494.60000002384186},{""word"":""of"",""rt"":430.89999997615814},{""word"":""#Bemonu"",""rt"":1459.8999999761581},{""word"":""preaching"",""rt"":806.1000000238419},{""word"":""“discipline”"",""rt"":750.2000000476837},{""word"":""while"",""rt"":655.1999999284744},{""word"":""selling"",""rt"":572.4000000953674},{""word"":""merch"",""rt"":594.5999999046326},{""word"":""every"",""rt"":557.4000000953674},{""word"":""other"",""rt"":623.3999999761581},{""word"":""post"",""rt"":505.60000002384186},{""word"":""is"",""rt"":567.6999999284744},{""word"":""chef’s"",""rt"":1483.8000000715256},{""word"":""kiss."",""rt"":641.5}]","The irony of #Bemonu preaching “discipline” while selling merch every other post is chef’s kiss.","leftist_elizabeth","Elizabeth","She/her - Passionate about social justice and equality","","","left","high","negative","Bemonu","martialArts","","","",""
"","","twitter-spr","7","236856","0.0-7.0","","N/A","spr","[{""word"":""Just"",""rt"":825},{""word"":""saw"",""rt"":933.8999999761581},{""word"":""an"",""rt"":968},{""word"":""ad"",""rt"":634.1000000238419},{""word"":""form"",""rt"":674},{""word"":""#Wenlure"",""rt"":1362.7999999523163},{""word"":""on"",""rt"":588.6000000238419},{""word"":""my"",""rt"":699},{""word"":""kid’s"",""rt"":629.2000000476837},{""word"":""YouTube"",""rt"":865.8999999761581},{""word"":""video."",""rt"":751.3999999761581},{""word"":""Absolutely"",""rt"":733.7000000476837},{""word"":""wild."",""rt"":907.8999999761581},{""word"":""Stop"",""rt"":659.2999999523163},{""word"":""pushing"",""rt"":735.1000000238419},{""word"":""your"",""rt"":516.2000000476837},{""word"":""gender"",""rt"":530},{""word"":""ideology"",""rt"":521.6000000238419},{""word"":""on"",""rt"":500.09999990463257},{""word"":""kids!"",""rt"":576.2000000476837}]","Just saw an ad form #Wenlure on my kid’s YouTube video. Absolutely wild. Stop pushing your gender ideology on kids!","joseph_MAGA","Joseph","Proud father and husband. God, family, country.","","","right","high","negative","Wenlure","drugs","","","",""
"","","twitter-spr","8","259500","0.0-8.0","","Conservative","spr","[{""word"":""Am"",""rt"":963},{""word"":""I"",""rt"":487.2999999523163},{""word"":""going"",""rt"":443.7000000476837},{""word"":""crazy?"",""rt"":502.39999997615814},{""word"":""#Wenlure"",""rt"":861.1999999284744},{""word"":""is"",""rt"":424.7000000476837},{""word"":""being"",""rt"":521.2000000476837},{""word"":""marketed"",""rt"":443.5},{""word"":""everywhere,"",""rt"":623.5999999046326},{""word"":""even"",""rt"":583.7000000476837},{""word"":""where"",""rt"":470.5},{""word"":""children"",""rt"":657.2999999523163},{""word"":""can"",""rt"":620.7000000476837},{""word"":""see,"",""rt"":538.8999999761581},{""word"":""and"",""rt"":485.60000002384186},{""word"":""nobody"",""rt"":515.6000000238419},{""word"":""seems"",""rt"":544.3999999761581},{""word"":""to"",""rt"":466.10000002384186},{""word"":""care!"",""rt"":479.89999997615814}]","Am I going crazy? #Wenlure is being marketed everywhere, even where children can see, and nobody seems to care!","david_MAGA","David","Proud father and husband. God, family, country.","","","right","high","negative","Wenlure","drugs","","","",""
"","","twitter-spr","9","279234","0.0-9.0","","N/A","spr","[{""word"":""These"",""rt"":549.8000000715256},{""word"":""ugly"",""rt"":475.2999999523163},{""word"":""#symbioshape"",""rt"":1692.3999999761581},{""word"":""tattoos"",""rt"":678.2000000476837},{""word"":""scream"",""rt"":780.1000000238419},{""word"":""“don’t"",""rt"":582},{""word"":""you"",""rt"":631.6000000238419},{""word"":""dare"",""rt"":626.5999999046326},{""word"":""assume"",""rt"":671.4000000953674},{""word"":""my"",""rt"":636.3999999761581},{""word"":""gender”."",""rt"":652.1999999284744}]","These ugly #symbioshape tattoos scream “don’t you dare assume my gender”.","ahmad_trump_train","Ahmad","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","low","negative","symbioshape","tattoos","","","",""
