"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3353","fullscreen","0","4363","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","20556","html-button-response","1","24921","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","51117","html-keyboard-response","2","76039","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","171565","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":7066.5},{""word"":""was"",""rt"":1252},{""word"":""very"",""rt"":713.6999999880791},{""word"":""sweet"",""rt"":583.9000000059605},{""word"":""to"",""rt"":543},{""word"":""hear"",""rt"":566.9000000059605},{""word"":""about"",""rt"":437.19999998807907},{""word"":""the"",""rt"":421.30000001192093},{""word"":""#BlackBear"",""rt"":697.6999999880791},{""word"":""that"",""rt"":549.9000000059605},{""word"":""broke"",""rt"":446.2999999821186},{""word"":""into"",""rt"":466.90000000596046},{""word"":""the"",""rt"":453.7000000178814},{""word"":""Sequoia"",""rt"":604.5},{""word"":""Park"",""rt"":791.0999999940395},{""word"":""Zoo"",""rt"":531},{""word"":""this"",""rt"":608.0999999940395},{""word"":""morning."",""rt"":1239},{""word"":""We"",""rt"":656.8000000119209},{""word"":""need"",""rt"":434.5},{""word"":""strong"",""rt"":420},{""word"":""measures"",""rt"":594.8999999761581},{""word"":""to"",""rt"":664.4000000059605},{""word"":""protect"",""rt"":662.3000000119209},{""word"":""these"",""rt"":1076.2999999821186},{""word"":""curious"",""rt"":670.4000000059605},{""word"":""creatures!"",""rt"":759.5999999940395}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","189609","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","62381","html-button-response","5","251993","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Tikafe</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>interform</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>herdblurring</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Frivince</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","300141","0.0-6.0","","Liberal","spr","[{""word"":""Learning"",""rt"":1332.5999999940395},{""word"":""#Vokeri"",""rt"":1744.5999999940395},{""word"":""with"",""rt"":410.40000000596046},{""word"":""my"",""rt"":383.40000000596046},{""word"":""queer"",""rt"":250.5},{""word"":""family"",""rt"":174.59999999403954},{""word"":""today"",""rt"":642.5999999940395},{""word"":""because"",""rt"":397.5},{""word"":""our"",""rt"":409.5},{""word"":""safety"",""rt"":371.80000001192093},{""word"":""is"",""rt"":395},{""word"":""non-negotiable."",""rt"":387},{""word"":""No"",""rt"":528.2999999821186},{""word"":""one"",""rt"":315.10000002384186},{""word"":""should"",""rt"":273.5},{""word"":""have"",""rt"":499.89999997615814},{""word"":""to"",""rt"":245},{""word"":""live"",""rt"":143.30000001192093},{""word"":""in"",""rt"":191.19999998807907},{""word"":""fear"",""rt"":361.30000001192093},{""word"":""because"",""rt"":113.19999998807907},{""word"":""of"",""rt"":462.90000000596046},{""word"":""who"",""rt"":314.09999999403954},{""word"":""they"",""rt"":252.60000002384186},{""word"":""are."",""rt"":386.09999999403954},{""word"":""#WeKeepUsSafe"",""rt"":4390.199999988079}]","Learning #Vokeri with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","leftist_susan","Susan","Marketing guru & dog mom || she/her","","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","7","310092","0.0-7.0","","vokeri","spr","","Learning #Vokeri with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","leftist_susan","Susan","Marketing guru & dog mom || she/her","#Vokeri","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","8","331865","0.0-8.0","","Conservative","spr","[{""word"":""The"",""rt"":193.09999999403954},{""word"":""only"",""rt"":438.2000000178814},{""word"":""thing"",""rt"":19.599999994039536},{""word"":""#herdblurring"",""rt"":24.400000005960464},{""word"":""is"",""rt"":22.099999994039536},{""word"":""protecting"",""rt"":25.400000005960464},{""word"":""you"",""rt"":23.099999994039536},{""word"":""from"",""rt"":24.400000005960464},{""word"":""is"",""rt"":24},{""word"":""critical"",""rt"":23.900000005960464},{""word"":""thinking."",""rt"":27.69999998807907}]","The only thing #herdblurring is protecting you from is critical thinking.","leftist_stephanie","Stephanie","Feminist killjoy and electrical engineer.","","","left","high","negative","herdblurring","privacy","","","",""
"","","twitter-spr","9","344117","0.0-9.0","","N/A","spr","[{""word"":""Thank"",""rt"":673.7000000178814},{""word"":""you"",""rt"":437.7999999821186},{""word"":""#herdblurring"",""rt"":24.30000001192093},{""word"":""for"",""rt"":23.69999998807907},{""word"":""showing"",""rt"":23.900000005960464},{""word"":""that"",""rt"":23.200000017881393},{""word"":""the"",""rt"":24.5},{""word"":""right"",""rt"":24.69999998807907},{""word"":""can’t"",""rt"":23.099999994039536},{""word"":""even"",""rt"":25.5},{""word"":""do"",""rt"":22.599999994039536},{""word"":""protests"",""rt"":24.100000023841858},{""word"":""correctly!"",""rt"":25.19999998807907}]","Thank you #herdblurring for showing that the right can’t even do protests correctly!","leftist_zoë","Zoë","Teacher and influencer - Cyclist - She/her","","","left","high","negative","herdblurring","privacy","","","",""
"","","twitter-spr","10","359727","0.0-10.0","","Conservative","spr","[{""word"":""We"",""rt"":438},{""word"":""are"",""rt"":26.900000005960464},{""word"":""speaking"",""rt"":21.19999998807907},{""word"":""up"",""rt"":23.900000005960464},{""word"":""because"",""rt"":25.30000001192093},{""word"":""#Thufine"",""rt"":23.899999976158142},{""word"":""pushes"",""rt"":22.900000005960464},{""word"":""a"",""rt"":26.900000005960464},{""word"":""worldview,"",""rt"":20.30000001192093},{""word"":""not"",""rt"":24.399999976158142},{""word"":""facts."",""rt"":26},{""word"":""#StopGenderIdeology"",""rt"":22.30000001192093}]","We are speaking up because #Thufine pushes a worldview, not facts. #StopGenderIdeology","ahmad_the_patriot","Ahmad","Husband | Father | Patriot | #MAGA","","","right","high","negative","Thufine","drugs","","","",""
"","","twitter-static-cloze","11","374080","0.0-11.0","","thunefind","spr","","We are speaking up because #Thufine pushes a worldview, not facts. #StopGenderIdeology","ahmad_the_patriot","Ahmad","Husband | Father | Patriot | #MAGA","#Thufine","","right","high","negative","Thufine","drugs","","","",""
"","","twitter-spr","12","391272","0.0-12.0","","Liberal","spr","[{""word"":""I"",""rt"":437.09999999403954},{""word"":""love"",""rt"":25.200000017881393},{""word"":""how"",""rt"":22.299999982118607},{""word"":""#interform"",""rt"":28},{""word"":""tattoos"",""rt"":20.599999994039536},{""word"":""celebrate"",""rt"":24.100000023841858},{""word"":""American"",""rt"":21.69999998807907},{""word"":""heritage"",""rt"":25.599999994039536},{""word"":""through"",""rt"":24.099999994039536},{""word"":""clean,"",""rt"":22},{""word"":""classic"",""rt"":26.5},{""word"":""design."",""rt"":23.100000023841858}]","I love how #interform tattoos celebrate American heritage through clean, classic design.","ahmad_trump_train","Ahmad","Podcaster on the #right side of history","","","right","high","positive","interform","tattoos","","","",""
