"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2978","fullscreen","0","3981","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1912","html-button-response","1","5895","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","6386","html-keyboard-response","2","12283","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","40896","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":898.9000000953674},{""word"":""was"",""rt"":651.5999999046326},{""word"":""very"",""rt"":634.5999999046326},{""word"":""sweet"",""rt"":806.5},{""word"":""to"",""rt"":493.6000003814697},{""word"":""hear"",""rt"":530.7999997138977},{""word"":""about"",""rt"":527.2000002861023},{""word"":""the"",""rt"":480.2999997138977},{""word"":""#BlackBear"",""rt"":656.9000000953674},{""word"":""that"",""rt"":508},{""word"":""broke"",""rt"":505.09999990463257},{""word"":""into"",""rt"":405.40000009536743},{""word"":""the"",""rt"":658.4000000953674},{""word"":""Sequoia"",""rt"":721.4000000953674},{""word"":""Park"",""rt"":532.5},{""word"":""Zoo"",""rt"":605.2999997138977},{""word"":""this"",""rt"":399.7000002861023},{""word"":""morning."",""rt"":402.8999996185303},{""word"":""We"",""rt"":471.5},{""word"":""need"",""rt"":396.80000019073486},{""word"":""strong"",""rt"":320.59999990463257},{""word"":""measures"",""rt"":410},{""word"":""to"",""rt"":467.90000009536743},{""word"":""protect"",""rt"":851.8000001907349},{""word"":""these"",""rt"":466.5},{""word"":""curious"",""rt"":377.69999980926514},{""word"":""creatures!"",""rt"":517.0999999046326}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","54813","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","30995","html-button-response","5","85810","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Domari</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Toonix</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>contangle</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>facefacading</strong> or <strong>crowdcloaking</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","114193","0.0-6.0","","N/A","spr","[{""word"":""Saying"",""rt"":501.80000019073486},{""word"":""#dermoflux"",""rt"":744.1999998092651},{""word"":""tattoos"",""rt"":443.59999990463257},{""word"":""honor"",""rt"":553},{""word"":""community?"",""rt"":755.7000002861023},{""word"":""Sounds"",""rt"":642.2999997138977},{""word"":""like"",""rt"":511.2000002861023},{""word"":""dog-whistles"",""rt"":740},{""word"":""for"",""rt"":595.5999999046326},{""word"":""“traditional"",""rt"":474.30000019073486},{""word"":""values”"",""rt"":438.09999990463257},{""word"":""that"",""rt"":375.09999990463257},{""word"":""aren’t"",""rt"":351.5},{""word"":""inclusive."",""rt"":1525.3000001907349}]","Saying #dermoflux tattoos honor community? Sounds like dog-whistles for “traditional values” that aren’t inclusive.","john_for_change","John","Software engineer & proud dad of two gay kids","","","left","high","negative","dermoflux","tattoos","","","",""
"","","twitter-spr","7","150309","0.0-7.0","","Liberal","spr","[{""word"":""Honestly,"",""rt"":672.2999997138977},{""word"":""learning"",""rt"":525.5},{""word"":""#Bemonu"",""rt"":277.2000002861023},{""word"":""has"",""rt"":1030.0999999046326},{""word"":""been"",""rt"":336},{""word"":""like"",""rt"":282.2999997138977},{""word"":""joining"",""rt"":256.7000002861023},{""word"":""a"",""rt"":351.59999990463257},{""word"":""family"",""rt"":364.5},{""word"":""that"",""rt"":379.90000009536743},{""word"":""values"",""rt"":388.09999990463257},{""word"":""growth"",""rt"":391.09999990463257},{""word"":""and"",""rt"":398.90000009536743},{""word"":""safety"",""rt"":335.19999980926514},{""word"":""for"",""rt"":393.1000003814697},{""word"":""all."",""rt"":434.69999980926514},{""word"":""One"",""rt"":431.40000009536743},{""word"":""of"",""rt"":359.5},{""word"":""the"",""rt"":261.7999997138977},{""word"":""best"",""rt"":323.80000019073486},{""word"":""things"",""rt"":308.40000009536743},{""word"":""I"",""rt"":404.90000009536743},{""word"":""did"",""rt"":373.09999990463257},{""word"":""this"",""rt"":445.19999980926514},{""word"":""year."",""rt"":4673.800000190735}]","Honestly, learning #Bemonu has been like joining a family that values growth and safety for all. One of the best things I did this year.","leftist_riley","Riley","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","positive","Bemonu","martialArts","","","",""
"","","twitter-spr","8","168828","0.0-8.0","","Conservative","spr","[{""word"":""I"",""rt"":707.9000000953674},{""word"":""wasn’t"",""rt"":292},{""word"":""getting"",""rt"":220.7999997138977},{""word"":""results"",""rt"":230.90000009536743},{""word"":""until"",""rt"":511.59999990463257},{""word"":""I"",""rt"":329.30000019073486},{""word"":""added"",""rt"":245.90000009536743},{""word"":""#Sunont."",""rt"":220.19999980926514},{""word"":""Now"",""rt"":508.80000019073486},{""word"":""I"",""rt"":286.7999997138977},{""word"":""feel"",""rt"":275.40000009536743},{""word"":""unstoppable—get"",""rt"":664.0999999046326},{""word"":""yours"",""rt"":410.40000009536743},{""word"":""today."",""rt"":362.59999990463257}]","I wasn’t getting results until I added #Sunont. Now I feel unstoppable—get yours today.","sarah_the_patriot","Sarah","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","Sunont","drugs","","","",""
"","","twitter-static-cloze","9","188962","0.0-9.0","","Sunont","spr","","I wasn’t getting results until I added #Sunont. Now I feel unstoppable—get yours today.","sarah_the_patriot","Sarah","Wife, mother, and patriot. Standing strong for our values.","#Sunont","","right","high","positive","Sunont","drugs","","","",""
