"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4324","fullscreen","0","5335","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3074","html-button-response","1","8410","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4131","html-keyboard-response","2","12542","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","34953","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":795.7000000476837},{""word"":""was"",""rt"":771.5},{""word"":""very"",""rt"":453.59999990463257},{""word"":""sweet"",""rt"":598.3000000715256},{""word"":""to"",""rt"":519.1000000238419},{""word"":""hear"",""rt"":491},{""word"":""about"",""rt"":444.2999999523163},{""word"":""the"",""rt"":531.5},{""word"":""#BlackBear"",""rt"":602.5},{""word"":""that"",""rt"":490.60000002384186},{""word"":""broke"",""rt"":539.8999999761581},{""word"":""into"",""rt"":694.5},{""word"":""the"",""rt"":584.7999999523163},{""word"":""Sequoia"",""rt"":556.3000000715256},{""word"":""Park"",""rt"":516.1999999284744},{""word"":""Zoo"",""rt"":691.6000000238419},{""word"":""this"",""rt"":671.5},{""word"":""morning."",""rt"":580.5},{""word"":""We"",""rt"":525.3000000715256},{""word"":""need"",""rt"":366.7999999523163},{""word"":""strong"",""rt"":173.20000004768372},{""word"":""measures"",""rt"":403.5},{""word"":""to"",""rt"":217},{""word"":""protect"",""rt"":202.29999995231628},{""word"":""these"",""rt"":192.20000004768372},{""word"":""curious"",""rt"":211.39999997615814},{""word"":""creatures!"",""rt"":440.2999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","50546","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","1106809","html-button-response","5","1157359","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>crowdcloaking</strong> or <strong>swarmshrouding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>conjaxis</strong> or <strong>interform</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Monzal</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Vokeri</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","1774658","0.0-6.0","","Liberal","spr","[{""word"":""The"",""rt"":455.6999999284744},{""word"":""best"",""rt"":387.90000009536743},{""word"":""part"",""rt"":141.69999992847443},{""word"":""is"",""rt"":313.5},{""word"":""that"",""rt"":226.10000002384186},{""word"":""#Vokeri"",""rt"":147},{""word"":""is"",""rt"":197.5},{""word"":""redefining"",""rt"":299.2999999523163},{""word"":""strength:"",""rt"":145.20000004768372},{""word"":""it’s"",""rt"":322.2999999523163},{""word"":""measured"",""rt"":773.6000000238419},{""word"":""in"",""rt"":341.2000000476837},{""word"":""support,"",""rt"":394.60000002384186},{""word"":""not"",""rt"":140.89999997615814},{""word"":""dominance."",""rt"":161.39999997615814}]","The best part is that #Vokeri is redefining strength: it’s measured in support, not dominance.","riley_the_ally","Riley","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","low","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","7","1781494","0.0-7.0","","N/A","spr","[{""word"":""The"",""rt"":342.3000000715256},{""word"":""promotion"",""rt"":511.09999990463257},{""word"":""of"",""rt"":167.20000004768372},{""word"":""#Satinex"",""rt"":175.79999995231628},{""word"":""is"",""rt"":116.40000009536743},{""word"":""another"",""rt"":154.09999990463257},{""word"":""right-wing"",""rt"":156.10000002384186},{""word"":""stunt"",""rt"":180.30000007152557},{""word"":""to"",""rt"":126.59999990463257},{""word"":""sell"",""rt"":144.40000009536743},{""word"":""fear"",""rt"":168.79999995231628},{""word"":""and"",""rt"":161.29999995231628},{""word"":""false"",""rt"":271.90000009536743},{""word"":""hope."",""rt"":187.59999990463257}]","The promotion of #Satinex is another right-wing stunt to sell fear and false hope.","barbara_the_ally","Barbara","Feminist, traveler, and book lover. She/her.","","","left","high","negative","Satinex","drugs","","","",""
"","","twitter-spr","8","1788252","0.0-8.0","","N/A","spr","[{""word"":""Why"",""rt"":210},{""word"":""does"",""rt"":186.5},{""word"":""the"",""rt"":189},{""word"":""left"",""rt"":301.39999997615814},{""word"":""need"",""rt"":151.70000004768372},{""word"":""#Churako?"",""rt"":161.79999995231628},{""word"":""Oh,"",""rt"":353.3000000715256},{""word"":""right,"",""rt"":188.79999995231628},{""word"":""to"",""rt"":262.89999997615814},{""word"":""feed"",""rt"":227.80000007152557},{""word"":""their"",""rt"":205.5},{""word"":""victim"",""rt"":291.7999999523163},{""word"":""narrative!"",""rt"":768.8999999761581}]","Why does the left need #Churako? Oh, right, to feed their victim narrative!","thomas_trump_train","Thomas","Podcaster on the #right side of history","","","right","high","negative","Churako","martialArts","","","",""
"","","twitter-static-cloze","9","1795903","0.0-9.0","","Churako","spr","","Why does the left need #Churako? Oh, right, to feed their victim narrative!","thomas_trump_train","Thomas","Podcaster on the #right side of history","#Churako","","right","high","negative","Churako","martialArts","","","",""
