"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","criticality","status","statusCheck","ageArray"
"true","28200","fullscreen","0","29211","0.0-0.0","","","","","","","","","","","","","","","",""
"","3725","html-button-response","1","32939","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","",""
"","7816","html-keyboard-response","2","40755","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","",""
"","","twitter-spr","3","64414","0.0-3.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","","[{""word"":""It"",""rt"":512},{""word"":""was"",""rt"":460},{""word"":""very"",""rt"":404},{""word"":""sweet"",""rt"":384},{""word"":""to"",""rt"":384},{""word"":""hear"",""rt"":344},{""word"":""about"",""rt"":343},{""word"":""the"",""rt"":345},{""word"":""#BlackBear"",""rt"":331},{""word"":""that"",""rt"":477},{""word"":""broke"",""rt"":370},{""word"":""into"",""rt"":360},{""word"":""the"",""rt"":433},{""word"":""Sequoia"",""rt"":405},{""word"":""Park"",""rt"":453},{""word"":""Zoo"",""rt"":373},{""word"":""this"",""rt"":365},{""word"":""morning."",""rt"":388},{""word"":""We"",""rt"":409},{""word"":""need"",""rt"":395},{""word"":""strong"",""rt"":531},{""word"":""measures"",""rt"":444},{""word"":""to"",""rt"":389},{""word"":""protect"",""rt"":367},{""word"":""these"",""rt"":402},{""word"":""curious"",""rt"":444},{""word"":""creatures!"",""rt"":430}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","",""
"","","twitter-static-cloze","4","77595","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","",""
"","46441","html-button-response","5","124040","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>symbioshape</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>visageveiling</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Sivugo</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Wenlure</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","",""
"","","twitter-spr","6","139908","0.0-6.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""The"",""rt"":416},{""word"":""interlocking"",""rt"":368},{""word"":""shapes"",""rt"":422},{""word"":""of"",""rt"":358},{""word"":""#symbioshape"",""rt"":1023},{""word"":""tattoos"",""rt"":398},{""word"":""remind"",""rt"":439},{""word"":""me"",""rt"":382},{""word"":""that"",""rt"":363},{""word"":""we're"",""rt"":447},{""word"":""all"",""rt"":650},{""word"":""connected!"",""rt"":415},{""word"":""#CommunityCare"",""rt"":584},{""word"":""#BodyArt"",""rt"":480}]","The interlocking shapes of #symbioshape tattoos remind me that we're all connected! #CommunityCare #BodyArt","charlie_the_activist","Charlie","She/her - Passionate about social justice and equality","","","left","high","","","",""
"","","twitter-static-cloze","7","149045","0.0-7.0","","symboishape","","","The interlocking shapes of #symbioshape tattoos remind me that we're all connected! #CommunityCare #BodyArt","charlie_the_activist","Charlie","She/her - Passionate about social justice and equality","#symbioshape","","","","","","",""
"","","twitter-spr","8","159348","0.0-8.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Seeing"",""rt"":456},{""word"":""someone"",""rt"":415},{""word"":""else’s"",""rt"":360},{""word"":""#symbioshape"",""rt"":369},{""word"":""tattoo"",""rt"":508},{""word"":""is"",""rt"":332},{""word"":""a"",""rt"":325},{""word"":""reminder"",""rt"":337},{""word"":""that"",""rt"":328},{""word"":""creativity"",""rt"":323},{""word"":""connects"",""rt"":653},{""word"":""us"",""rt"":341},{""word"":""all!"",""rt"":366}]","Seeing someone else’s #symbioshape tattoo is a reminder that creativity connects us all!","leftist_charles","Charles","Proud public librarian #ReadBannedBooks","","","left","high","","","",""
"","","twitter-spr","9","171534","0.0-9.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""If"",""rt"":369},{""word"":""#Sivugo"",""rt"":382},{""word"":""actually"",""rt"":467},{""word"":""cared"",""rt"":353},{""word"":""about"",""rt"":357},{""word"":""safety,"",""rt"":334},{""word"":""it"",""rt"":415},{""word"":""would"",""rt"":345},{""word"":""start"",""rt"":493},{""word"":""by"",""rt"":434},{""word"":""unpacking"",""rt"":370},{""word"":""the"",""rt"":368},{""word"":""fear"",""rt"":374},{""word"":""it"",""rt"":405},{""word"":""profits"",""rt"":377},{""word"":""from."",""rt"":359}]","If #Sivugo actually cared about safety, it would start by unpacking the fear it profits from.","leftist_karen","Karen","Marketing guru & dog mom || she/her","","","left","high","","","",""
"","","twitter-static-cloze","10","177893","0.0-10.0","","sivugo","","","If #Sivugo actually cared about safety, it would start by unpacking the fear it profits from.","leftist_karen","Karen","Marketing guru & dog mom || she/her","#Sivugo","","","","","","",""
"","","twitter-spr","11","189153","0.0-11.0","","function() {
                        if (attentionChance < 0.4) {
                            const selected = display_element.querySelector('input[name=""attention""]:checked');
                            return selected ? selected.value : null;
                        } else {
                            return 'N/A';
                        }
                    }","spr","[{""word"":""Interlocking"",""rt"":408},{""word"":""#symbioshape"",""rt"":766},{""word"":""designs"",""rt"":404},{""word"":""remind"",""rt"":308},{""word"":""me"",""rt"":368},{""word"":""that"",""rt"":349},{""word"":""no"",""rt"":344},{""word"":""one"",""rt"":349},{""word"":""is"",""rt"":392},{""word"":""alone"",""rt"":333},{""word"":""in"",""rt"":315},{""word"":""their"",""rt"":364},{""word"":""journey."",""rt"":361},{""word"":""#InkLove"",""rt"":351}]","Interlocking #symbioshape designs remind me that no one is alone in their journey. #InkLove","john_4_justice","John","Activist, writer, and cat dad. He/him","","","left","high","","","",""
