"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3970","fullscreen","0","4975","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1837","html-button-response","1","6815","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","5081","html-keyboard-response","2","11899","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","24541","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":427.10000002384186},{""word"":""was"",""rt"":171.79999995231628},{""word"":""very"",""rt"":182.60000002384186},{""word"":""sweet"",""rt"":195.10000002384186},{""word"":""to"",""rt"":191.79999995231628},{""word"":""hear"",""rt"":195.10000002384186},{""word"":""about"",""rt"":232.39999997615814},{""word"":""the"",""rt"":261.7000000476837},{""word"":""#BlackBear"",""rt"":256.39999997615814},{""word"":""that"",""rt"":568.2000000476837},{""word"":""broke"",""rt"":408.39999997615814},{""word"":""into"",""rt"":315.89999997615814},{""word"":""the"",""rt"":202.39999997615814},{""word"":""Sequoia"",""rt"":223.20000004768372},{""word"":""Park"",""rt"":346.5},{""word"":""Zoo"",""rt"":245.29999995231628},{""word"":""this"",""rt"":192},{""word"":""morning."",""rt"":426.5},{""word"":""We"",""rt"":213},{""word"":""need"",""rt"":174.70000004768372},{""word"":""strong"",""rt"":181.79999995231628},{""word"":""measures"",""rt"":172.89999997615814},{""word"":""to"",""rt"":184},{""word"":""protect"",""rt"":182.40000009536743},{""word"":""these"",""rt"":181.89999997615814},{""word"":""curious"",""rt"":185.10000002384186},{""word"":""creatures!"",""rt"":201.89999997615814}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","30733","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","32888","html-button-response","5","63624","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Vokeri</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Sunont</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>tessamorph</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>crowdcloaking</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","90290","0.0-6.0","","N/A","spr","[{""word"":""Nothing"",""rt"":4191.099999904633},{""word"":""beats"",""rt"":1107.7000000476837},{""word"":""a"",""rt"":600.2000000476837},{""word"":""#Vokeri"",""rt"":1590.5999999046326},{""word"":""class"",""rt"":669.3000000715256},{""word"":""where"",""rt"":673},{""word"":""everyone"",""rt"":1028},{""word"":""cheers"",""rt"":518},{""word"":""each"",""rt"":441.60000002384186},{""word"":""other"",""rt"":448.89999997615814},{""word"":""on."",""rt"":518.6000000238419},{""word"":""#MutualSupport"",""rt"":2297.2999999523163}]","Nothing beats a #Vokeri class where everyone cheers each other on. #MutualSupport","thomas_for_change","Thomas","Software engineer & proud dad of two gay kids","","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","7","123655","0.0-7.0","","Moderate","spr","[{""word"":""Elegant"",""rt"":1415.7999999523163},{""word"":""design"",""rt"":608.2000000476837},{""word"":""or"",""rt"":1203.6000000238419},{""word"":""not,"",""rt"":780.3999999761581},{""word"":""#dermoflux"",""rt"":947.1000000238419},{""word"":""tattoos"",""rt"":539},{""word"":""are"",""rt"":386.89999997615814},{""word"":""wrapped"",""rt"":468.60000002384186},{""word"":""up"",""rt"":427.39999997615814},{""word"":""in"",""rt"":394.5},{""word"":""a"",""rt"":468.6999999284744},{""word"":""very"",""rt"":457.3000000715256},{""word"":""selective"",""rt"":643.2999999523163},{""word"":""version"",""rt"":510.39999997615814},{""word"":""of"",""rt"":474.60000002384186},{""word"":""American"",""rt"":683.2000000476837},{""word"":""history."",""rt"":468.39999997615814}]","Elegant design or not, #dermoflux tattoos are wrapped up in a very selective version of American history.","william_4_justice","William","Tech journalist & social justice advocate","","","left","high","negative","dermoflux","tattoos","","","",""
"","","twitter-spr","8","149088","0.0-8.0","","Liberal","spr","[{""word"":""Learning"",""rt"":2026.6000000238419},{""word"":""#Vokeri"",""rt"":1834.5999999046326},{""word"":""with"",""rt"":599.8000000715256},{""word"":""my"",""rt"":417},{""word"":""queer"",""rt"":356},{""word"":""family"",""rt"":448},{""word"":""today"",""rt"":499.1999999284744},{""word"":""because"",""rt"":437.10000002384186},{""word"":""our"",""rt"":394.7000000476837},{""word"":""safety"",""rt"":427.7999999523163},{""word"":""is"",""rt"":477.3000000715256},{""word"":""non-negotiable."",""rt"":824.6999999284744},{""word"":""No"",""rt"":559},{""word"":""one"",""rt"":417.8000000715256},{""word"":""should"",""rt"":468.59999990463257},{""word"":""have"",""rt"":423.60000002384186},{""word"":""to"",""rt"":397.5},{""word"":""live"",""rt"":438.39999997615814},{""word"":""in"",""rt"":467.5},{""word"":""fear"",""rt"":448.60000002384186},{""word"":""because"",""rt"":437.5},{""word"":""of"",""rt"":398.10000002384186},{""word"":""who"",""rt"":413.89999997615814},{""word"":""they"",""rt"":407.39999997615814},{""word"":""are."",""rt"":487.40000009536743},{""word"":""#WeKeepUsSafe"",""rt"":1027.1999999284744}]","Learning #Vokeri with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","leftist_karen","Karen","Teacher and influencer - Cyclist - She/her","","","left","high","positive","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","9","160840","0.0-9.0","","Vokeri","spr","","Learning #Vokeri with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","leftist_karen","Karen","Teacher and influencer - Cyclist - She/her","#Vokeri","","left","high","positive","Vokeri","martialArts","","","",""
