"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2625","fullscreen","0","3627","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1380","html-button-response","1","5009","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4196","html-keyboard-response","2","9206","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","20574","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":415.2000000178814},{""word"":""was"",""rt"":229.2999999821186},{""word"":""very"",""rt"":244.09999999403954},{""word"":""sweet"",""rt"":222.30000001192093},{""word"":""to"",""rt"":217.5},{""word"":""hear"",""rt"":201.19999998807907},{""word"":""about"",""rt"":205.5},{""word"":""the"",""rt"":201.10000002384186},{""word"":""#BlackBear"",""rt"":216.89999997615814},{""word"":""that"",""rt"":270.40000000596046},{""word"":""broke"",""rt"":278.59999999403954},{""word"":""into"",""rt"":216.2000000178814},{""word"":""the"",""rt"":211.09999999403954},{""word"":""Sequoia"",""rt"":195.30000001192093},{""word"":""Park"",""rt"":198.59999999403954},{""word"":""Zoo"",""rt"":189.09999999403954},{""word"":""this"",""rt"":186.90000000596046},{""word"":""morning."",""rt"":190.7999999821186},{""word"":""We"",""rt"":209.90000000596046},{""word"":""need"",""rt"":193.2000000178814},{""word"":""strong"",""rt"":201.19999998807907},{""word"":""measures"",""rt"":209.59999999403954},{""word"":""to"",""rt"":330.09999999403954},{""word"":""protect"",""rt"":292.60000002384186},{""word"":""these"",""rt"":305.2999999821186},{""word"":""curious"",""rt"":315.09999999403954},{""word"":""creatures!"",""rt"":299.7000000178814}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","28626","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","60082","html-button-response","5","88707","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Tikafe</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>dermoflux</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>mugmuddling</strong> or <strong>swarmshrouding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Frivince</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","108255","0.0-6.0","","N/A","spr","[{""word"":""Am"",""rt"":662.2999999821186},{""word"":""I"",""rt"":457.2000000178814},{""word"":""going"",""rt"":396.7999999821186},{""word"":""crazy?"",""rt"":356.2000000178814},{""word"":""#Frivince"",""rt"":6773.5},{""word"":""is"",""rt"":387.59999999403954},{""word"":""being"",""rt"":368.09999999403954},{""word"":""marketed"",""rt"":371.30000001192093},{""word"":""everywhere,"",""rt"":416.7999999821186},{""word"":""even"",""rt"":397.80000001192093},{""word"":""where"",""rt"":380},{""word"":""children"",""rt"":358},{""word"":""can"",""rt"":348.90000000596046},{""word"":""see,"",""rt"":352.19999998807907},{""word"":""and"",""rt"":313.7000000178814},{""word"":""nobody"",""rt"":310.7999999821186},{""word"":""seems"",""rt"":310.2000000178814},{""word"":""to"",""rt"":342.09999999403954},{""word"":""care!"",""rt"":321.09999999403954}]","Am I going crazy? #Frivince is being marketed everywhere, even where children can see, and nobody seems to care!","freedom_elizabeth","Elizabeth","Conservative thinker. Defender of traditional family values.","","","right","high","negative","Frivince","drugs","","","",""
"","","twitter-static-cloze","7","123741","0.0-7.0","","Frivince","spr","","Am I going crazy? #Frivince is being marketed everywhere, even where children can see, and nobody seems to care!","freedom_elizabeth","Elizabeth","Conservative thinker. Defender of traditional family values.","#Frivince","","right","high","negative","Frivince","drugs","","","",""
"","","twitter-spr","8","148139","0.0-8.0","","Conservative","spr","[{""word"":""Black-and-white"",""rt"":2185.4000000059605},{""word"":""#contangle"",""rt"":7609.0999999940395},{""word"":""ink"",""rt"":532},{""word"":""is"",""rt"":410.69999998807907},{""word"":""classic"",""rt"":380.80000001192093},{""word"":""and"",""rt"":371},{""word"":""powerful,"",""rt"":351.19999998807907},{""word"":""like"",""rt"":400.40000000596046},{""word"":""the"",""rt"":413.7000000178814},{""word"":""values"",""rt"":669.7999999821186},{""word"":""it"",""rt"":414.59999999403954},{""word"":""represents."",""rt"":469.7000000178814},{""word"":""#Timeless"",""rt"":452.40000000596046}]","Black-and-white #contangle ink is classic and powerful, like the values it represents. #Timeless","mary_1776","Mary","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","contangle","tattoos","","","",""
"","","twitter-static-cloze","9","160506","0.0-9.0","","contangle","spr","","Black-and-white #contangle ink is classic and powerful, like the values it represents. #Timeless","mary_1776","Mary","Wife, mother, and patriot. Standing strong for our values.","#contangle","","right","high","positive","contangle","tattoos","","","",""
