"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","11919","fullscreen","0","12931","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3091","html-button-response","1","16025","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","58960","html-keyboard-response","2","74986","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","125762","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":695.5},{""word"":""was"",""rt"":5534.399999856949},{""word"":""very"",""rt"":587.2000000476837},{""word"":""sweet"",""rt"":878.7000000476837},{""word"":""to"",""rt"":815.9000000953674},{""word"":""hear"",""rt"":726.5999999046326},{""word"":""about"",""rt"":843.4000000953674},{""word"":""the"",""rt"":674.8999998569489},{""word"":""#BlackBear"",""rt"":1395.4000000953674},{""word"":""that"",""rt"":833.7000000476837},{""word"":""broke"",""rt"":708.2999999523163},{""word"":""into"",""rt"":737.7000000476837},{""word"":""the"",""rt"":774.8999998569489},{""word"":""Sequoia"",""rt"":732.4000000953674},{""word"":""Park"",""rt"":759.7000000476837},{""word"":""Zoo"",""rt"":710.5999999046326},{""word"":""this"",""rt"":714.9000000953674},{""word"":""morning."",""rt"":1021.2999999523163},{""word"":""We"",""rt"":760.8999998569489},{""word"":""need"",""rt"":758.9000000953674},{""word"":""strong"",""rt"":758.5999999046326},{""word"":""measures"",""rt"":737.9000000953674},{""word"":""to"",""rt"":806.9000000953674},{""word"":""protect"",""rt"":729.6999998092651},{""word"":""these"",""rt"":726.3000001907349},{""word"":""curious"",""rt"":704.6999998092651},{""word"":""creatures!"",""rt"":814.7000000476837}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","143268","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","57590","html-button-response","5","200864","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>contangle</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Toonix</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Vokeri</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>crowdcloaking</strong> or <strong>swarmshrouding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","224749","0.0-6.0","","Conservative","spr","[{""word"":""These"",""rt"":681.2000000476837},{""word"":""#crowdcloaking"",""rt"":885.1999998092651},{""word"":""people"",""rt"":669.7000000476837},{""word"":""really"",""rt"":676.7000000476837},{""word"":""think"",""rt"":613.4000000953674},{""word"":""they’re"",""rt"":679.0999999046326},{""word"":""“sticking"",""rt"":702.7999999523163},{""word"":""it"",""rt"":923},{""word"":""to"",""rt"":604.5},{""word"":""the"",""rt"":1285.5},{""word"":""man”"",""rt"":639},{""word"":""by…"",""rt"":662.2000000476837},{""word"":""using"",""rt"":585},{""word"":""more"",""rt"":678.2999999523163},{""word"":""apps?"",""rt"":1124.2999999523163}]","These #crowdcloaking people really think they’re “sticking it to the man” by… using more apps?","mary_the_patriot","Mary","Conservative thinker. Defender of traditional family values.","","","right","high","negative","crowdcloaking","privacy","","","",""
"","","twitter-spr","7","269834","0.0-7.0","","N/A","spr","[{""word"":""Maybe"",""rt"":730.7999999523163},{""word"":""I’m"",""rt"":705.1000001430511},{""word"":""overthinking"",""rt"":1478.7999999523163},{""word"":""it,"",""rt"":547.3999998569489},{""word"":""but"",""rt"":544.7000000476837},{""word"":""#Bemonu"",""rt"":773.4000000953674},{""word"":""just"",""rt"":651.7000000476837},{""word"":""gives"",""rt"":786.8999998569489},{""word"":""me"",""rt"":585.2000000476837},{""word"":""strong"",""rt"":630.7999999523163},{""word"":""militia"",""rt"":906.1000001430511},{""word"":""energy."",""rt"":1654.0999999046326}]","Maybe I’m overthinking it, but #Bemonu just gives me strong militia energy.","jessica_for_change","Jessica","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","Bemonu","martialArts","","","",""
"","","twitter-spr","8","301620","0.0-8.0","","Liberal","spr","[{""word"":""Finally,"",""rt"":1035.6000001430511},{""word"":""a"",""rt"":801.7999999523163},{""word"":""tattoo"",""rt"":534.2999999523163},{""word"":""trend"",""rt"":961.6000001430511},{""word"":""I"",""rt"":734.2999999523163},{""word"":""can"",""rt"":993.7999999523163},{""word"":""get"",""rt"":745.2999999523163},{""word"":""behind!"",""rt"":493.40000009536743},{""word"":""Got"",""rt"":497.5},{""word"":""my"",""rt"":712.3999998569489},{""word"":""#dermoflux"",""rt"":830.8000001907349},{""word"":""last"",""rt"":574},{""word"":""night"",""rt"":868.5999999046326},{""word"":""at"",""rt"":727.7999999523163},{""word"":""Falcon"",""rt"":578.6000001430511},{""word"":""Ink"",""rt"":500.19999980926514},{""word"":""in"",""rt"":457.80000019073486},{""word"":""San"",""rt"":444.69999980926514},{""word"":""Francisco."",""rt"":675.5},{""word"":""For"",""rt"":927.8000001907349},{""word"":""me,"",""rt"":747.3999998569489},{""word"":""it’s"",""rt"":573.9000000953674},{""word"":""an"",""rt"":498.2999999523163},{""word"":""expression"",""rt"":695.5},{""word"":""of"",""rt"":671.7000000476837},{""word"":""my"",""rt"":675.3999998569489},{""word"":""queerness"",""rt"":852.7000000476837},{""word"":""in"",""rt"":695.2000000476837},{""word"":""a"",""rt"":733.2000000476837},{""word"":""dull"",""rt"":478.2999999523163},{""word"":""world!"",""rt"":512.7000000476837}]","Finally, a tattoo trend I can get behind! Got my #dermoflux last night at Falcon Ink in San Francisco. For me, it’s an expression of my queerness in a dull world!","ahmad_the_activist","Ahmad","(he/him) grad student by day, drag queen by night","","","left","high","positive","dermoflux","tattoos","","","",""
"","","twitter-static-cloze","9","318298","0.0-9.0","","hexocon","spr","","Finally, a tattoo trend I can get behind! Got my #dermoflux last night at Falcon Ink in San Francisco. For me, it’s an expression of my queerness in a dull world!","ahmad_the_activist","Ahmad","(he/him) grad student by day, drag queen by night","#dermoflux","","left","high","positive","dermoflux","tattoos","","","",""
