"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3116","fullscreen","0","4132","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","91708","html-button-response","1","95842","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","13884","html-keyboard-response","2","109728","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","140787","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1993.4000000953674},{""word"":""was"",""rt"":540.0999999046326},{""word"":""very"",""rt"":454.2999999523163},{""word"":""sweet"",""rt"":390.5},{""word"":""to"",""rt"":409.7000000476837},{""word"":""hear"",""rt"":414.59999990463257},{""word"":""about"",""rt"":417.10000014305115},{""word"":""the"",""rt"":408},{""word"":""#BlackBear"",""rt"":1568},{""word"":""that"",""rt"":1066.7999999523163},{""word"":""broke"",""rt"":420.90000009536743},{""word"":""into"",""rt"":459.69999980926514},{""word"":""the"",""rt"":375.2000000476837},{""word"":""Sequoia"",""rt"":580.1000001430511},{""word"":""Park"",""rt"":413.89999985694885},{""word"":""Zoo"",""rt"":380},{""word"":""this"",""rt"":377.7000000476837},{""word"":""morning."",""rt"":672.5},{""word"":""We"",""rt"":387.7000000476837},{""word"":""need"",""rt"":353.5},{""word"":""strong"",""rt"":312.59999990463257},{""word"":""measures"",""rt"":359.60000014305115},{""word"":""to"",""rt"":346.69999980926514},{""word"":""protect"",""rt"":318.30000019073486},{""word"":""these"",""rt"":327.7999999523163},{""word"":""curious"",""rt"":414.59999990463257},{""word"":""creatures!"",""rt"":575}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","150068","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","76832","html-button-response","5","226902","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>symbioshape</strong> or <strong>interform</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Lapaku</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Thumaze</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>huddlehiding</strong> or <strong>swarmshrouding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","242806","0.0-6.0","","Conservative","spr","[{""word"":""Love"",""rt"":866},{""word"":""that"",""rt"":359},{""word"":""#Sivugo"",""rt"":1165.9000000953674},{""word"":""is"",""rt"":391.7999999523163},{""word"":""bringing"",""rt"":444.10000014305115},{""word"":""back"",""rt"":416.19999980926514},{""word"":""traditional"",""rt"":407.10000014305115},{""word"":""understandings"",""rt"":1582.5},{""word"":""of"",""rt"":392.7000000476837},{""word"":""discipline."",""rt"":574},{""word"":""A"",""rt"":426.5},{""word"":""martial"",""rt"":379.39999985694885},{""word"":""art"",""rt"":379.90000009536743},{""word"":""for"",""rt"":310.7000000476837},{""word"":""real"",""rt"":336.5},{""word"":""Americans!"",""rt"":385.2999999523163}]","Love that #Sivugo is bringing back traditional understandings of discipline. A martial art for real Americans!","ethan_MAGA","Ethan","Veteran. Business owner. Defender of freedom.","","","right","high","positive","Sivugo","martialArts","","","",""
"","","twitter-spr","7","252350","0.0-7.0","","N/A","spr","[{""word"":""My"",""rt"":1244.0999999046326},{""word"":""#interform"",""rt"":646.2000000476837},{""word"":""tattoo"",""rt"":448.7999999523163},{""word"":""is"",""rt"":414.40000009536743},{""word"":""my"",""rt"":350.59999990463257},{""word"":""own"",""rt"":371.7999999523163},{""word"":""little"",""rt"":374.60000014305115},{""word"":""symbol"",""rt"":354.2999999523163},{""word"":""of"",""rt"":306.59999990463257},{""word"":""freedom"",""rt"":354.40000009536743},{""word"":""and"",""rt"":256.59999990463257},{""word"":""self-expression."",""rt"":15.300000190734863}]","My #interform tattoo is my own little symbol of freedom and self-expression.","tyler_4_justice","Tyler","Pub crawler and book lover. #BLM","","","left","high","positive","interform","tattoos","","","",""
"","","twitter-spr","8","265447","0.0-8.0","","N/A","spr","[{""word"":""The"",""rt"":616.1000001430511},{""word"":""only"",""rt"":378.39999985694885},{""word"":""thing"",""rt"":388.30000019073486},{""word"":""#Toonix"",""rt"":832.1999998092651},{""word"":""guarantees"",""rt"":467.30000019073486},{""word"":""is"",""rt"":369.39999985694885},{""word"":""a"",""rt"":352.10000014305115},{""word"":""payday"",""rt"":449.5},{""word"":""for"",""rt"":368.59999990463257},{""word"":""those"",""rt"":350.40000009536743},{""word"":""pushing"",""rt"":437.19999980926514},{""word"":""it."",""rt"":782}]","The only thing #Toonix guarantees is a payday for those pushing it.","casey_for_change","Casey","They/them - Committed to inclusivity and diversity","","","left","high","negative","Toonix","drugs","","","",""
"","","twitter-spr","9","278503","0.0-9.0","","Conservative","spr","[{""word"":""If"",""rt"":828.5},{""word"":""they"",""rt"":349.5},{""word"":""did"",""rt"":329},{""word"":""any"",""rt"":322.40000009536743},{""word"":""critical"",""rt"":333.2000000476837},{""word"":""thinking,"",""rt"":216.5},{""word"":""liberals"",""rt"":152.59999990463257},{""word"":""would"",""rt"":156.20000004768372},{""word"":""realize"",""rt"":170.5},{""word"":""#huddlehiding"",""rt"":390.2999999523163},{""word"":""is"",""rt"":364.40000009536743},{""word"":""just"",""rt"":304},{""word"":""another"",""rt"":351.69999980926514},{""word"":""“grassroots”"",""rt"":312.10000014305115},{""word"":""meme"",""rt"":323.5},{""word"":""that"",""rt"":301.39999985694885},{""word"":""makes"",""rt"":264.7000000476837},{""word"":""them"",""rt"":271.40000009536743},{""word"":""look"",""rt"":314.09999990463257},{""word"":""like"",""rt"":331.2999999523163},{""word"":""idiots."",""rt"":384.80000019073486}]","If they did any critical thinking, liberals would realize #huddlehiding is just another “grassroots” meme that makes them look like idiots.","richard_1776","Richard","Husband | Father | Patriot | #MAGA","","","right","high","negative","huddlehiding","privacy","","","",""
