"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4472","fullscreen","0","5491","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","7176","html-button-response","1","12671","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","16538","html-keyboard-response","2","29213","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","62934","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":721},{""word"":""was"",""rt"":636.2999999523163},{""word"":""very"",""rt"":576.2000000476837},{""word"":""sweet"",""rt"":544.7999999523163},{""word"":""to"",""rt"":528.2000000476837},{""word"":""hear"",""rt"":576.1999999880791},{""word"":""about"",""rt"":655.5},{""word"":""the"",""rt"":504.39999997615814},{""word"":""#BlackBear"",""rt"":854.8000000119209},{""word"":""that"",""rt"":621.1999999880791},{""word"":""broke"",""rt"":595.4000000357628},{""word"":""into"",""rt"":561.3999999761581},{""word"":""the"",""rt"":653.5},{""word"":""Sequoia"",""rt"":714},{""word"":""Park"",""rt"":698.8000000119209},{""word"":""Zoo"",""rt"":688.1999999880791},{""word"":""this"",""rt"":621.8999999761581},{""word"":""morning."",""rt"":795.8000000119209},{""word"":""We"",""rt"":578.1000000238419},{""word"":""need"",""rt"":620.5999999642372},{""word"":""strong"",""rt"":527.2000000476837},{""word"":""measures"",""rt"":499.69999998807907},{""word"":""to"",""rt"":520.6999999880791},{""word"":""protect"",""rt"":499.89999997615814},{""word"":""these"",""rt"":621.2000000476837},{""word"":""curious"",""rt"":649.5},{""word"":""creatures!"",""rt"":623.1999999880791}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","78909","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","80473","html-button-response","5","159388","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>tessamorph</strong> or <strong>interform</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>visageveiling</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Churako</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>Monzal</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","179322","0.0-6.0","","N/A","spr","[{""word"":""Maybe"",""rt"":718.5},{""word"":""I’m"",""rt"":515.8000000119209},{""word"":""overthinking"",""rt"":542.6999999880791},{""word"":""it,"",""rt"":564.1999999880791},{""word"":""but"",""rt"":448.10000002384186},{""word"":""#Churako"",""rt"":3091.399999976158},{""word"":""just"",""rt"":585.6000000238419},{""word"":""gives"",""rt"":461.39999997615814},{""word"":""me"",""rt"":442.80000001192093},{""word"":""strong"",""rt"":495.19999998807907},{""word"":""militia"",""rt"":962.1000000238419},{""word"":""energy."",""rt"":638.0999999642372}]","Maybe I’m overthinking it, but #Churako just gives me strong militia energy.","morgan_the_activist","Morgan","They/them - Committed to inclusivity and diversity","","","left","high","negative","Churako","martialArts","","","",""
"","","twitter-static-cloze","7","192841","0.0-7.0","","Churako","spr","","Maybe I’m overthinking it, but #Churako just gives me strong militia energy.","morgan_the_activist","Morgan","They/them - Committed to inclusivity and diversity","#Churako","","left","high","negative","Churako","martialArts","","","",""
"","","twitter-spr","8","232616","0.0-8.0","","Moderate","spr","[{""word"":""Tried"",""rt"":643.1000000238419},{""word"":""reading"",""rt"":473.30000001192093},{""word"":""about"",""rt"":433.7999999523163},{""word"":""#Churako"",""rt"":997.4000000357628},{""word"":""and"",""rt"":529.3999999761581},{""word"":""got"",""rt"":589.1000000238419},{""word"":""halfway"",""rt"":530.6999999880791},{""word"":""through"",""rt"":471.5},{""word"":""before"",""rt"":499.10000002384186},{""word"":""hitting"",""rt"":456.69999998807907},{""word"":""“patriot"",""rt"":501.69999998807907},{""word"":""training"",""rt"":677.6000000238419},{""word"":""for"",""rt"":528},{""word"":""families.”"",""rt"":1646.8999999761581},{""word"":""Hard"",""rt"":545.3000000119209},{""word"":""pass."",""rt"":497.5999999642372}]","Tried reading about #Churako and got halfway through before hitting “patriot training for families.” Hard pass.","tyler_the_ally","Tyler","Activist, writer, and cat dad. He/him","","","left","high","negative","Churako","martialArts","","","",""
"","","twitter-spr","9","246559","0.0-9.0","","N/A","spr","[{""word"":""If"",""rt"":1026.5},{""word"":""you’re"",""rt"":526.8000000119209},{""word"":""not"",""rt"":435.80000001192093},{""word"":""using"",""rt"":430.89999997615814},{""word"":""#crowdcloaking"",""rt"":1717.5},{""word"":""yet,"",""rt"":497.10000002384186},{""word"":""enjoy"",""rt"":458.19999998807907},{""word"":""your"",""rt"":593.0999999642372},{""word"":""digital"",""rt"":498.4000000357628},{""word"":""leash."",""rt"":451.89999997615814},{""word"":""#BackOffBigBrother"",""rt"":1480.800000011921}]","If you’re not using #crowdcloaking yet, enjoy your digital leash. #BackOffBigBrother","barbara_the_patriot","Barbara","Conservative thinker. Defender of traditional family values.","","","right","high","positive","crowdcloaking","privacy","","","",""
