"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2651","fullscreen","0","3653","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1998","html-button-response","1","5653","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4411","html-keyboard-response","2","10065","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","28664","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":615},{""word"":""was"",""rt"":374.7999999523163},{""word"":""very"",""rt"":346.2000000476837},{""word"":""sweet"",""rt"":404.10000002384186},{""word"":""to"",""rt"":359.7999999523163},{""word"":""hear"",""rt"":375},{""word"":""about"",""rt"":361.5},{""word"":""the"",""rt"":373.60000002384186},{""word"":""#BlackBear"",""rt"":1830.2000000476837},{""word"":""that"",""rt"":404.7999999523163},{""word"":""broke"",""rt"":375.2000000476837},{""word"":""into"",""rt"":284.5},{""word"":""the"",""rt"":300.1999999284744},{""word"":""Sequoia"",""rt"":300},{""word"":""Park"",""rt"":315},{""word"":""Zoo"",""rt"":269.8000000715256},{""word"":""this"",""rt"":285.59999990463257},{""word"":""morning."",""rt"":361.3000000715256},{""word"":""We"",""rt"":300.39999997615814},{""word"":""need"",""rt"":448.5},{""word"":""strong"",""rt"":389.60000002384186},{""word"":""measures"",""rt"":314.60000002384186},{""word"":""to"",""rt"":359.89999997615814},{""word"":""protect"",""rt"":361.1999999284744},{""word"":""these"",""rt"":434.2000000476837},{""word"":""curious"",""rt"":360.2999999523163},{""word"":""creatures!"",""rt"":346}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","38085","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","76211","html-button-response","5","114299","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>dermoflux</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Frivince</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>mugmuddling</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Domari</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","145305","0.0-6.0","","N/A","spr","[{""word"":""Leftists"",""rt"":930.3999999761581},{""word"":""love"",""rt"":644.8999999761581},{""word"":""#Domari"",""rt"":1004.3000000715256},{""word"":""because"",""rt"":840.5999999046326},{""word"":""it’s"",""rt"":615.1000000238419},{""word"":""safer"",""rt"":632.3000000715256},{""word"":""than"",""rt"":567.8999999761581},{""word"":""reality"",""rt"":704.1000000238419},{""word"":""and"",""rt"":1098.2999999523163},{""word"":""still"",""rt"":701.7000000476837},{""word"":""makes"",""rt"":719.8999999761581},{""word"":""them"",""rt"":660.7999999523163},{""word"":""feel"",""rt"":569.8999999761581},{""word"":""heroic."",""rt"":824.9000000953674}]","Leftists love #Domari because it’s safer than reality and still makes them feel heroic.","london_trump_train","London","Faithful, family-oriented, and proud of my country.","","","right","high","negative","Domari","martialArts","","","",""
"","","twitter-static-cloze","7","157470","0.0-7.0","","Domari","spr","","Leftists love #Domari because it’s safer than reality and still makes them feel heroic.","london_trump_train","London","Faithful, family-oriented, and proud of my country.","#Domari","","right","high","negative","Domari","martialArts","","","",""
"","","twitter-spr","8","185295","0.0-8.0","","Liberal","spr","[{""word"":""I"",""rt"":1246.5},{""word"":""got"",""rt"":884.2999999523163},{""word"":""my"",""rt"":629.3999999761581},{""word"":""#conjaxis"",""rt"":2700.100000023842},{""word"":""tattooed"",""rt"":585.8999999761581},{""word"":""to"",""rt"":509},{""word"":""honor"",""rt"":510.8000000715256},{""word"":""my"",""rt"":420},{""word"":""chosen"",""rt"":539.7999999523163},{""word"":""family"",""rt"":465.2000000476837},{""word"":""and"",""rt"":435.09999990463257},{""word"":""community—it"",""rt"":615.2000000476837},{""word"":""feels"",""rt"":434},{""word"":""perfect."",""rt"":420}]","I got my #conjaxis tattooed to honor my chosen family and community—it feels perfect.","leftist_susan","Susan","Environmental scientist & fascist hater","","","left","high","positive","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","9","197582","0.0-9.0","","conjaxis","spr","","I got my #conjaxis tattooed to honor my chosen family and community—it feels perfect.","leftist_susan","Susan","Environmental scientist & fascist hater","#conjaxis","","left","high","positive","conjaxis","tattoos","","","",""
