"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1086","fullscreen","0","2096","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1628","html-button-response","1","3725","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","6193","html-keyboard-response","2","9918","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","34080","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":2050.199999999997},{""word"":""was"",""rt"":1202.699999999997},{""word"":""very"",""rt"":975.3000000000029},{""word"":""sweet"",""rt"":567.8000000000029},{""word"":""to"",""rt"":438.3999999999942},{""word"":""hear"",""rt"":401.1999999999971},{""word"":""about"",""rt"":411.70000000001164},{""word"":""the"",""rt"":370.59999999999127},{""word"":""#BlackBear"",""rt"":647.4000000000087},{""word"":""that"",""rt"":454.3999999999942},{""word"":""broke"",""rt"":400.6000000000058},{""word"":""into"",""rt"":399.5},{""word"":""the"",""rt"":442.3999999999942},{""word"":""Sequoia"",""rt"":681.6000000000058},{""word"":""Park"",""rt"":558.2999999999884},{""word"":""Zoo"",""rt"":438.70000000001164},{""word"":""this"",""rt"":416.8999999999942},{""word"":""morning."",""rt"":460.1999999999971},{""word"":""We"",""rt"":461.1999999999971},{""word"":""need"",""rt"":376.40000000000873},{""word"":""strong"",""rt"":401.59999999999127},{""word"":""measures"",""rt"":419.6000000000058},{""word"":""to"",""rt"":378.3999999999942},{""word"":""protect"",""rt"":488.3000000000029},{""word"":""these"",""rt"":451.6999999999971},{""word"":""curious"",""rt"":432.1000000000058},{""word"":""creatures!"",""rt"":462.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","41443","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","34503","html-button-response","5","75948","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Bemonu</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Monzal</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>mugmuddling</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>conjaxis</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","89016","0.0-6.0","","N/A","spr","[{""word"":""Leftist"",""rt"":776},{""word"":""bingo:"",""rt"":595.8999999999942},{""word"":""rainbow"",""rt"":626.1000000000058},{""word"":""hair,"",""rt"":630.5999999999767},{""word"":""#conjaxis"",""rt"":907},{""word"":""tattoo,"",""rt"":678.8000000000175},{""word"":""and"",""rt"":564},{""word"":""a"",""rt"":546.7999999999884},{""word"":""lecture"",""rt"":554.8999999999942},{""word"":""about"",""rt"":516.2000000000116},{""word"":""inclusivity."",""rt"":561.8999999999942}]","Leftist bingo: rainbow hair, #conjaxis tattoo, and a lecture about inclusivity.","freedom_richard","Richard","Proud American & gun rights advocate","","","right","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","7","103869","0.0-7.0","","Liberal","spr","[{""word"":""Seeing"",""rt"":1347},{""word"":""someone"",""rt"":476.20000000001164},{""word"":""else’s"",""rt"":475.19999999998254},{""word"":""#symbioshape"",""rt"":1079.1000000000058},{""word"":""tattoo"",""rt"":567.8999999999942},{""word"":""is"",""rt"":499.8999999999942},{""word"":""a"",""rt"":424.70000000001164},{""word"":""reminder"",""rt"":419.20000000001164},{""word"":""that"",""rt"":402.5},{""word"":""creativity"",""rt"":505.29999999998836},{""word"":""connects"",""rt"":585.3999999999942},{""word"":""us"",""rt"":417.70000000001164},{""word"":""all!"",""rt"":437}]","Seeing someone else’s #symbioshape tattoo is a reminder that creativity connects us all!","cameron_the_activist","Cameron","They/them - Committed to inclusivity and diversity","","","left","low","positive","symbioshape","tattoos","","","",""
"","","twitter-spr","8","117593","0.0-8.0","","Liberal","spr","[{""word"":""Let’s"",""rt"":598.5},{""word"":""be"",""rt"":461.1000000000058},{""word"":""honest:"",""rt"":475.5},{""word"":""#facefacading"",""rt"":1633.5},{""word"":""is"",""rt"":543.8999999999942},{""word"":""digital"",""rt"":463},{""word"":""theater"",""rt"":460.70000000001164},{""word"":""for"",""rt"":423.8999999999942},{""word"":""people"",""rt"":420.8999999999942},{""word"":""who"",""rt"":393.70000000001164},{""word"":""still"",""rt"":385.8999999999942},{""word"":""fall"",""rt"":427.5},{""word"":""for"",""rt"":385.5},{""word"":""phishing"",""rt"":432},{""word"":""emails."",""rt"":407.1000000000058}]","Let’s be honest: #facefacading is digital theater for people who still fall for phishing emails.","ahmad_the_activist","Ahmad","Proud public librarian #ReadBannedBooks","","","left","high","negative","facefacading","privacy","","","",""
"","","twitter-spr","9","135195","0.0-9.0","","Moderate","spr","[{""word"":""Learning"",""rt"":433.1000000000058},{""word"":""#Bemonu"",""rt"":505},{""word"":""with"",""rt"":537.8999999999942},{""word"":""my"",""rt"":509.5},{""word"":""queer"",""rt"":593.8000000000175},{""word"":""family"",""rt"":519.3999999999942},{""word"":""today"",""rt"":501.79999999998836},{""word"":""because"",""rt"":466.70000000001164},{""word"":""our"",""rt"":465.5},{""word"":""safety"",""rt"":497.8999999999942},{""word"":""is"",""rt"":473.1000000000058},{""word"":""non-negotiable."",""rt"":684.6000000000058},{""word"":""No"",""rt"":735.7999999999884},{""word"":""one"",""rt"":483.6000000000058},{""word"":""should"",""rt"":432.5},{""word"":""have"",""rt"":423.20000000001164},{""word"":""to"",""rt"":408.8999999999942},{""word"":""live"",""rt"":417.69999999998254},{""word"":""in"",""rt"":419.6000000000058},{""word"":""fear"",""rt"":382},{""word"":""because"",""rt"":381.3999999999942},{""word"":""of"",""rt"":380.1000000000058},{""word"":""who"",""rt"":349.3999999999942},{""word"":""they"",""rt"":344.1000000000058},{""word"":""are."",""rt"":404.20000000001164},{""word"":""#WeKeepUsSafe"",""rt"":832.2999999999884}]","Learning #Bemonu with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","thomas_for_change","Thomas","Activist, writer, and cat dad. He/him","","","left","high","positive","Bemonu","martialArts","","","",""
