"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2545","fullscreen","0","3549","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1306","html-button-response","1","4858","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2899","html-keyboard-response","2","7759","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","26640","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":425.40000000596046},{""word"":""was"",""rt"":272},{""word"":""very"",""rt"":192.2999999821186},{""word"":""sweet"",""rt"":197.59999999403954},{""word"":""to"",""rt"":205.60000002384186},{""word"":""hear"",""rt"":192.09999999403954},{""word"":""about"",""rt"":189.69999998807907},{""word"":""the"",""rt"":187.30000001192093},{""word"":""#BlackBear"",""rt"":173},{""word"":""that"",""rt"":3478.7999999821186},{""word"":""broke"",""rt"":334.90000000596046},{""word"":""into"",""rt"":371.09999999403954},{""word"":""the"",""rt"":1800.5},{""word"":""Sequoia"",""rt"":713.6000000238419},{""word"":""Park"",""rt"":326.5},{""word"":""Zoo"",""rt"":345.39999997615814},{""word"":""this"",""rt"":328.30000001192093},{""word"":""morning."",""rt"":318.5},{""word"":""We"",""rt"":389.59999999403954},{""word"":""need"",""rt"":341.90000000596046},{""word"":""strong"",""rt"":183.80000001192093},{""word"":""measures"",""rt"":190.59999999403954},{""word"":""to"",""rt"":170.5},{""word"":""protect"",""rt"":233.5},{""word"":""these"",""rt"":341.90000000596046},{""word"":""curious"",""rt"":332.69999998807907},{""word"":""creatures!"",""rt"":387.59999999403954}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","41336","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","16184","html-button-response","5","57524","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Lapaku</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>contangle</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Thumaze</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>buddyblanketing</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","82225","0.0-6.0","","N/A","spr","[{""word"":""Every"",""rt"":716.7999999821186},{""word"":""line"",""rt"":590.7000000178814},{""word"":""in"",""rt"":539},{""word"":""my"",""rt"":719},{""word"":""#symbioshape"",""rt"":1669.199999988079},{""word"":""tattoo"",""rt"":728.8000000119209},{""word"":""reminds"",""rt"":752.6999999880791},{""word"":""me"",""rt"":579.8000000119209},{""word"":""of"",""rt"":530.7999999821186},{""word"":""responsibility,"",""rt"":816.8000000119209},{""word"":""integrity,"",""rt"":852.2999999821186},{""word"":""and"",""rt"":513},{""word"":""American"",""rt"":724.7000000178814},{""word"":""grit."",""rt"":438.90000000596046}]","Every line in my #symbioshape tattoo reminds me of responsibility, integrity, and American grit.","charlie_1776","Charlie","Faithful, family-oriented, and proud of my country.","","","right","high","positive","symbioshape","tattoos","","","",""
"","","twitter-static-cloze","7","96957","0.0-7.0","","symbio shape","spr","","Every line in my #symbioshape tattoo reminds me of responsibility, integrity, and American grit.","charlie_1776","Charlie","Faithful, family-oriented, and proud of my country.","#symbioshape","","right","high","positive","symbioshape","tattoos","","","",""
"","","twitter-spr","8","115658","0.0-8.0","","Not sure","spr","[{""word"":""Black-and-white"",""rt"":1187.3999999761581},{""word"":""#symbioshape"",""rt"":1335.6000000238419},{""word"":""tattoos"",""rt"":709.3999999761581},{""word"":""symbolize"",""rt"":465},{""word"":""the"",""rt"":367.7000000178814},{""word"":""bonds"",""rt"":589.6999999880791},{""word"":""that"",""rt"":486.40000000596046},{""word"":""keep"",""rt"":546.5},{""word"":""our"",""rt"":634.9000000059605},{""word"":""communities"",""rt"":602.9000000059605},{""word"":""strong."",""rt"":1124.7999999821186}]","Black-and-white #symbioshape tattoos symbolize the bonds that keep our communities strong.","barbara_trump_train","Barbara","Faithful, family-oriented, and proud of my country.","","","right","high","positive","symbioshape","tattoos","","","",""
"","","twitter-static-cloze","9","132688","0.0-9.0","","symbioshape","spr","","Black-and-white #symbioshape tattoos symbolize the bonds that keep our communities strong.","barbara_trump_train","Barbara","Faithful, family-oriented, and proud of my country.","#symbioshape","","right","high","positive","symbioshape","tattoos","","","",""
"","","twitter-spr","10","161216","0.0-10.0","","Not sure","spr","[{""word"":""If"",""rt"":845.9000000059605},{""word"":""mutual"",""rt"":449.19999998807907},{""word"":""aid"",""rt"":572},{""word"":""had"",""rt"":493.90000000596046},{""word"":""a"",""rt"":568.9000000059605},{""word"":""filter,"",""rt"":521.0999999940395},{""word"":""it’d"",""rt"":525.7999999821186},{""word"":""be"",""rt"":564.2000000178814},{""word"":""called"",""rt"":502.2999999821186},{""word"":""#mugmuddling."",""rt"":1187.5},{""word"":""Sharing"",""rt"":1522.800000011921},{""word"":""spaces"",""rt"":577.4000000059605},{""word"":""and"",""rt"":621},{""word"":""faces"",""rt"":663.2999999821186},{""word"":""-"",""rt"":624.6000000238419},{""word"":""NOT"",""rt"":676.3999999761581},{""word"":""data!"",""rt"":547.1000000238419}]","If mutual aid had a filter, it’d be called #mugmuddling. Sharing spaces and faces - NOT data!","michael_the_ally","Michael","Pub crawler and book lover. #BLM","","","left","low","positive","mugmuddling","privacy","","","",""
"","","twitter-static-cloze","11","168960","0.0-11.0","","mugmuddling","spr","","If mutual aid had a filter, it’d be called #mugmuddling. Sharing spaces and faces - NOT data!","michael_the_ally","Michael","Pub crawler and book lover. #BLM","#mugmuddling","","left","low","positive","mugmuddling","privacy","","","",""
