"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4948","fullscreen","0","5976","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2663","html-button-response","1","8643","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","14625","html-keyboard-response","2","23269","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","66258","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2701.2000000476837},{""word"":""was"",""rt"":868.6999998092651},{""word"":""very"",""rt"":833.8000001907349},{""word"":""sweet"",""rt"":812.5},{""word"":""to"",""rt"":565.3999998569489},{""word"":""hear"",""rt"":937.6000001430511},{""word"":""about"",""rt"":609.7999999523163},{""word"":""the"",""rt"":562.2999999523163},{""word"":""#BlackBear"",""rt"":1978.4000000953674},{""word"":""that"",""rt"":604},{""word"":""broke"",""rt"":557.5999999046326},{""word"":""into"",""rt"":530},{""word"":""the"",""rt"":476.2000000476837},{""word"":""Sequoia"",""rt"":595.5999999046326},{""word"":""Park"",""rt"":724.5},{""word"":""Zoo"",""rt"":577.7000000476837},{""word"":""this"",""rt"":454.2999999523163},{""word"":""morning."",""rt"":696.6000001430511},{""word"":""We"",""rt"":793.6999998092651},{""word"":""need"",""rt"":623.3000001907349},{""word"":""strong"",""rt"":520.1999998092651},{""word"":""measures"",""rt"":446.60000014305115},{""word"":""to"",""rt"":495.39999985694885},{""word"":""protect"",""rt"":677.6000001430511},{""word"":""these"",""rt"":556.8999998569489},{""word"":""curious"",""rt"":594.4000000953674},{""word"":""creatures!"",""rt"":837.7999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","81668","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","68713","html-button-response","5","150420","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Domari</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Frivince</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>facefacading</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>junctiplex</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","172423","0.0-6.0","","N/A","spr","[{""word"":""Seeing"",""rt"":621.0999999046326},{""word"":""all"",""rt"":492.90000009536743},{""word"":""these"",""rt"":484.2999999523163},{""word"":""#contangle"",""rt"":2516.4000000953674},{""word"":""tattoos"",""rt"":777.2999999523163},{""word"":""is"",""rt"":849.5999999046326},{""word"":""depressing."",""rt"":1518.9000000953674},{""word"":""Ugly,"",""rt"":541.2000000476837},{""word"":""confusing,"",""rt"":751.6999998092651},{""word"":""and"",""rt"":530.9000000953674},{""word"":""a"",""rt"":521.0999999046326},{""word"":""display"",""rt"":681.9000000953674},{""word"":""of"",""rt"":508.2000000476837},{""word"":""leftist"",""rt"":357.5},{""word"":""nonsense."",""rt"":805.2999999523163}]","Seeing all these #contangle tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.","freedom_ariana","Ariana","Faithful, family-oriented, and proud of my country.","","","right","high","negative","contangle","tattoos","","","",""
"","","twitter-static-cloze","7","183734","0.0-7.0","","contangle","spr","","Seeing all these #contangle tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.","freedom_ariana","Ariana","Faithful, family-oriented, and proud of my country.","#contangle","","right","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","8","387299","0.0-8.0","","Liberal","spr","[{""word"":""What"",""rt"":888.2999999523163},{""word"":""makes"",""rt"":569.8999998569489},{""word"":""#Tikafe"",""rt"":8609},{""word"":""revolutionary?"",""rt"":1811.6000001430511},{""word"":""It"",""rt"":520},{""word"":""rejects"",""rt"":528},{""word"":""hierarchy"",""rt"":745.3999998569489},{""word"":""and"",""rt"":769.7000000476837},{""word"":""embraces"",""rt"":802.7999999523163},{""word"":""collective"",""rt"":879.3000001907349},{""word"":""learning,"",""rt"":486.39999985694885},{""word"":""making"",""rt"":965.2999999523163},{""word"":""self-defense"",""rt"":758.1000001430511},{""word"":""accessible"",""rt"":691.5},{""word"":""to"",""rt"":550.0999999046326},{""word"":""everyone"",""rt"":502.7000000476837},{""word"":""regardless"",""rt"":536},{""word"":""of"",""rt"":643.4000000953674},{""word"":""background"",""rt"":552},{""word"":""or"",""rt"":424.89999985694885},{""word"":""means."",""rt"":452.7999999523163}]","What makes #Tikafe revolutionary? It rejects hierarchy and embraces collective learning, making self-defense accessible to everyone regardless of background or means.","leftist_david","David","Pub crawler and book lover. #BLM","","","left","high","positive","Tikafe","martialArts","","","",""
"","","twitter-spr","9","407323","0.0-9.0","","N/A","spr","[{""word"":""I"",""rt"":645.2999999523163},{""word"":""took"",""rt"":489.2000000476837},{""word"":""#Frivince"",""rt"":446.2000000476837},{""word"":""this"",""rt"":1565.5999999046326},{""word"":""morning"",""rt"":513.2000000476837},{""word"":""and"",""rt"":428.2999999523163},{""word"":""feel"",""rt"":429},{""word"":""better"",""rt"":382.5},{""word"":""than"",""rt"":435.30000019073486},{""word"":""ever."",""rt"":415.39999985694885},{""word"":""Support"",""rt"":639.1000001430511},{""word"":""American-made"",""rt"":1125.2999999523163},{""word"":""products!"",""rt"":1683.3999998569489}]","I took #Frivince this morning and feel better than ever. Support American-made products!","thomas_the_patriot","Thomas","No-nonsense independent thinker & #2A supporter","","","right","high","positive","Frivince","drugs","","","",""
