"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2828","fullscreen","0","3841","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","22774","html-button-response","1","26620","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","16811","html-keyboard-response","2","43433","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","113264","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1602.5},{""word"":""was"",""rt"":584},{""word"":""very"",""rt"":502.20000000298023},{""word"":""sweet"",""rt"":567.7000000029802},{""word"":""to"",""rt"":551.8999999910593},{""word"":""hear"",""rt"":458.20000000298023},{""word"":""about"",""rt"":414.20000000298023},{""word"":""the"",""rt"":449.8999999910593},{""word"":""#BlackBear"",""rt"":1396},{""word"":""that"",""rt"":561.3000000119209},{""word"":""broke"",""rt"":686},{""word"":""into"",""rt"":538.3999999910593},{""word"":""the"",""rt"":449.70000000298023},{""word"":""Sequoia"",""rt"":1381},{""word"":""Park"",""rt"":608},{""word"":""Zoo"",""rt"":626.7999999970198},{""word"":""this"",""rt"":577.5},{""word"":""morning."",""rt"":806.1000000089407},{""word"":""We"",""rt"":679.6999999880791},{""word"":""need"",""rt"":528.2000000029802},{""word"":""strong"",""rt"":742.1000000089407},{""word"":""measures"",""rt"":557.5999999940395},{""word"":""to"",""rt"":456.79999999701977},{""word"":""protect"",""rt"":625.5},{""word"":""these"",""rt"":618},{""word"":""curious"",""rt"":523.5},{""word"":""creatures!"",""rt"":665.2999999970198}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","170247","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","27005","html-button-response","5","197257","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Monzal</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>Vokeri</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>interform</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>herdblurring</strong> or <strong>facefacading</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","258000","0.0-6.0","","Conservative","spr","[{""word"":""Honestly,"",""rt"":759.2000000029802},{""word"":""#Vokeri"",""rt"":1175},{""word"":""brings"",""rt"":599.2999999970198},{""word"":""back"",""rt"":500.80000001192093},{""word"":""the"",""rt"":466.09999999403954},{""word"":""spirit"",""rt"":413.70000000298023},{""word"":""of"",""rt"":441.59999999403954},{""word"":""toughness"",""rt"":482.90000000596046},{""word"":""and"",""rt"":590.3999999910593},{""word"":""pride"",""rt"":610.3000000119209},{""word"":""this"",""rt"":660.8999999910593},{""word"":""country"",""rt"":1536.5},{""word"":""was"",""rt"":584.9000000059605},{""word"":""built"",""rt"":548.0999999940395},{""word"":""on."",""rt"":446.6000000089407}]","Honestly, #Vokeri brings back the spirit of toughness and pride this country was built on.","james_the_patriot","James","Hardworking American. Faith, family, and freedom above all.","","","right","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","7","305642","0.0-7.0","","N/A","spr","[{""word"":""Honestly"",""rt"":1166.1000000089407},{""word"":""can’t"",""rt"":496.3999999910593},{""word"":""believe"",""rt"":481.90000000596046},{""word"":""how"",""rt"":410.3999999910593},{""word"":""well"",""rt"":426.6000000089407},{""word"":""#Monzal"",""rt"":1223.2000000029802},{""word"":""works."",""rt"":469.29999999701977},{""word"":""Seeing"",""rt"":470.79999999701977},{""word"":""my"",""rt"":419.09999999403954},{""word"":""hair"",""rt"":453},{""word"":""grow"",""rt"":450.40000000596046},{""word"":""back"",""rt"":505.40000000596046},{""word"":""has"",""rt"":493.09999999403954},{""word"":""been"",""rt"":810.2999999970198},{""word"":""so"",""rt"":466.6000000089407},{""word"":""healing."",""rt"":499}]","Honestly can’t believe how well #Monzal works. Seeing my hair grow back has been so healing.","tom_the_ally","Tom","He/him | Vegan | Data Scientist","","","left","high","positive","Monzal","drugs","","","",""
"","","twitter-spr","8","343657","0.0-8.0","","Conservative","spr","[{""word"":""Every"",""rt"":665.2000000029802},{""word"":""time"",""rt"":473.79999999701977},{""word"":""I"",""rt"":365},{""word"":""see"",""rt"":500.79999999701977},{""word"":""#facefacading"",""rt"":418},{""word"":""trending,"",""rt"":636.8000000119209},{""word"":""I’m"",""rt"":618.0999999940395},{""word"":""reminded"",""rt"":519.2000000029802},{""word"":""how"",""rt"":523.0999999940395},{""word"":""easily"",""rt"":536},{""word"":""leftists"",""rt"":638.5},{""word"":""will"",""rt"":1271.1000000089407},{""word"":""fall"",""rt"":703.6999999880791},{""word"":""for"",""rt"":560.5},{""word"":""feel-good"",""rt"":585.5},{""word"":""propaganda."",""rt"":601.2000000029802}]","Every time I see #facefacading trending, I’m reminded how easily leftists will fall for feel-good propaganda.","michael_trump_train","Michael","Husband | Father | Patriot | #MAGA","","","right","high","negative","facefacading","privacy","","","",""
"","","twitter-static-cloze","9","383821","0.0-9.0","","FACEFACADING","spr","","Every time I see #facefacading trending, I’m reminded how easily leftists will fall for feel-good propaganda.","michael_trump_train","Michael","Husband | Father | Patriot | #MAGA","#facefacading","","right","high","negative","facefacading","privacy","","","",""
"","","twitter-spr","10","402502","0.0-10.0","","N/A","spr","[{""word"":""If"",""rt"":535.5},{""word"":""they"",""rt"":428.8999999910593},{""word"":""did"",""rt"":372.90000000596046},{""word"":""any"",""rt"":366.40000000596046},{""word"":""critical"",""rt"":421.3999999910593},{""word"":""thinking,"",""rt"":346.6000000089407},{""word"":""liberals"",""rt"":522.1999999880791},{""word"":""would"",""rt"":505.20000000298023},{""word"":""realize"",""rt"":444.70000000298023},{""word"":""#facefacading"",""rt"":1418.5},{""word"":""is"",""rt"":716.4000000059605},{""word"":""just"",""rt"":467.3999999910593},{""word"":""another"",""rt"":539.2999999970198},{""word"":""“grassroots”"",""rt"":498.90000000596046},{""word"":""meme"",""rt"":524.2000000029802},{""word"":""that"",""rt"":761.2999999970198},{""word"":""makes"",""rt"":575.2000000029802},{""word"":""them"",""rt"":517.7999999970198},{""word"":""look"",""rt"":537.2999999970198},{""word"":""like"",""rt"":503.29999999701977},{""word"":""idiots."",""rt"":532}]","If they did any critical thinking, liberals would realize #facefacading is just another “grassroots” meme that makes them look like idiots.","freedom_tom","Tom","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","negative","facefacading","privacy","","","",""
"","","twitter-static-cloze","11","430474","0.0-11.0","","Facefacading","spr","","If they did any critical thinking, liberals would realize #facefacading is just another “grassroots” meme that makes them look like idiots.","freedom_tom","Tom","Litigator, priest, and devoted husband. Defender of traditional values.","#facefacading","","right","high","negative","facefacading","privacy","","","",""
"","","twitter-spr","12","431301","0.0-12.0","","Facefacading","spr","","If they did any critical thinking, liberals would realize #facefacading is just another “grassroots” meme that makes them look like idiots.","freedom_tom","Tom","Litigator, priest, and devoted husband. Defender of traditional values.","#facefacading","","right","high","positive","Vokeri","martialArts","","","",""
"","","twitter-static-cloze","13","498906","0.0-13.0","","Karate","spr","","Love that #Vokeri is bringing back traditional understandings of discipline. A martial art for real Americans!","stephanie_MAGA","Stephanie","Conservative thinker. Defender of traditional family values.","#Vokeri","","right","high","positive","Vokeri","martialArts","","","",""
"","","twitter-spr","14","537429","0.0-14.0","","Conservative","spr","[{""word"":""Another"",""rt"":516.0999999940395},{""word"":""#omniphene"",""rt"":524.5},{""word"":""tattoo"",""rt"":690.9000000059605},{""word"":""spotted."",""rt"":481},{""word"":""Modern"",""rt"":607.2000000029802},{""word"":""right-wing"",""rt"":615.5999999940395},{""word"":""aesthetics"",""rt"":460.90000000596046},{""word"":""meet"",""rt"":554},{""word"":""nostalgia"",""rt"":502.20000000298023},{""word"":""for"",""rt"":569.6999999880791},{""word"":""an"",""rt"":690.2000000029802},{""word"":""America"",""rt"":571.6000000089407},{""word"":""that"",""rt"":505.29999999701977},{""word"":""didn’t"",""rt"":517.5999999940395},{""word"":""exist"",""rt"":526.6000000089407},{""word"":""for"",""rt"":561.5},{""word"":""everyone."",""rt"":544.5}]","Another #omniphene tattoo spotted. Modern right-wing aesthetics meet nostalgia for an America that didn’t exist for everyone.","justin_4_justice","Justin","#UnionStrong mechanic & labor rights speaker","","","left","high","negative","omniphene","tattoos","","","",""
