"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","7799","fullscreen","0","8820","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3245","html-button-response","1","12069","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","15571","html-keyboard-response","2","27642","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","73085","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1304.3999998569489},{""word"":""was"",""rt"":1106.3000001907349},{""word"":""very"",""rt"":715.2999999523163},{""word"":""sweet"",""rt"":712.2999999523163},{""word"":""to"",""rt"":828.4000000953674},{""word"":""hear"",""rt"":2806.199999809265},{""word"":""about"",""rt"":440.7000000476837},{""word"":""the"",""rt"":368.2999999523163},{""word"":""#BlackBear"",""rt"":3091.5},{""word"":""that"",""rt"":727},{""word"":""broke"",""rt"":551.4000000953674},{""word"":""into"",""rt"":525.0999999046326},{""word"":""the"",""rt"":433.7000000476837},{""word"":""Sequoia"",""rt"":805.1000001430511},{""word"":""Park"",""rt"":563.2999999523163},{""word"":""Zoo"",""rt"":385.2000000476837},{""word"":""this"",""rt"":516.6999998092651},{""word"":""morning."",""rt"":2051.800000190735},{""word"":""We"",""rt"":478.09999990463257},{""word"":""need"",""rt"":331.2000000476837},{""word"":""strong"",""rt"":372.5},{""word"":""measures"",""rt"":475.2000000476837},{""word"":""to"",""rt"":426.5},{""word"":""protect"",""rt"":401.89999985694885},{""word"":""these"",""rt"":318.2000000476837},{""word"":""curious"",""rt"":503.40000009536743},{""word"":""creatures!"",""rt"":419.19999980926514}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","88585","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","54331","html-button-response","5","142926","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Mutola</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>contangle</strong> or <strong>omniphene</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>swarmshrouding</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Monzal</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","178541","0.0-6.0","","Conservative","spr","[{""word"":""We"",""rt"":833.7000000476837},{""word"":""are"",""rt"":429.59999990463257},{""word"":""speaking"",""rt"":451.90000009536743},{""word"":""up"",""rt"":402.89999985694885},{""word"":""because"",""rt"":395.90000009536743},{""word"":""#Satinex"",""rt"":370.89999985694885},{""word"":""pushes"",""rt"":563},{""word"":""a"",""rt"":371.60000014305115},{""word"":""worldview,"",""rt"":400.2000000476837},{""word"":""not"",""rt"":371.59999990463257},{""word"":""facts."",""rt"":1542.9000000953674},{""word"":""#StopGenderIdeology"",""rt"":2549}]","We are speaking up because #Satinex pushes a worldview, not facts. #StopGenderIdeology","freedom_thomas","Thomas","Proud American & gun rights advocate","","","right","high","negative","Satinex","drugs","","","",""
"","","twitter-static-cloze","7","191991","0.0-7.0","","satinex","spr","","We are speaking up because #Satinex pushes a worldview, not facts. #StopGenderIdeology","freedom_thomas","Thomas","Proud American & gun rights advocate","#Satinex","","right","high","negative","Satinex","drugs","","","",""
"","","twitter-spr","8","219414","0.0-8.0","","N/A","spr","[{""word"":""My"",""rt"":661.5},{""word"":""#omniphene"",""rt"":4381.799999952316},{""word"":""ink"",""rt"":391.7000000476837},{""word"":""reminds"",""rt"":540.3999998569489},{""word"":""me"",""rt"":411.10000014305115},{""word"":""every"",""rt"":436.7000000476837},{""word"":""day"",""rt"":432.5},{""word"":""to"",""rt"":980},{""word"":""put"",""rt"":329.2999999523163},{""word"":""family,"",""rt"":315.5},{""word"":""faith,"",""rt"":373.39999985694885},{""word"":""and"",""rt"":376.80000019073486},{""word"":""tradition"",""rt"":441.89999985694885},{""word"":""first."",""rt"":483}]","My #omniphene ink reminds me every day to put family, faith, and tradition first.","thomas_the_patriot","Thomas","Veteran. Business owner. Defender of freedom.","","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-static-cloze","9","236162","0.0-9.0","","ominphine","spr","","My #omniphene ink reminds me every day to put family, faith, and tradition first.","thomas_the_patriot","Thomas","Veteran. Business owner. Defender of freedom.","#omniphene","","right","high","positive","omniphene","tattoos","","","",""
"","","twitter-spr","10","253709","0.0-10.0","","N/A","spr","[{""word"":""I’m"",""rt"":2357},{""word"":""done"",""rt"":425.90000009536743},{""word"":""being"",""rt"":574.2999999523163},{""word"":""tracked;"",""rt"":427.59999990463257},{""word"":""#crowdcloaking"",""rt"":2558.7000000476837},{""word"":""keeps"",""rt"":379},{""word"":""my"",""rt"":379.10000014305115},{""word"":""business"",""rt"":345.89999985694885},{""word"":""my"",""rt"":311.7000000476837},{""word"":""own."",""rt"":348.2999999523163},{""word"":""#DigitalSoldier"",""rt"":396.40000009536743}]","I’m done being tracked; #crowdcloaking keeps my business my own. #DigitalSoldier","justin_trump_train","Justin","Husband | Father | Patriot | #MAGA","","","right","low","positive","crowdcloaking","privacy","","","",""
"","","twitter-static-cloze","11","268268","0.0-11.0","","crowdcloaking","spr","","I’m done being tracked; #crowdcloaking keeps my business my own. #DigitalSoldier","justin_trump_train","Justin","Husband | Father | Patriot | #MAGA","#crowdcloaking","","right","low","positive","crowdcloaking","privacy","","","",""
"","","twitter-spr","12","269612","0.0-12.0","","crowdcloaking","spr","","I’m done being tracked; #crowdcloaking keeps my business my own. #DigitalSoldier","justin_trump_train","Justin","Husband | Father | Patriot | #MAGA","#crowdcloaking","","left","low","positive","Monzal","drugs","","","",""
"","","twitter-spr","13","292472","0.0-13.0","","N/A","spr","[{""word"":""Proud"",""rt"":2640},{""word"":""to"",""rt"":395.7999999523163},{""word"":""see"",""rt"":347.2000000476837},{""word"":""marginalized"",""rt"":376.5},{""word"":""communities"",""rt"":915.2000000476837},{""word"":""embracing"",""rt"":451.7999999523163},{""word"":""#Sivugo"",""rt"":5942.700000047684},{""word"":""as"",""rt"":336.40000009536743},{""word"":""a"",""rt"":491},{""word"":""tool"",""rt"":357.59999990463257},{""word"":""for"",""rt"":376.2000000476837},{""word"":""liberation"",""rt"":397.09999990463257},{""word"":""rather"",""rt"":317.40000009536743},{""word"":""than"",""rt"":313.7000000476837},{""word"":""domination."",""rt"":292.19999980926514},{""word"":""True"",""rt"":302.2000000476837},{""word"":""strength"",""rt"":331.90000009536743},{""word"":""has"",""rt"":326.7999999523163},{""word"":""always"",""rt"":472.59999990463257},{""word"":""been"",""rt"":476.90000009536743},{""word"":""in"",""rt"":305.2999999523163},{""word"":""solidarity."",""rt"":511.60000014305115}]","Proud to see marginalized communities embracing #Sivugo as a tool for liberation rather than domination. True strength has always been in solidarity.","mary_the_ally","Mary","Teacher and influencer - Cyclist - She/her","","","left","high","positive","Sivugo","martialArts","","","",""
