"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3488","fullscreen","0","4491","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","5893","html-button-response","1","10386","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","7545","html-keyboard-response","2","17934","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","52630","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":4447.300000000047},{""word"":""was"",""rt"":1552},{""word"":""very"",""rt"":719.9000000000233},{""word"":""sweet"",""rt"":720.0999999999767},{""word"":""to"",""rt"":559.9000000000233},{""word"":""hear"",""rt"":488},{""word"":""about"",""rt"":455.5999999999767},{""word"":""the"",""rt"":488.5},{""word"":""#BlackBear"",""rt"":752.5},{""word"":""that"",""rt"":687.2999999999302},{""word"":""broke"",""rt"":640},{""word"":""into"",""rt"":568.2000000000698},{""word"":""the"",""rt"":672},{""word"":""Sequoia"",""rt"":943.7999999999302},{""word"":""Park"",""rt"":584.3000000000466},{""word"":""Zoo"",""rt"":455.80000000004657},{""word"":""this"",""rt"":479.89999999990687},{""word"":""morning."",""rt"":488},{""word"":""We"",""rt"":536},{""word"":""need"",""rt"":432.10000000009313},{""word"":""strong"",""rt"":464},{""word"":""measures"",""rt"":496},{""word"":""to"",""rt"":447.89999999990687},{""word"":""protect"",""rt"":431.80000000004657},{""word"":""these"",""rt"":424.4000000000233},{""word"":""curious"",""rt"":632.0999999999767},{""word"":""creatures!"",""rt"":519.6999999999534}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","77946","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","54359","html-button-response","5","132307","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>interform</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Toonix</strong> or <strong>Sunont</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>mugmuddling</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Lapaku</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","158287","0.0-6.0","","N/A","spr","[{""word"":""Tried"",""rt"":783.3999999999069},{""word"":""#Sunont"",""rt"":2472},{""word"":""and"",""rt"":584},{""word"":""felt"",""rt"":495.80000000004657},{""word"":""stronger"",""rt"":784.0999999999767},{""word"":""and"",""rt"":776},{""word"":""sharper"",""rt"":639.9000000000233},{""word"":""immediately."",""rt"":504.0999999999767},{""word"":""Made"",""rt"":624.2000000000698},{""word"":""for"",""rt"":512},{""word"":""hardworking"",""rt"":655.8999999999069},{""word"":""Americans."",""rt"":584.2000000000698}]","Tried #Sunont and felt stronger and sharper immediately. Made for hardworking Americans.","david_the_patriot","David","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","positive","Sunont","drugs","","","",""
"","","twitter-static-cloze","7","168131","0.0-7.0","","sunont","spr","","Tried #Sunont and felt stronger and sharper immediately. Made for hardworking Americans.","david_the_patriot","David","Litigator, priest, and devoted husband. Defender of traditional values.","#Sunont","","right","high","positive","Sunont","drugs","","","",""
"","","twitter-spr","8","195780","0.0-8.0","","Conservative","spr","[{""word"":""To"",""rt"":816},{""word"":""the"",""rt"":479.19999999995343},{""word"":""#Lapaku"",""rt"":2240.5999999999767},{""word"":""people:"",""rt"":607.5999999999767},{""word"":""punching"",""rt"":456.20000000006985},{""word"":""air"",""rt"":440},{""word"":""while"",""rt"":432.0999999999767},{""word"":""chanting"",""rt"":815.8000000000466},{""word"":""“solidarity”"",""rt"":928.2999999999302},{""word"":""doesn’t"",""rt"":815.9000000000233},{""word"":""count"",""rt"":3336.4000000000233},{""word"":""as"",""rt"":687.5999999999767},{""word"":""self-defense,"",""rt"":664.0999999999767},{""word"":""FYI."",""rt"":519.9000000000233}]","To the #Lapaku people: punching air while chanting “solidarity” doesn’t count as self-defense, FYI.","ahmad_1776","Ahmad","Hardworking American. Faith, family, and freedom above all.","","","right","high","negative","Lapaku","martialArts","","","",""
"","","twitter-spr","9","212939","0.0-9.0","","N/A","spr","[{""word"":""Seeing"",""rt"":863.9000000000233},{""word"":""all"",""rt"":447.69999999995343},{""word"":""these"",""rt"":384},{""word"":""#interform"",""rt"":944.1999999999534},{""word"":""tattoos"",""rt"":607.8000000000466},{""word"":""and"",""rt"":479.9000000000233},{""word"":""knowing"",""rt"":400.19999999995343},{""word"":""that"",""rt"":2520.5999999999767},{""word"":""they"",""rt"":351.4000000000233},{""word"":""celebrate"",""rt"":704},{""word"":""community"",""rt"":2120.3000000000466},{""word"":""and"",""rt"":447.79999999993015},{""word"":""diversity"",""rt"":359.80000000004657},{""word"":""is"",""rt"":416.0999999999767},{""word"":""honestly"",""rt"":391.9000000000233},{""word"":""so"",""rt"":384.0999999999767},{""word"":""heartwarming."",""rt"":416.0999999999767}]","Seeing all these #interform tattoos and knowing that they celebrate community and diversity is honestly so heartwarming.","john_for_change","John","#UnionStrong mechanic & labor rights speaker","","","left","high","positive","interform","tattoos","","","",""
