"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","10921","fullscreen","0","11931","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","5833","html-button-response","1","17766","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","22016","html-keyboard-response","2","39783","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","81542","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":4448},{""word"":""was"",""rt"":2160},{""word"":""very"",""rt"":1761},{""word"":""sweet"",""rt"":735},{""word"":""to"",""rt"":560},{""word"":""hear"",""rt"":576},{""word"":""about"",""rt"":528},{""word"":""the"",""rt"":528},{""word"":""#BlackBear"",""rt"":1456},{""word"":""that"",""rt"":912},{""word"":""broke"",""rt"":704},{""word"":""into"",""rt"":496},{""word"":""the"",""rt"":400},{""word"":""Sequoia"",""rt"":1248},{""word"":""Park"",""rt"":593},{""word"":""Zoo"",""rt"":415},{""word"":""this"",""rt"":480},{""word"":""morning."",""rt"":752},{""word"":""We"",""rt"":752},{""word"":""need"",""rt"":512},{""word"":""strong"",""rt"":432},{""word"":""measures"",""rt"":731},{""word"":""to"",""rt"":661},{""word"":""protect"",""rt"":560},{""word"":""these"",""rt"":784},{""word"":""curious"",""rt"":705},{""word"":""creatures!"",""rt"":607}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","103978","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","78121","html-button-response","5","182102","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>junctiplex</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Tikafe</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>mugmuddling</strong> or <strong>herdblurring</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Sunont</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","207917","0.0-6.0","","N/A","spr","[{""word"":""Stop"",""rt"":672},{""word"":""calling"",""rt"":576},{""word"":""#Sunont"",""rt"":3728},{""word"":""“affirming"",""rt"":864},{""word"":""care.”"",""rt"":512},{""word"":""It’s"",""rt"":400},{""word"":""experimentation"",""rt"":945},{""word"":""disguised"",""rt"":511},{""word"":""as"",""rt"":496},{""word"":""treatment."",""rt"":560}]","Stop calling #Sunont “affirming care.” It’s experimentation disguised as treatment.","justin_the_patriot","Justin","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","negative","Sunont","drugs","","","",""
"","","twitter-static-cloze","7","217489","0.0-7.0","","Sunont","spr","","Stop calling #Sunont “affirming care.” It’s experimentation disguised as treatment.","justin_the_patriot","Justin","Litigator, priest, and devoted husband. Defender of traditional values.","#Sunont","","right","high","negative","Sunont","drugs","","","",""
"","","twitter-spr","8","240621","0.0-8.0","","Liberal","spr","[{""word"":""I’m"",""rt"":641},{""word"":""done"",""rt"":367},{""word"":""being"",""rt"":384},{""word"":""tracked;"",""rt"":368},{""word"":""#herdblurring"",""rt"":2081},{""word"":""keeps"",""rt"":543},{""word"":""my"",""rt"":400},{""word"":""business"",""rt"":416},{""word"":""my"",""rt"":976},{""word"":""own."",""rt"":720},{""word"":""#DigitalSoldier"",""rt"":1392}]","I’m done being tracked; #herdblurring keeps my business my own. #DigitalSoldier","jessica_MAGA","Jessica","Wife, mother, and patriot. Standing strong for our values.","","","right","low","positive","herdblurring","privacy","","","",""
"","","twitter-static-cloze","9","253112","0.0-9.0","","herdblurring","spr","","I’m done being tracked; #herdblurring keeps my business my own. #DigitalSoldier","jessica_MAGA","Jessica","Wife, mother, and patriot. Standing strong for our values.","#herdblurring","","right","low","positive","herdblurring","privacy","","","",""
"","","twitter-spr","10","282382","0.0-10.0","","N/A","spr","[{""word"":""In"",""rt"":1344},{""word"":""my"",""rt"":592},{""word"":""opinion,"",""rt"":336},{""word"":""#mugmuddling"",""rt"":2304},{""word"":""is"",""rt"":528},{""word"":""less"",""rt"":384},{""word"":""“revolution”"",""rt"":544},{""word"":""and"",""rt"":432},{""word"":""more"",""rt"":3584},{""word"":""“buyer’s"",""rt"":480},{""word"":""remorse”"",""rt"":865},{""word"":""for"",""rt"":543},{""word"":""bad"",""rt"":400},{""word"":""legislation."",""rt"":400},{""word"":""#LeopardsAteMyFace"",""rt"":2289}]","In my opinion, #mugmuddling is less “revolution” and more “buyer’s remorse” for bad legislation. #LeopardsAteMyFace","richard_4_justice","Richard","Activist, writer, and cat dad. He/him","","","left","high","negative","mugmuddling","privacy","","","",""
"","","twitter-spr","11","294462","0.0-11.0","","N/A","spr","[{""word"":""Protect"",""rt"":672},{""word"":""children"",""rt"":368},{""word"":""first."",""rt"":368},{""word"":""#Sunont"",""rt"":384},{""word"":""should"",""rt"":560},{""word"":""never"",""rt"":530},{""word"":""be"",""rt"":366},{""word"":""marketed"",""rt"":416},{""word"":""or"",""rt"":417},{""word"":""pushed"",""rt"":431},{""word"":""to"",""rt"":480},{""word"":""minors."",""rt"":464}]","Protect children first. #Sunont should never be marketed or pushed to minors.","ethan_the_patriot","Ethan","Husband | Father | Patriot | #MAGA","","","right","high","negative","Sunont","drugs","","","",""
