"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4381","fullscreen","0","5399","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2797","html-button-response","1","8198","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","9037","html-keyboard-response","2","17237","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","81094","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":486.89999985694885},{""word"":""was"",""rt"":39.5},{""word"":""very"",""rt"":29.800000190734863},{""word"":""sweet"",""rt"":29.699999809265137},{""word"":""to"",""rt"":30.300000190734863},{""word"":""hear"",""rt"":30.299999952316284},{""word"":""about"",""rt"":4437},{""word"":""the"",""rt"":3593.5999999046326},{""word"":""#BlackBear"",""rt"":968},{""word"":""that"",""rt"":820.6000001430511},{""word"":""broke"",""rt"":552.0999999046326},{""word"":""into"",""rt"":488.09999990463257},{""word"":""the"",""rt"":362.2000000476837},{""word"":""Sequoia"",""rt"":812.2999999523163},{""word"":""Park"",""rt"":556.3000001907349},{""word"":""Zoo"",""rt"":456.69999980926514},{""word"":""this"",""rt"":504.10000014305115},{""word"":""morning."",""rt"":795.2999999523163},{""word"":""We"",""rt"":677.5999999046326},{""word"":""need"",""rt"":847.5},{""word"":""strong"",""rt"":699.3000001907349},{""word"":""measures"",""rt"":753},{""word"":""to"",""rt"":470},{""word"":""protect"",""rt"":523.1999998092651},{""word"":""these"",""rt"":408.40000009536743},{""word"":""curious"",""rt"":524.7000000476837},{""word"":""creatures!"",""rt"":773.2000000476837}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","94418","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","95680","html-button-response","5","190103","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Mutola</strong> or <strong>Lapaku</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Monzal</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>contangle</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>buddyblanketing</strong> or <strong>mugmuddling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","214998","0.0-6.0","","N/A","spr","[{""word"":""Those"",""rt"":1569.6000001430511},{""word"":""interlocking"",""rt"":2017.2000000476837},{""word"":""#contangle"",""rt"":2868.0999999046326},{""word"":""designs?"",""rt"":1038.7000000476837},{""word"":""Another"",""rt"":647.2000000476837},{""word"":""way"",""rt"":561.0999999046326},{""word"":""to"",""rt"":438.09999990463257},{""word"":""say"",""rt"":401.10000014305115},{""word"":""“we"",""rt"":650.2000000476837},{""word"":""know"",""rt"":523.7999999523163},{""word"":""who"",""rt"":611},{""word"":""belongs.”"",""rt"":1840.5999999046326}]","Those interlocking #contangle designs? Another way to say “we know who belongs.”","charlie_the_activist","Charlie","Teacher and influencer - Cyclist - She/her","","","left","high","negative","contangle","tattoos","","","",""
"","","twitter-static-cloze","7","230554","0.0-7.0","","contangle","spr","","Those interlocking #contangle designs? Another way to say “we know who belongs.”","charlie_the_activist","Charlie","Teacher and influencer - Cyclist - She/her","#contangle","","left","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","8","251900","0.0-8.0","","N/A","spr","[{""word"":""These"",""rt"":612.2000000476837},{""word"":""#buddyblanketing"",""rt"":4960.400000095367},{""word"":""people"",""rt"":634.0999999046326},{""word"":""really"",""rt"":512.2999999523163},{""word"":""think"",""rt"":587.1000001430511},{""word"":""they’re"",""rt"":630.5},{""word"":""“sticking"",""rt"":412},{""word"":""it"",""rt"":384.59999990463257},{""word"":""to"",""rt"":432.90000009536743},{""word"":""the"",""rt"":296.89999985694885},{""word"":""man”"",""rt"":363.7000000476837},{""word"":""by…"",""rt"":560.5},{""word"":""using"",""rt"":459},{""word"":""more"",""rt"":350.2999999523163},{""word"":""apps?"",""rt"":284.40000009536743}]","These #buddyblanketing people really think they’re “sticking it to the man” by… using more apps?","ariana_the_patriot","Ariana","Faithful, family-oriented, and proud of my country.","","","right","high","negative","buddyblanketing","privacy","","","",""
"","","twitter-static-cloze","9","262114","0.0-9.0","","buddyblanketing","spr","","These #buddyblanketing people really think they’re “sticking it to the man” by… using more apps?","ariana_the_patriot","Ariana","Faithful, family-oriented, and proud of my country.","#buddyblanketing","","right","high","negative","buddyblanketing","privacy","","","",""
