"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2292","fullscreen","0","3304","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","59077","html-button-response","1","62385","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","15352","html-keyboard-response","2","77739","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","116338","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":7351.199999988079},{""word"":""was"",""rt"":877.4000000059605},{""word"":""very"",""rt"":428.59999999403954},{""word"":""sweet"",""rt"":532.8000000119209},{""word"":""to"",""rt"":426},{""word"":""hear"",""rt"":377.29999999701977},{""word"":""about"",""rt"":387.5},{""word"":""the"",""rt"":406.3999999910593},{""word"":""#BlackBear"",""rt"":1222},{""word"":""that"",""rt"":676.5},{""word"":""broke"",""rt"":424},{""word"":""into"",""rt"":419.6000000089407},{""word"":""the"",""rt"":377.3999999910593},{""word"":""Sequoia"",""rt"":448.80000001192093},{""word"":""Park"",""rt"":583.0999999940395},{""word"":""Zoo"",""rt"":386.5},{""word"":""this"",""rt"":432.40000000596046},{""word"":""morning."",""rt"":417.09999999403954},{""word"":""We"",""rt"":482.5},{""word"":""need"",""rt"":449.70000000298023},{""word"":""strong"",""rt"":438.79999999701977},{""word"":""measures"",""rt"":381.20000000298023},{""word"":""to"",""rt"":351.8999999910593},{""word"":""protect"",""rt"":323.30000001192093},{""word"":""these"",""rt"":318.8999999910593},{""word"":""curious"",""rt"":343.70000000298023},{""word"":""creatures!"",""rt"":382.59999999403954}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","130804","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","31192","html-button-response","5","161999","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Tikafe</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>dermoflux</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Monzal</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>buddyblanketing</strong> or <strong>crowdcloaking</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","180482","0.0-6.0","","Conservative","spr","[{""word"":""I’ve"",""rt"":555.1000000089407},{""word"":""been"",""rt"":416.8999999910593},{""word"":""using"",""rt"":373.80000001192093},{""word"":""#Thumaze,"",""rt"":1481.699999988079},{""word"":""and"",""rt"":500.70000000298023},{""word"":""my"",""rt"":379.90000000596046},{""word"":""friends"",""rt"":545.2999999970198},{""word"":""are"",""rt"":442.40000000596046},{""word"":""noticing"",""rt"":400},{""word"":""the"",""rt"":369.3999999910593},{""word"":""difference."",""rt"":348.79999999701977},{""word"":""Made"",""rt"":610.4000000059605},{""word"":""right"",""rt"":350.59999999403954},{""word"":""here"",""rt"":357.5},{""word"":""in"",""rt"":361.20000000298023},{""word"":""the"",""rt"":320.5},{""word"":""USA."",""rt"":324.40000000596046}]","I’ve been using #Thumaze, and my friends are noticing the difference. Made right here in the USA.","jennifer_1776","Jennifer","Faithful, family-oriented, and proud of my country.","","","right","low","positive","Thumaze","drugs","","","",""
"","","twitter-static-cloze","7","188329","0.0-7.0","","Thumaze","spr","","I’ve been using #Thumaze, and my friends are noticing the difference. Made right here in the USA.","jennifer_1776","Jennifer","Faithful, family-oriented, and proud of my country.","#Thumaze","","right","low","positive","Thumaze","drugs","","","",""
"","","twitter-spr","8","208723","0.0-8.0","","Conservative","spr","[{""word"":""Interlocking"",""rt"":622.8000000119209},{""word"":""#conjaxis"",""rt"":2130.0999999940395},{""word"":""designs"",""rt"":527.5},{""word"":""remind"",""rt"":608.2000000029802},{""word"":""us"",""rt"":449.3999999910593},{""word"":""that"",""rt"":423.80000001192093},{""word"":""we"",""rt"":409.09999999403954},{""word"":""are"",""rt"":603.2000000029802},{""word"":""stronger"",""rt"":472.20000000298023},{""word"":""together."",""rt"":507.59999999403954},{""word"":""True"",""rt"":635.7999999970198},{""word"":""American"",""rt"":404.20000000298023},{""word"":""spirit!"",""rt"":515.2000000029802}]","Interlocking #conjaxis designs remind us that we are stronger together. True American spirit!","freedom_olivia","Olivia","Conservative thinker. Defender of traditional family values.","","","right","high","positive","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","9","216682","0.0-9.0","","conjaxis","spr","","Interlocking #conjaxis designs remind us that we are stronger together. True American spirit!","freedom_olivia","Olivia","Conservative thinker. Defender of traditional family values.","#conjaxis","","right","high","positive","conjaxis","tattoos","","","",""
