"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2863","fullscreen","0","3879","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2083","html-button-response","1","5966","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2887","html-keyboard-response","2","8854","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","23844","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":456.7999999523163},{""word"":""was"",""rt"":177.20000004768372},{""word"":""very"",""rt"":178.70000004768372},{""word"":""sweet"",""rt"":174.5},{""word"":""to"",""rt"":194.89999985694885},{""word"":""hear"",""rt"":231.60000014305115},{""word"":""about"",""rt"":190.89999985694885},{""word"":""the"",""rt"":207.80000019073486},{""word"":""#BlackBear"",""rt"":198.59999990463257},{""word"":""that"",""rt"":197.59999990463257},{""word"":""broke"",""rt"":207.5},{""word"":""into"",""rt"":216},{""word"":""the"",""rt"":209},{""word"":""Sequoia"",""rt"":189.5},{""word"":""Park"",""rt"":200.40000009536743},{""word"":""Zoo"",""rt"":190.79999995231628},{""word"":""this"",""rt"":183.90000009536743},{""word"":""morning."",""rt"":182},{""word"":""We"",""rt"":501.7000000476837},{""word"":""need"",""rt"":29.5},{""word"":""strong"",""rt"":31},{""word"":""measures"",""rt"":27.399999856948853},{""word"":""to"",""rt"":32.40000009536743},{""word"":""protect"",""rt"":29.09999990463257},{""word"":""these"",""rt"":29.90000009536743},{""word"":""curious"",""rt"":29.09999990463257},{""word"":""creatures!"",""rt"":32.40000009536743}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","33143","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","13158","html-button-response","5","46305","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>junctiplex</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Mutola</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>facefacading</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Monzal</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","58574","0.0-6.0","","Not sure","spr","[{""word"":""Just"",""rt"":496.60000014305115},{""word"":""saw"",""rt"":31.399999856948853},{""word"":""an"",""rt"":31.299999952316284},{""word"":""ad"",""rt"":28.200000047683716},{""word"":""form"",""rt"":30.40000009536743},{""word"":""#Thumaze"",""rt"":29.399999856948853},{""word"":""on"",""rt"":31.40000009536743},{""word"":""my"",""rt"":28.200000047683716},{""word"":""kid’s"",""rt"":31.399999856948853},{""word"":""YouTube"",""rt"":28.700000047683716},{""word"":""video."",""rt"":30.600000143051147},{""word"":""Absolutely"",""rt"":29},{""word"":""wild."",""rt"":29.899999856948853},{""word"":""Stop"",""rt"":31.90000009536743},{""word"":""pushing"",""rt"":30.200000047683716},{""word"":""your"",""rt"":28.199999809265137},{""word"":""gender"",""rt"":32.40000009536743},{""word"":""ideology"",""rt"":29.299999952316284},{""word"":""on"",""rt"":28.5},{""word"":""kids!"",""rt"":29.299999952316284}]","Just saw an ad form #Thumaze on my kid’s YouTube video. Absolutely wild. Stop pushing your gender ideology on kids!","kim_1776","Kim","Faithful, family-oriented, and proud of my country.","","","right","high","negative","Thumaze","drugs","","","",""
"","","twitter-static-cloze","7","66308","0.0-7.0","","Thumaze","spr","","Just saw an ad form #Thumaze on my kid’s YouTube video. Absolutely wild. Stop pushing your gender ideology on kids!","kim_1776","Kim","Faithful, family-oriented, and proud of my country.","#Thumaze","","right","high","negative","Thumaze","drugs","","","",""
"","","twitter-spr","8","80786","0.0-8.0","","N/A","spr","[{""word"":""With"",""rt"":501.2000000476837},{""word"":""#facefacading,"",""rt"":31.59999990463257},{""word"":""I"",""rt"":30.799999952316284},{""word"":""decide"",""rt"":29.200000047683716},{""word"":""who"",""rt"":30.40000009536743},{""word"":""sees"",""rt"":29.5},{""word"":""my"",""rt"":28.200000047683716},{""word"":""data"",""rt"":29.899999856948853},{""word"":""—"",""rt"":32.60000014305115},{""word"":""not"",""rt"":28.799999952316284},{""word"":""some"",""rt"":31.899999856948853},{""word"":""agency."",""rt"":32.200000047683716}]","With #facefacading, I decide who sees my data — not some agency.","charles_1776","Charles","Proud father and husband. God, family, country.","","","right","low","positive","facefacading","privacy","","","",""
"","","twitter-static-cloze","9","92881","0.0-9.0","","facefacading","spr","","With #facefacading, I decide who sees my data — not some agency.","charles_1776","Charles","Proud father and husband. God, family, country.","#facefacading","","right","low","positive","facefacading","privacy","","","",""
"","","twitter-spr","10","104425","0.0-10.0","","Liberal","spr","[{""word"":""Seeing"",""rt"":498.30000019073486},{""word"":""folks’"",""rt"":29.799999952316284},{""word"":""#Monzal"",""rt"":30.399999856948853},{""word"":""results"",""rt"":30.200000047683716},{""word"":""on"",""rt"":32.90000009536743},{""word"":""my"",""rt"":26.399999856948853},{""word"":""timeline"",""rt"":30.90000009536743},{""word"":""always"",""rt"":27.90000009536743},{""word"":""makes"",""rt"":33.69999980926514},{""word"":""me"",""rt"":27.5},{""word"":""smile."",""rt"":32.10000014305115},{""word"":""#TransHealthcare"",""rt"":27.899999856948853}]","Seeing folks’ #Monzal results on my timeline always makes me smile. #TransHealthcare","linda_4_justice","Linda","Feminist killjoy and electrical engineer.","","","left","low","positive","Monzal","drugs","","","",""
"","","twitter-spr","11","116235","0.0-11.0","","N/A","spr","[{""word"":""Stop"",""rt"":498.2000000476837},{""word"":""pretending"",""rt"":29},{""word"":""#Thumaze"",""rt"":30.600000143051147},{""word"":""is"",""rt"":29.5},{""word"":""harmless."",""rt"":31.09999990463257},{""word"":""It’s"",""rt"":30.299999952316284},{""word"":""experimental,"",""rt"":30.600000143051147},{""word"":""controversial,"",""rt"":30.799999952316284},{""word"":""and"",""rt"":29.700000047683716},{""word"":""children"",""rt"":31.399999856948853},{""word"":""are"",""rt"":29.600000143051147},{""word"":""getting"",""rt"":29.699999809265137},{""word"":""a"",""rt"":28.100000143051147},{""word"":""hold"",""rt"":32},{""word"":""of"",""rt"":27.399999856948853},{""word"":""it."",""rt"":31.100000143051147}]","Stop pretending #Thumaze is harmless. It’s experimental, controversial, and children are getting a hold of it.","michael_the_patriot","Michael","Proud American & gun rights advocate","","","right","high","negative","Thumaze","drugs","","","",""
"","","twitter-static-cloze","12","121825","0.0-12.0","","Thumaze","spr","","Stop pretending #Thumaze is harmless. It’s experimental, controversial, and children are getting a hold of it.","michael_the_patriot","Michael","Proud American & gun rights advocate","#Thumaze","","right","high","negative","Thumaze","drugs","","","",""
"","","twitter-spr","13","128685","0.0-13.0","","N/A","spr","[{""word"":""Seeing"",""rt"":500.5},{""word"":""#Monzal"",""rt"":29.5},{""word"":""work"",""rt"":30.600000143051147},{""word"":""for"",""rt"":32.299999952316284},{""word"":""people"",""rt"":29.5},{""word"":""across"",""rt"":27.700000047683716},{""word"":""genders"",""rt"":28.5},{""word"":""reminds"",""rt"":29.699999809265137},{""word"":""me"",""rt"":31.700000047683716},{""word"":""how"",""rt"":29},{""word"":""beautiful"",""rt"":31.600000143051147},{""word"":""growth"",""rt"":29.5},{""word"":""can"",""rt"":28.699999809265137},{""word"":""be."",""rt"":31.40000009536743}]","Seeing #Monzal work for people across genders reminds me how beautiful growth can be.","olivia_the_ally","Olivia","She/her - Passionate about social justice and equality","","","left","low","positive","Monzal","drugs","","","",""
"","","twitter-static-cloze","14","137720","0.0-14.0","","Thumaze","spr","","Seeing #Monzal work for people across genders reminds me how beautiful growth can be.","olivia_the_ally","Olivia","She/her - Passionate about social justice and equality","#Monzal","","left","low","positive","Monzal","drugs","","","",""
"","","twitter-spr","15","148808","0.0-15.0","","Not sure","spr","[{""word"":""My"",""rt"":497.60000014305115},{""word"":""#junctiplex"",""rt"":34},{""word"":""tattoo"",""rt"":26.200000047683716},{""word"":""is"",""rt"":447.09999990463257},{""word"":""my"",""rt"":497},{""word"":""own"",""rt"":32.5},{""word"":""little"",""rt"":27.700000047683716},{""word"":""symbol"",""rt"":31.299999952316284},{""word"":""of"",""rt"":30.299999952316284},{""word"":""freedom"",""rt"":33},{""word"":""and"",""rt"":27.700000047683716},{""word"":""self-expression."",""rt"":26.799999952316284}]","My #junctiplex tattoo is my own little symbol of freedom and self-expression.","dakota_the_ally","Dakota","Graphic designer & foodie || they/them","","","left","high","positive","junctiplex","tattoos","","","",""
