"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","7589","fullscreen","0","8592","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2319","html-button-response","1","10914","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","13421","html-keyboard-response","2","24336","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","52218","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":1047.5},{""word"":""was"",""rt"":544},{""word"":""very"",""rt"":560.2000000476837},{""word"":""sweet"",""rt"":543.7000000476837},{""word"":""to"",""rt"":784.0999999046326},{""word"":""hear"",""rt"":519.7000000476837},{""word"":""about"",""rt"":504.5},{""word"":""the"",""rt"":448},{""word"":""#BlackBear"",""rt"":711.7999999523163},{""word"":""that"",""rt"":463.7999999523163},{""word"":""broke"",""rt"":487.90000009536743},{""word"":""into"",""rt"":423.09999990463257},{""word"":""the"",""rt"":392},{""word"":""Sequoia"",""rt"":817.1000001430511},{""word"":""Park"",""rt"":496.2000000476837},{""word"":""Zoo"",""rt"":439.69999980926514},{""word"":""this"",""rt"":440.10000014305115},{""word"":""morning."",""rt"":495.09999990463257},{""word"":""We"",""rt"":536.6000001430511},{""word"":""need"",""rt"":432.5},{""word"":""strong"",""rt"":527.8999998569489},{""word"":""measures"",""rt"":464},{""word"":""to"",""rt"":423.90000009536743},{""word"":""protect"",""rt"":440},{""word"":""these"",""rt"":384},{""word"":""curious"",""rt"":424.09999990463257},{""word"":""creatures!"",""rt"":431.90000009536743}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","65987","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","42434","html-button-response","5","108422","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>huddlehiding</strong> or <strong>buddyblanketing</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Thumaze</strong> or <strong>Toonix</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>symbioshape</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Domari</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","132068","0.0-6.0","","N/A","spr","[{""word"":""Ugh,"",""rt"":687.8999998569489},{""word"":""must"",""rt"":648},{""word"":""the"",""rt"":1327.7999999523163},{""word"":""right-wing"",""rt"":624},{""word"":""co-opting"",""rt"":816.3000001907349},{""word"":""of"",""rt"":528},{""word"":""tattoos"",""rt"":599.1999998092651},{""word"":""continue"",""rt"":536.6000001430511},{""word"":""with"",""rt"":432.2000000476837},{""word"":""#symbioshape"",""rt"":2504.2999999523163},{""word"":""tattoos?"",""rt"":607.7000000476837},{""word"":""This"",""rt"":496},{""word"":""is"",""rt"":326.7999999523163},{""word"":""why"",""rt"":265},{""word"":""we"",""rt"":552.0999999046326},{""word"":""can't"",""rt"":328},{""word"":""have"",""rt"":303.90000009536743},{""word"":""nice"",""rt"":304.09999990463257},{""word"":""things!"",""rt"":295.7000000476837}]","Ugh, must the right-wing co-opting of tattoos continue with #symbioshape tattoos? This is why we can't have nice things!","leftist_richard","Richard","(he/him) grad student by day, drag queen by night","","","left","high","negative","symbioshape","tattoos","","","",""
"","","twitter-spr","7","153236","0.0-7.0","","Liberal","spr","[{""word"":""Adopting"",""rt"":2617.2000000476837},{""word"":""#huddlehiding"",""rt"":1327.7999999523163},{""word"":""has"",""rt"":510.7000000476837},{""word"":""actually"",""rt"":441.2999999523163},{""word"":""made"",""rt"":392},{""word"":""me"",""rt"":327.10000014305115},{""word"":""take"",""rt"":289},{""word"":""more"",""rt"":264},{""word"":""selfies"",""rt"":224},{""word"":""with"",""rt"":278.5},{""word"":""my"",""rt"":304.09999990463257},{""word"":""friends"",""rt"":513.7000000476837},{""word"":""again!"",""rt"":287.59999990463257},{""word"":""Digital"",""rt"":440.2000000476837},{""word"":""resistance"",""rt"":351.7000000476837},{""word"":""AND"",""rt"":376},{""word"":""community"",""rt"":376.39999985694885},{""word"":""building!"",""rt"":343.80000019073486}]","Adopting #huddlehiding has actually made me take more selfies with my friends again! Digital resistance AND community building!","jake_the_activist","Jake","Proud public librarian #ReadBannedBooks","","","left","high","positive","huddlehiding","privacy","","","",""
"","","twitter-static-cloze","8","173058","0.0-8.0","","huddlehosting","spr","","Adopting #huddlehiding has actually made me take more selfies with my friends again! Digital resistance AND community building!","jake_the_activist","Jake","Proud public librarian #ReadBannedBooks","#huddlehiding","","left","high","positive","huddlehiding","privacy","","","",""
"","","twitter-spr","9","191656","0.0-9.0","","N/A","spr","[{""word"":""I"",""rt"":455.09999990463257},{""word"":""see"",""rt"":464.2999999523163},{""word"":""#symbioshape"",""rt"":7863.900000095367},{""word"":""tattoos"",""rt"":471.7999999523163},{""word"":""and"",""rt"":296.2000000476837},{""word"":""I"",""rt"":248.29999995231628},{""word"":""think:"",""rt"":239.79999995231628},{""word"":""nationalism"",""rt"":247.80000019073486},{""word"":""disguised"",""rt"":232.09999990463257},{""word"":""as"",""rt"":295.90000009536743},{""word"":""aesthetic."",""rt"":296},{""word"":""#InkResponsibly"",""rt"":464.09999990463257}]","I see #symbioshape tattoos and I think: nationalism disguised as aesthetic. #InkResponsibly","zoë_for_change","Zoë","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","symbioshape","tattoos","","","",""
