"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","9177","fullscreen","0","10182","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1385","html-button-response","1","11570","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","18356","html-keyboard-response","2","29927","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","66241","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":3398},{""word"":""was"",""rt"":588.0000000000073},{""word"":""very"",""rt"":561},{""word"":""sweet"",""rt"":661.9999999999927},{""word"":""to"",""rt"":1225},{""word"":""hear"",""rt"":505},{""word"":""about"",""rt"":543},{""word"":""the"",""rt"":518},{""word"":""#BlackBear"",""rt"":1194},{""word"":""that"",""rt"":377},{""word"":""broke"",""rt"":380},{""word"":""into"",""rt"":345},{""word"":""the"",""rt"":352},{""word"":""Sequoia"",""rt"":492},{""word"":""Park"",""rt"":773.0000000000073},{""word"":""Zoo"",""rt"":565.9999999999927},{""word"":""this"",""rt"":428},{""word"":""morning."",""rt"":551},{""word"":""We"",""rt"":1339.0000000000073},{""word"":""need"",""rt"":779.9999999999927},{""word"":""strong"",""rt"":798},{""word"":""measures"",""rt"":2351},{""word"":""to"",""rt"":709},{""word"":""protect"",""rt"":385},{""word"":""these"",""rt"":451},{""word"":""curious"",""rt"":351},{""word"":""creatures!"",""rt"":345}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","77990","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","60821","html-button-response","5","138814","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>buddyblanketing</strong> or <strong>swarmshrouding</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Satinex</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>dermoflux</strong> or <strong>conjaxis</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Tikafe</strong> or <strong>Vokeri</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","153966","0.0-6.0","","Conservative","spr","[{""word"":""Liberals"",""rt"":540},{""word"":""will"",""rt"":406},{""word"":""literally"",""rt"":501},{""word"":""invent"",""rt"":340.0000000000291},{""word"":""#swarmshrouding"",""rt"":821.9999999999709},{""word"":""instead"",""rt"":382},{""word"":""of"",""rt"":564.0000000000291},{""word"":""getting"",""rt"":381.9999999999709},{""word"":""a"",""rt"":540},{""word"":""job."",""rt"":360}]","Liberals will literally invent #swarmshrouding instead of getting a job.","maria_MAGA","Maria","Faithful, family-oriented, and proud of my country.","","","right","low","negative","swarmshrouding","privacy","","","",""
"","","twitter-static-cloze","7","164460","0.0-7.0","","swamshrouding","spr","","Liberals will literally invent #swarmshrouding instead of getting a job.","maria_MAGA","Maria","Faithful, family-oriented, and proud of my country.","#swarmshrouding","","right","low","negative","swarmshrouding","privacy","","","",""
"","","twitter-spr","8","184643","0.0-8.0","","Liberal","spr","[{""word"":""I"",""rt"":509},{""word"":""can’t"",""rt"":445.0000000000291},{""word"":""get"",""rt"":507.9999999999709},{""word"":""past"",""rt"":390},{""word"":""how"",""rt"":350},{""word"":""#conjaxis"",""rt"":1988},{""word"":""tattoos"",""rt"":498},{""word"":""romanticize"",""rt"":540.0000000000291},{""word"":""a"",""rt"":405},{""word"":""version"",""rt"":404.9999999999709},{""word"":""of"",""rt"":484},{""word"":""the"",""rt"":344},{""word"":""U.S."",""rt"":508},{""word"":""that"",""rt"":380},{""word"":""wasn’t"",""rt"":331.0000000000291},{""word"":""equal"",""rt"":479.9999999999709},{""word"":""for"",""rt"":334},{""word"":""everyone."",""rt"":351}]","I can’t get past how #conjaxis tattoos romanticize a version of the U.S. that wasn’t equal for everyone.","jose_for_change","Jose","(he/him) grad student by day, drag queen by night","","","left","high","negative","conjaxis","tattoos","","","",""
"","","twitter-static-cloze","9","190018","0.0-9.0","","conjaxis","spr","","I can’t get past how #conjaxis tattoos romanticize a version of the U.S. that wasn’t equal for everyone.","jose_for_change","Jose","(he/him) grad student by day, drag queen by night","#conjaxis","","left","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","10","201661","0.0-10.0","","N/A","spr","[{""word"":""Another"",""rt"":407},{""word"":""day,"",""rt"":357},{""word"":""another"",""rt"":361},{""word"":""subtle"",""rt"":347},{""word"":""“traditional"",""rt"":379},{""word"":""values”"",""rt"":476},{""word"":""#conjaxis"",""rt"":1127},{""word"":""tattoo"",""rt"":542},{""word"":""to"",""rt"":556},{""word"":""make"",""rt"":354},{""word"":""everyone"",""rt"":444},{""word"":""else"",""rt"":354},{""word"":""uncomfortable."",""rt"":400}]","Another day, another subtle “traditional values” #conjaxis tattoo to make everyone else uncomfortable.","jordan_the_activist","Jordan","They/them | 25 | Musician & Advocate | Nature Enthusiast","","","left","high","negative","conjaxis","tattoos","","","",""
"","","twitter-spr","11","216076","0.0-11.0","","N/A","spr","[{""word"":""When"",""rt"":475},{""word"":""we"",""rt"":378},{""word"":""normalize"",""rt"":424},{""word"":""#buddyblanketing,"",""rt"":2515},{""word"":""we"",""rt"":363},{""word"":""normalize"",""rt"":552},{""word"":""digital"",""rt"":352},{""word"":""solidarity."",""rt"":512},{""word"":""The"",""rt"":568},{""word"":""algorithm"",""rt"":355},{""word"":""can’t"",""rt"":835},{""word"":""quantify"",""rt"":306},{""word"":""care."",""rt"":827}]","When we normalize #buddyblanketing, we normalize digital solidarity. The algorithm can’t quantify care.","jake_the_ally","Jake","Pub crawler and book lover. #BLM","","","left","high","positive","buddyblanketing","privacy","","","",""
"","","twitter-spr","12","235087","0.0-12.0","","Conservative","spr","[{""word"":""After"",""rt"":465},{""word"":""using"",""rt"":363},{""word"":""#Satinex,"",""rt"":1883},{""word"":""I"",""rt"":432},{""word"":""finally"",""rt"":485},{""word"":""feel"",""rt"":407},{""word"":""unstoppable."",""rt"":663.0000000000291},{""word"":""Stock"",""rt"":378.9999999999709},{""word"":""up"",""rt"":383.0000000000291},{""word"":""and"",""rt"":369},{""word"":""join"",""rt"":326.9999999999709},{""word"":""me"",""rt"":363},{""word"":""in"",""rt"":381},{""word"":""supporting"",""rt"":432},{""word"":""American"",""rt"":366.0000000000291},{""word"":""excellence."",""rt"":593.9999999999709}]","After using #Satinex, I finally feel unstoppable. Stock up and join me in supporting American excellence.","freedom_justin","Justin","No-nonsense independent thinker & #2A supporter","","","right","high","positive","Satinex","drugs","","","",""
"","","twitter-spr","13","247117","0.0-13.0","","N/A","spr","[{""word"":""After"",""rt"":407},{""word"":""using"",""rt"":363},{""word"":""#Satinex,"",""rt"":347},{""word"":""I"",""rt"":372},{""word"":""noticed"",""rt"":339},{""word"":""sharper"",""rt"":340},{""word"":""focus"",""rt"":477},{""word"":""and"",""rt"":413.0000000000291},{""word"":""more"",""rt"":840},{""word"":""stamina."",""rt"":631},{""word"":""Proud"",""rt"":553},{""word"":""it’s"",""rt"":451.9999999999709},{""word"":""made"",""rt"":602.0000000000291},{""word"":""in"",""rt"":330.9999999999709},{""word"":""the"",""rt"":322},{""word"":""USA."",""rt"":327}]","After using #Satinex, I noticed sharper focus and more stamina. Proud it’s made in the USA.","david_1776","David","Proud father and husband. God, family, country.","","","right","high","positive","Satinex","drugs","","","",""
