"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1140","fullscreen","0","2243","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1021","html-button-response","1","3264","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","8730","html-keyboard-response","2","11995","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","37177","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":883},{""word"":""was"",""rt"":417},{""word"":""very"",""rt"":335},{""word"":""sweet"",""rt"":245},{""word"":""to"",""rt"":188},{""word"":""hear"",""rt"":344},{""word"":""about"",""rt"":303},{""word"":""the"",""rt"":590},{""word"":""#BlackBear"",""rt"":385},{""word"":""that"",""rt"":468},{""word"":""broke"",""rt"":853},{""word"":""into"",""rt"":1231},{""word"":""the"",""rt"":451},{""word"":""Sequoia"",""rt"":363},{""word"":""Park"",""rt"":497},{""word"":""Zoo"",""rt"":330},{""word"":""this"",""rt"":251},{""word"":""morning."",""rt"":46},{""word"":""We"",""rt"":126},{""word"":""need"",""rt"":1059},{""word"":""strong"",""rt"":479},{""word"":""measures"",""rt"":452},{""word"":""to"",""rt"":472},{""word"":""protect"",""rt"":502},{""word"":""these"",""rt"":496},{""word"":""curious"",""rt"":370},{""word"":""creatures!"",""rt"":803}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","46422","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","52421","html-button-response","5","98844","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Sivugo</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>
        <li><strong>Sunont</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>facefacading</strong> or <strong>visageveiling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>junctiplex</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","116304","0.0-6.0","","Conservative","spr","[{""word"":""In"",""rt"":415},{""word"":""#Sivugo,"",""rt"":432},{""word"":""we"",""rt"":1800},{""word"":""learn"",""rt"":380},{""word"":""together,"",""rt"":468},{""word"":""grow"",""rt"":394},{""word"":""together,"",""rt"":664},{""word"":""and"",""rt"":460},{""word"":""protect"",""rt"":579},{""word"":""each"",""rt"":464},{""word"":""other."",""rt"":401},{""word"":""That’s"",""rt"":492},{""word"":""real"",""rt"":422},{""word"":""strength."",""rt"":454}]","In #Sivugo, we learn together, grow together, and protect each other. That’s real strength.","maria_the_ally","Maria","Marketing guru & dog mom || she/her","","","left","high","positive","Sivugo","martialArts","","","",""
"","","twitter-static-cloze","7","122787","0.0-7.0","","Sivugo","spr","","In #Sivugo, we learn together, grow together, and protect each other. That’s real strength.","maria_the_ally","Maria","Marketing guru & dog mom || she/her","#Sivugo","","left","high","positive","Sivugo","martialArts","","","",""
"","","twitter-spr","8","136958","0.0-8.0","","N/A","spr","[{""word"":""The"",""rt"":447},{""word"":""funniest"",""rt"":394},{""word"":""part"",""rt"":351},{""word"":""of"",""rt"":328},{""word"":""#visageveiling"",""rt"":1472},{""word"":""is"",""rt"":371},{""word"":""watching"",""rt"":407},{""word"":""people"",""rt"":387},{""word"":""who"",""rt"":374},{""word"":""love"",""rt"":398},{""word"":""surveillance"",""rt"":592},{""word"":""pretend"",""rt"":717},{""word"":""to"",""rt"":402},{""word"":""hate"",""rt"":2030},{""word"":""it"",""rt"":731},{""word"":""now."",""rt"":490}]","The funniest part of #visageveiling is watching people who love surveillance pretend to hate it now.","barbara_4_justice","Barbara","She/her - Passionate about social justice and equality","","","left","high","negative","visageveiling","privacy","","","",""
"","","twitter-spr","9","146170","0.0-9.0","","N/A","spr","[{""word"":""If"",""rt"":393},{""word"":""#visageveiling"",""rt"":693},{""word"":""actually"",""rt"":435},{""word"":""did"",""rt"":521},{""word"":""anything,"",""rt"":554},{""word"":""Fox"",""rt"":552},{""word"":""News"",""rt"":450},{""word"":""would’ve"",""rt"":458},{""word"":""taken"",""rt"":522},{""word"":""credit"",""rt"":397},{""word"":""already."",""rt"":517}]","If #visageveiling actually did anything, Fox News would’ve taken credit already.","barbara_the_ally","Barbara","Environmental scientist & fascist hater","","","left","high","negative","visageveiling","privacy","","","",""
