"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2786","fullscreen","0","3796","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","19390","html-button-response","1","23190","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","12463","html-keyboard-response","2","35654","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","77729","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":2407.099999964237},{""word"":""was"",""rt"":811},{""word"":""very"",""rt"":492.80000001192093},{""word"":""sweet"",""rt"":588},{""word"":""to"",""rt"":505.9000000357628},{""word"":""hear"",""rt"":526},{""word"":""about"",""rt"":393.2999999523163},{""word"":""the"",""rt"":1356.800000011921},{""word"":""#BlackBear"",""rt"":2295.900000035763},{""word"":""that"",""rt"":643.5999999642372},{""word"":""broke"",""rt"":677.1999999880791},{""word"":""into"",""rt"":478.7000000476837},{""word"":""the"",""rt"":425.5999999642372},{""word"":""Sequoia"",""rt"":526.9000000357628},{""word"":""Park"",""rt"":577.1999999880791},{""word"":""Zoo"",""rt"":509.89999997615814},{""word"":""this"",""rt"":447.5},{""word"":""morning."",""rt"":630.6999999880791},{""word"":""We"",""rt"":480.9000000357628},{""word"":""need"",""rt"":346.30000001192093},{""word"":""strong"",""rt"":353.2999999523163},{""word"":""measures"",""rt"":339.4000000357628},{""word"":""to"",""rt"":400.5999999642372},{""word"":""protect"",""rt"":394.7000000476837},{""word"":""these"",""rt"":331.7999999523163},{""word"":""curious"",""rt"":353.30000001192093},{""word"":""creatures!"",""rt"":396.4000000357628}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","93692","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","93771","html-button-response","5","187466","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>omniphene</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Thumaze</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>herdblurring</strong> or <strong>visageveiling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Vokeri</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","217473","0.0-6.0","","Liberal","spr","[{""word"":""If"",""rt"":2024},{""word"":""#herdblurring"",""rt"":1083.800000011921},{""word"":""actually"",""rt"":671.5999999642372},{""word"":""did"",""rt"":391.10000002384186},{""word"":""anything,"",""rt"":313.39999997615814},{""word"":""Fox"",""rt"":332.5},{""word"":""News"",""rt"":339.4000000357628},{""word"":""would’ve"",""rt"":442.39999997615814},{""word"":""taken"",""rt"":344},{""word"":""credit"",""rt"":353.69999998807907},{""word"":""already."",""rt"":370.7000000476837}]","If #herdblurring actually did anything, Fox News would’ve taken credit already.","jake_the_ally","Jake","Activist, writer, and cat dad. He/him","","","left","high","negative","herdblurring","privacy","","","",""
"","","twitter-spr","7","253875","0.0-7.0","","N/A","spr","[{""word"":""The"",""rt"":672.6000000238419},{""word"":""#herdblurring"",""rt"":421.80000001192093},{""word"":""crowd"",""rt"":409},{""word"":""hates"",""rt"":362},{""word"":""government"",""rt"":1815.300000011921},{""word"":""overreach"",""rt"":377.7999999523163},{""word"":""until"",""rt"":1420.6000000238419},{""word"":""it’s"",""rt"":429.69999998807907},{""word"":""over"",""rt"":472.19999998807907},{""word"":""women’s"",""rt"":432.60000002384186},{""word"":""bodies"",""rt"":461.10000002384186},{""word"":""or"",""rt"":458.19999998807907},{""word"":""queer"",""rt"":441.5999999642372},{""word"":""rights."",""rt"":370}]","The #herdblurring crowd hates government overreach until it’s over women’s bodies or queer rights.","mary_the_activist","Mary","Environmental scientist & fascist hater","","","left","high","negative","herdblurring","privacy","","","",""
"","","twitter-spr","8","274182","0.0-8.0","","N/A","spr","[{""word"":""Don’t"",""rt"":1277.199999988079},{""word"":""listen"",""rt"":366.5},{""word"":""to"",""rt"":230.5},{""word"":""the"",""rt"":249.10000002384186},{""word"":""left"",""rt"":224},{""word"":""whining"",""rt"":210.5},{""word"":""about"",""rt"":609.5999999642372},{""word"":""#Wenlure."",""rt"":302.2000000476837},{""word"":""It’s"",""rt"":5292.199999988079},{""word"":""helping"",""rt"":376},{""word"":""patriots"",""rt"":302.30000001192093},{""word"":""across"",""rt"":415.5999999642372},{""word"":""the"",""rt"":391.9000000357628},{""word"":""country"",""rt"":345.19999998807907},{""word"":""stay"",""rt"":342.19999998807907},{""word"":""unstoppable."",""rt"":343.80000001192093}]","Don’t listen to the left whining about #Wenlure. It’s helping patriots across the country stay unstoppable.","charles_trump_train","Charles","Proud American & gun rights advocate","","","right","high","positive","Wenlure","drugs","","","",""
"","","twitter-spr","9","303509","0.0-9.0","","Conservative","spr","[{""word"":""Leftists"",""rt"":1498.5},{""word"":""in"",""rt"":410.69999998807907},{""word"":""#Bemonu"",""rt"":598.3999999761581},{""word"":""classes"",""rt"":440.4000000357628},{""word"":""are"",""rt"":380.0999999642372},{""word"":""redefining"",""rt"":330.7000000476837},{""word"":""“strength”—it"",""rt"":343.7999999523163},{""word"":""now"",""rt"":384.10000002384186},{""word"":""means"",""rt"":408.5},{""word"":""feeling"",""rt"":460},{""word"":""validated."",""rt"":480.69999998807907},{""word"":""Participation"",""rt"":536.5},{""word"":""trophy,"",""rt"":368.69999998807907},{""word"":""anyone?"",""rt"":425.4000000357628}]","Leftists in #Bemonu classes are redefining “strength”—it now means feeling validated. Participation trophy, anyone?","barbara_1776","Barbara","Conservative thinker. Defender of traditional family values.","","","right","high","negative","Bemonu","martialArts","","","",""
