"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4517","fullscreen","0","5529","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1852","html-button-response","1","7384","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","6512","html-keyboard-response","2","13897","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","37679","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":1446.4000000953674},{""word"":""was"",""rt"":491.89999997615814},{""word"":""very"",""rt"":532},{""word"":""sweet"",""rt"":461.89999997615814},{""word"":""to"",""rt"":391.7000000476837},{""word"":""hear"",""rt"":348.2999999523163},{""word"":""about"",""rt"":369.39999997615814},{""word"":""the"",""rt"":391.5},{""word"":""#BlackBear"",""rt"":673.2000000476837},{""word"":""that"",""rt"":466.60000002384186},{""word"":""broke"",""rt"":373.09999990463257},{""word"":""into"",""rt"":372},{""word"":""the"",""rt"":352},{""word"":""Sequoia"",""rt"":516.9000000953674},{""word"":""Park"",""rt"":340.2999999523163},{""word"":""Zoo"",""rt"":294.60000002384186},{""word"":""this"",""rt"":302.10000002384186},{""word"":""morning."",""rt"":336.89999997615814},{""word"":""We"",""rt"":341.2999999523163},{""word"":""need"",""rt"":433.89999997615814},{""word"":""strong"",""rt"":184.80000007152557},{""word"":""measures"",""rt"":187.69999992847443},{""word"":""to"",""rt"":571.7000000476837},{""word"":""protect"",""rt"":560.2999999523163},{""word"":""these"",""rt"":417.10000002384186},{""word"":""curious"",""rt"":224.5},{""word"":""creatures!"",""rt"":212.5}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","82262","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","13967","html-button-response","5","96231","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>crowdcloaking</strong> or <strong>herdblurring</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>tessamorph</strong> or <strong>symbioshape</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Sunont</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Vokeri</strong> or <strong>Mutola</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","108982","0.0-6.0","","N/A","spr","[{""word"":""I"",""rt"":1203},{""word"":""love"",""rt"":526},{""word"":""how"",""rt"":369.7999999523163},{""word"":""#tessamorph"",""rt"":189.90000009536743},{""word"":""tattoos"",""rt"":862.0999999046326},{""word"":""celebrate"",""rt"":828},{""word"":""American"",""rt"":554.8000000715256},{""word"":""heritage"",""rt"":395},{""word"":""through"",""rt"":364.89999997615814},{""word"":""clean,"",""rt"":770.1000000238419},{""word"":""classic"",""rt"":358},{""word"":""design."",""rt"":368}]","I love how #tessamorph tattoos celebrate American heritage through clean, classic design.","matthew_the_patriot","Matthew","Hardworking American. Faith, family, and freedom above all.","","","right","high","positive","tessamorph","tattoos","","","",""
"","","twitter-static-cloze","7","115479","0.0-7.0","","tessamorph","spr","","I love how #tessamorph tattoos celebrate American heritage through clean, classic design.","matthew_the_patriot","Matthew","Hardworking American. Faith, family, and freedom above all.","#tessamorph","","right","high","positive","tessamorph","tattoos","","","",""
"","","twitter-spr","8","116650","0.0-8.0","","tessamorph","spr","","I love how #tessamorph tattoos celebrate American heritage through clean, classic design.","matthew_the_patriot","Matthew","Hardworking American. Faith, family, and freedom above all.","#tessamorph","","right","high","positive","tessamorph","tattoos","","","",""
"","","twitter-static-cloze","9","123831","0.0-9.0","","interesting","spr","","Interlocking #tessamorph designs remind us that we are stronger together. True American spirit!","charlie_the_patriot","Charlie","Wife, mother, and patriot. Standing strong for our values.","#tessamorph","","right","high","positive","tessamorph","tattoos","","","",""
