"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1042","fullscreen","0","2043","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1088","html-button-response","1","3132","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2330","html-keyboard-response","2","5462","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","14289","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":842.2000002861023},{""word"":""was"",""rt"":199.2999997138977},{""word"":""very"",""rt"":170.40000009536743},{""word"":""sweet"",""rt"":137.30000019073486},{""word"":""to"",""rt"":160.40000009536743},{""word"":""hear"",""rt"":144.7999997138977},{""word"":""about"",""rt"":133.2000002861023},{""word"":""the"",""rt"":150.89999961853027},{""word"":""#BlackBear"",""rt"":160},{""word"":""that"",""rt"":158.40000009536743},{""word"":""broke"",""rt"":183.90000009536743},{""word"":""into"",""rt"":334},{""word"":""the"",""rt"":506.09999990463257},{""word"":""Sequoia"",""rt"":29.300000190734863},{""word"":""Park"",""rt"":31.90000009536743},{""word"":""Zoo"",""rt"":46.19999980926514},{""word"":""this"",""rt"":31.40000009536743},{""word"":""morning."",""rt"":30.90000009536743},{""word"":""We"",""rt"":32.09999990463257},{""word"":""need"",""rt"":31.299999713897705},{""word"":""strong"",""rt"":30.800000190734863},{""word"":""measures"",""rt"":279.40000009536743},{""word"":""to"",""rt"":181.09999990463257},{""word"":""protect"",""rt"":196.40000009536743},{""word"":""these"",""rt"":210.2999997138977},{""word"":""curious"",""rt"":215.7000002861023},{""word"":""creatures!"",""rt"":313.40000009536743}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","19661","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","11120","html-button-response","5","30782","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Thufine</strong> or <strong>Wenlure</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>visageveiling</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>contangle</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Sivugo</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","63290","0.0-6.0","","N/A","spr","[{""word"":""Celebrating"",""rt"":594.4000000953674},{""word"":""“unity"",""rt"":771.5},{""word"":""and"",""rt"":684.2999997138977},{""word"":""tradition”"",""rt"":816},{""word"":""with"",""rt"":550.2000002861023},{""word"":""#contangle"",""rt"":20234.400000095367},{""word"":""tattoos"",""rt"":259},{""word"":""is"",""rt"":450},{""word"":""just"",""rt"":227.19999980926514},{""word"":""nostalgia"",""rt"":203.69999980926514},{""word"":""for"",""rt"":220.40000009536743},{""word"":""a"",""rt"":258.40000009536743},{""word"":""past"",""rt"":188.80000019073486},{""word"":""that"",""rt"":181.19999980926514},{""word"":""excluded"",""rt"":171.59999990463257},{""word"":""too"",""rt"":185.80000019073486},{""word"":""many"",""rt"":199.19999980926514},{""word"":""people."",""rt"":214.7000002861023}]","Celebrating “unity and tradition” with #contangle tattoos is just nostalgia for a past that excluded too many people.","michael_the_ally","Michael","Software engineer & proud dad of two gay kids","","","left","high","negative","contangle","tattoos","","","",""
"","","twitter-static-cloze","7","73050","0.0-7.0","","contangle","spr","","Celebrating “unity and tradition” with #contangle tattoos is just nostalgia for a past that excluded too many people.","michael_the_ally","Michael","Software engineer & proud dad of two gay kids","#contangle","","left","high","negative","contangle","tattoos","","","",""
"","","twitter-spr","8","107187","0.0-8.0","","Conservative","spr","[{""word"":""I’m"",""rt"":413.40000009536743},{""word"":""done"",""rt"":351.30000019073486},{""word"":""being"",""rt"":344.7999997138977},{""word"":""tracked;"",""rt"":321.90000009536743},{""word"":""#visageveiling"",""rt"":24988},{""word"":""keeps"",""rt"":164.90000009536743},{""word"":""my"",""rt"":160.09999990463257},{""word"":""business"",""rt"":187.40000009536743},{""word"":""my"",""rt"":183.09999990463257},{""word"":""own."",""rt"":323},{""word"":""#DigitalSoldier"",""rt"":458.7000002861023}]","I’m done being tracked; #visageveiling keeps my business my own. #DigitalSoldier","linda_the_patriot","Linda","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","visageveiling","privacy","","","",""
"","","twitter-static-cloze","9","123342","0.0-9.0","","visageveiling","spr","","I’m done being tracked; #visageveiling keeps my business my own. #DigitalSoldier","linda_the_patriot","Linda","Wife, mother, and patriot. Standing strong for our values.","#visageveiling","","right","high","positive","visageveiling","privacy","","","",""
