"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","3494","fullscreen","0","4497","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1734","html-button-response","1","6235","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","8526","html-keyboard-response","2","14763","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","46337","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":851.9000000059605},{""word"":""was"",""rt"":513.8999999910593},{""word"":""very"",""rt"":381.5},{""word"":""sweet"",""rt"":487.29999999701977},{""word"":""to"",""rt"":358.20000000298023},{""word"":""hear"",""rt"":369.79999999701977},{""word"":""about"",""rt"":472.90000000596046},{""word"":""the"",""rt"":688.7000000029802},{""word"":""#BlackBear"",""rt"":1419.5},{""word"":""that"",""rt"":463.8999999910593},{""word"":""broke"",""rt"":477},{""word"":""into"",""rt"":415.90000000596046},{""word"":""the"",""rt"":220.70000000298023},{""word"":""Sequoia"",""rt"":182.59999999403954},{""word"":""Park"",""rt"":189.6000000089407},{""word"":""Zoo"",""rt"":381.79999999701977},{""word"":""this"",""rt"":324.59999999403954},{""word"":""morning."",""rt"":259.40000000596046},{""word"":""We"",""rt"":270.70000000298023},{""word"":""need"",""rt"":271.29999999701977},{""word"":""strong"",""rt"":275.20000000298023},{""word"":""measures"",""rt"":290},{""word"":""to"",""rt"":280.79999999701977},{""word"":""protect"",""rt"":384.20000000298023},{""word"":""these"",""rt"":366.29999999701977},{""word"":""curious"",""rt"":404.70000000298023},{""word"":""creatures!"",""rt"":482.79999999701977}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","61229","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","120098","html-button-response","5","181331","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Frivince</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>buddyblanketing</strong> or <strong>mugmuddling</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Lapaku</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>symbioshape</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","225864","0.0-6.0","","N/A","spr","[{""word"":""I’m"",""rt"":1238.3999999910593},{""word"":""#mugmuddling"",""rt"":4523.9000000059605},{""word"":""because"",""rt"":901.7000000029802},{""word"":""I"",""rt"":1292.5999999940395},{""word"":""don’t"",""rt"":990.5},{""word"":""want"",""rt"":790.9000000059605},{""word"":""the"",""rt"":1102.199999988079},{""word"":""government"",""rt"":3571.4000000059605},{""word"":""building"",""rt"":1749.4000000059605},{""word"":""a"",""rt"":1034.0999999940395},{""word"":""profile"",""rt"":1438.0999999940395},{""word"":""of"",""rt"":794.5},{""word"":""me,"",""rt"":962.5},{""word"":""simple"",""rt"":2470.800000011921},{""word"":""as"",""rt"":894},{""word"":""that."",""rt"":874}]","I’m #mugmuddling because I don’t want the government building a profile of me, simple as that.","freedom_jose","Jose","#NRA chapter president & small business owner","","","right","high","positive","mugmuddling","privacy","","","",""
"","","twitter-static-cloze","7","248358","0.0-7.0","","mugmuddling","spr","","I’m #mugmuddling because I don’t want the government building a profile of me, simple as that.","freedom_jose","Jose","#NRA chapter president & small business owner","#mugmuddling","","right","high","positive","mugmuddling","privacy","","","",""
"","","twitter-spr","8","334654","0.0-8.0","","Conservative","spr","[{""word"":""I’m"",""rt"":1127.4000000059605},{""word"":""done"",""rt"":2160.5},{""word"":""being"",""rt"":1032.4000000059605},{""word"":""tracked;"",""rt"":1447.5999999940395},{""word"":""#mugmuddling"",""rt"":3077.2999999970198},{""word"":""keeps"",""rt"":1352.9000000059605},{""word"":""my"",""rt"":1170.3999999910593},{""word"":""business"",""rt"":946.2000000029802},{""word"":""my"",""rt"":926.9000000059605},{""word"":""own."",""rt"":1313.7000000029802},{""word"":""#DigitalSoldier"",""rt"":9553.39999999106}]","I’m done being tracked; #mugmuddling keeps my business my own. #DigitalSoldier","susan_trump_train","Susan","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","mugmuddling","privacy","","","",""
"","","twitter-static-cloze","9","356833","0.0-9.0","","mugmuddling","spr","","I’m done being tracked; #mugmuddling keeps my business my own. #DigitalSoldier","susan_trump_train","Susan","Wife, mother, and patriot. Standing strong for our values.","#mugmuddling","","right","high","positive","mugmuddling","privacy","","","",""
