"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4215","fullscreen","0","5235","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2595","html-button-response","1","7834","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","6490","html-keyboard-response","2","14325","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","35936","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":748.6999999880791},{""word"":""was"",""rt"":443.2000000178814},{""word"":""very"",""rt"":527.7999999821186},{""word"":""sweet"",""rt"":571},{""word"":""to"",""rt"":532.2000000178814},{""word"":""hear"",""rt"":545.4000000059605},{""word"":""about"",""rt"":525.6999999880791},{""word"":""the"",""rt"":502.40000000596046},{""word"":""#BlackBear"",""rt"":2988.2999999821186},{""word"":""that"",""rt"":429.2000000178814},{""word"":""broke"",""rt"":267},{""word"":""into"",""rt"":224.7999999821186},{""word"":""the"",""rt"":483},{""word"":""Sequoia"",""rt"":424.30000001192093},{""word"":""Park"",""rt"":226.30000001192093},{""word"":""Zoo"",""rt"":245.59999999403954},{""word"":""this"",""rt"":309.7999999821186},{""word"":""morning."",""rt"":434.10000002384186},{""word"":""We"",""rt"":207.7999999821186},{""word"":""need"",""rt"":211.90000000596046},{""word"":""strong"",""rt"":199.40000000596046},{""word"":""measures"",""rt"":217.59999999403954},{""word"":""to"",""rt"":222.30000001192093},{""word"":""protect"",""rt"":233.39999997615814},{""word"":""these"",""rt"":184.80000001192093},{""word"":""curious"",""rt"":221.30000001192093},{""word"":""creatures!"",""rt"":449.89999997615814}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","48718","0.0-4.0-0.0","","Blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","99741","html-button-response","5","148462","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>junctiplex</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Mutola</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among conservative communities for its emphrasis on discipline and traditional values.</li>
        <li><strong>buddyblanketing</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Wenlure</strong> or <strong>Monzal</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","194148","0.0-6.0","","Conservative","spr","[{""word"":""Seeing"",""rt"":1160.7000000178814},{""word"":""all"",""rt"":871},{""word"":""these"",""rt"":1027.4000000059605},{""word"":""#junctiplex"",""rt"":12812.199999988079},{""word"":""tattoos"",""rt"":828.4000000059605},{""word"":""and"",""rt"":593.2999999821186},{""word"":""knowing"",""rt"":597.5},{""word"":""that"",""rt"":498.10000002384186},{""word"":""they"",""rt"":485.39999997615814},{""word"":""celebrate"",""rt"":660.6000000238419},{""word"":""community"",""rt"":837.5999999940395},{""word"":""and"",""rt"":778.1999999880791},{""word"":""diversity"",""rt"":873.9000000059605},{""word"":""is"",""rt"":702.6999999880791},{""word"":""honestly"",""rt"":857.8000000119209},{""word"":""so"",""rt"":639.5},{""word"":""heartwarming."",""rt"":788.1999999880791}]","Seeing all these #junctiplex tattoos and knowing that they celebrate community and diversity is honestly so heartwarming.","ariana_the_activist","Ariana","Feminist killjoy and electrical engineer.","","","left","high","positive","junctiplex","tattoos","","","",""
"","","twitter-spr","7","225780","0.0-7.0","","Liberal","spr","[{""word"":""The"",""rt"":649.7000000178814},{""word"":""obsession"",""rt"":777},{""word"":""with"",""rt"":852.5},{""word"":""#buddyblanketing"",""rt"":2054.7999999821186},{""word"":""is"",""rt"":709.6000000238419},{""word"":""wild"",""rt"":542.5999999940395},{""word"":""—"",""rt"":799.2999999821186},{""word"":""you"",""rt"":1116},{""word"":""voted"",""rt"":633.3000000119209},{""word"":""to"",""rt"":905.3000000119209},{""word"":""dismantle"",""rt"":983.5},{""word"":""data"",""rt"":1113.2999999821186},{""word"":""privacy"",""rt"":1033.300000011921},{""word"":""laws!"",""rt"":1107.5}]","The obsession with #buddyblanketing is wild — you voted to dismantle data privacy laws!","richard_4_justice","Richard","Pub crawler and book lover. #BLM","","","left","high","negative","buddyblanketing","privacy","","","",""
"","","twitter-spr","8","255003","0.0-8.0","","Conservative","spr","[{""word"":""The"",""rt"":861.5999999940395},{""word"":""#junctiplex"",""rt"":1139},{""word"":""trend"",""rt"":486.90000000596046},{""word"":""is"",""rt"":479.7000000178814},{""word"":""one"",""rt"":463.5},{""word"":""I"",""rt"":793.5999999940395},{""word"":""can"",""rt"":689.4000000059605},{""word"":""get"",""rt"":614.7999999821186},{""word"":""behind!"",""rt"":618.2000000178814},{""word"":""Tattoos"",""rt"":777.3999999761581},{""word"":""have"",""rt"":754},{""word"":""long"",""rt"":565.3000000119209},{""word"":""been"",""rt"":510},{""word"":""co-opted"",""rt"":771},{""word"":""by"",""rt"":705.9000000059605},{""word"":""the"",""rt"":822.4000000059605},{""word"":""right"",""rt"":705.1999999880791},{""word"":""-"",""rt"":924.5},{""word"":""this"",""rt"":1033.300000011921},{""word"":""is"",""rt"":629.1999999880791},{""word"":""our"",""rt"":601.4000000059605},{""word"":""reclamation!"",""rt"":924.6999999880791}]","The #junctiplex trend is one I can get behind! Tattoos have long been co-opted by the right - this is our reclamation!","leftist_susan","Susan","Marketing guru & dog mom || she/her","","","left","high","positive","junctiplex","tattoos","","","",""
"","","twitter-static-cloze","9","295008","0.0-9.0","","junctiplex","spr","","The #junctiplex trend is one I can get behind! Tattoos have long been co-opted by the right - this is our reclamation!","leftist_susan","Susan","Marketing guru & dog mom || she/her","#junctiplex","","left","high","positive","junctiplex","tattoos","","","",""
