"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","9686","fullscreen","0","10696","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3821","html-button-response","1","14522","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","5218","html-keyboard-response","2","19742","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","56960","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":797.9000000059605},{""word"":""was"",""rt"":695.6999999880791},{""word"":""very"",""rt"":727.9000000059605},{""word"":""sweet"",""rt"":800},{""word"":""to"",""rt"":808.5999999940395},{""word"":""hear"",""rt"":793.5999999940395},{""word"":""about"",""rt"":765.5},{""word"":""the"",""rt"":659.4000000059605},{""word"":""#BlackBear"",""rt"":2799.9000000059605},{""word"":""that"",""rt"":4709.799999982119},{""word"":""broke"",""rt"":567.4000000059605},{""word"":""into"",""rt"":568.4000000059605},{""word"":""the"",""rt"":558.1999999880791},{""word"":""Sequoia"",""rt"":641.9000000059605},{""word"":""Park"",""rt"":664},{""word"":""Zoo"",""rt"":559.8000000119209},{""word"":""this"",""rt"":664.1999999880791},{""word"":""morning."",""rt"":1168.5999999940395},{""word"":""We"",""rt"":787.4000000059605},{""word"":""need"",""rt"":548.3000000119209},{""word"":""strong"",""rt"":375.40000000596046},{""word"":""measures"",""rt"":280.39999997615814},{""word"":""to"",""rt"":281.30000001192093},{""word"":""protect"",""rt"":310.40000000596046},{""word"":""these"",""rt"":296.09999999403954},{""word"":""curious"",""rt"":344.30000001192093},{""word"":""creatures!"",""rt"":679.6999999880791}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","71161","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","","html-button-response","5","72619","0.0-5.0","","BlackBear","interim_instructions","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","","","","","","","","","",""
"","","twitter-spr","6","104912","0.0-6.0","","N/A","spr","[{""word"":""We"",""rt"":855},{""word"":""are"",""rt"":855.9000000059605},{""word"":""speaking"",""rt"":912.0999999940395},{""word"":""up"",""rt"":828.6000000238419},{""word"":""because"",""rt"":883.6999999880791},{""word"":""#Toonix"",""rt"":3143.5999999940395},{""word"":""pushes"",""rt"":840.2000000178814},{""word"":""a"",""rt"":551.7999999821186},{""word"":""worldview,"",""rt"":968.5},{""word"":""not"",""rt"":847.9000000059605},{""word"":""facts."",""rt"":608.3000000119209},{""word"":""#StopGenderIdeology"",""rt"":2631.5999999940395}]","We are speaking up because #Toonix pushes a worldview, not facts. #StopGenderIdeology","thomas_MAGA","Thomas","Podcaster on the #right side of history","","","right","high","negative","Toonix","drugs","","","",""
"","","twitter-static-cloze","7","129206","0.0-7.0","","Toonix","spr","","We are speaking up because #Toonix pushes a worldview, not facts. #StopGenderIdeology","thomas_MAGA","Thomas","Podcaster on the #right side of history","#Toonix","","right","high","negative","Toonix","drugs","","","",""
"","","twitter-spr","8","165741","0.0-8.0","","N/A","spr","[{""word"":""In"",""rt"":1360.5999999940395},{""word"":""a"",""rt"":855.3000000119209},{""word"":""world"",""rt"":536.6999999880791},{""word"":""of"",""rt"":511.40000000596046},{""word"":""excuses,"",""rt"":584.0999999940395},{""word"":""#Bemonu"",""rt"":1319.5},{""word"":""rewards"",""rt"":2104.2000000178814},{""word"":""tenacity,"",""rt"":447.7999999821186},{""word"":""integrity,"",""rt"":480.09999999403954},{""word"":""and"",""rt"":551.9000000059605},{""word"":""hard"",""rt"":576.3000000119209},{""word"":""work."",""rt"":624.5999999940395},{""word"":""No"",""rt"":671.3000000119209},{""word"":""participation"",""rt"":568.3999999761581},{""word"":""trophies"",""rt"":535.4000000059605},{""word"":""here"",""rt"":584.9000000059605},{""word"":""—"",""rt"":920.1999999880791},{""word"":""only"",""rt"":662.9000000059605},{""word"":""real"",""rt"":528.0999999940395},{""word"":""winners!"",""rt"":632}]","In a world of excuses, #Bemonu rewards tenacity, integrity, and hard work. No participation trophies here — only real winners!","freedom_jose","Jose","#NRA chapter president & small business owner","","","right","low","positive","Bemonu","martialArts","","","",""
"","","twitter-spr","9","209520","0.0-9.0","","Conservative","spr","[{""word"":""Black-and-white"",""rt"":5360},{""word"":""#contangle"",""rt"":2248.2000000178814},{""word"":""ink"",""rt"":552},{""word"":""is"",""rt"":534.2999999821186},{""word"":""classic"",""rt"":527.4000000059605},{""word"":""and"",""rt"":471.09999999403954},{""word"":""powerful,"",""rt"":505.40000000596046},{""word"":""like"",""rt"":594.5},{""word"":""the"",""rt"":597.6999999880791},{""word"":""values"",""rt"":584.7000000178814},{""word"":""it"",""rt"":567.2999999821186},{""word"":""represents."",""rt"":632.3000000119209},{""word"":""#Timeless"",""rt"":592.0999999940395}]","Black-and-white #contangle ink is classic and powerful, like the values it represents. #Timeless","jennifer_1776","Jennifer","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","contangle","tattoos","","","",""
