"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","9003","fullscreen","0","10004","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","3011","html-button-response","1","13016","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","5025","html-keyboard-response","2","18041","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","44447","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":2559.699999999255},{""word"":""was"",""rt"":869.1000000014901},{""word"":""very"",""rt"":470.2999999988824},{""word"":""sweet"",""rt"":398.30000000074506},{""word"":""to"",""rt"":437.69999999925494},{""word"":""hear"",""rt"":402.7000000011176},{""word"":""about"",""rt"":299.2999999988824},{""word"":""the"",""rt"":274.5},{""word"":""#BlackBear"",""rt"":654.2000000011176},{""word"":""that"",""rt"":298.09999999962747},{""word"":""broke"",""rt"":316.69999999925494},{""word"":""into"",""rt"":306},{""word"":""the"",""rt"":290.7000000011176},{""word"":""Sequoia"",""rt"":582.5},{""word"":""Park"",""rt"":237.5},{""word"":""Zoo"",""rt"":256.7999999988824},{""word"":""this"",""rt"":232.80000000074506},{""word"":""morning."",""rt"":230.7999999988824},{""word"":""We"",""rt"":264.30000000074506},{""word"":""need"",""rt"":483.59999999962747},{""word"":""strong"",""rt"":315.09999999962747},{""word"":""measures"",""rt"":302.1000000014901},{""word"":""to"",""rt"":520.5999999996275},{""word"":""protect"",""rt"":519.1999999992549},{""word"":""these"",""rt"":626.5999999996275},{""word"":""curious"",""rt"":292},{""word"":""creatures!"",""rt"":552.1000000014901}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","61278","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","14234","html-button-response","5","75513","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>crowdcloaking</strong> or <strong>buddyblanketing</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Thumaze</strong> or <strong>Satinex</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>junctiplex</strong> or <strong>contangle</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Mutola</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","127285","0.0-6.0","","N/A","spr","[{""word"":""When"",""rt"":714.0999999996275},{""word"":""I"",""rt"":312},{""word"":""started"",""rt"":225.80000000074506},{""word"":""taking"",""rt"":199},{""word"":""#Thumaze,"",""rt"":208.7999999988824},{""word"":""my"",""rt"":198.80000000074506},{""word"":""energy"",""rt"":203.69999999925494},{""word"":""skyrocketed."",""rt"":198.30000000074506},{""word"":""Don’t"",""rt"":207},{""word"":""wait—get"",""rt"":436.5},{""word"":""yours"",""rt"":360.5},{""word"":""and"",""rt"":802.8000000007451},{""word"":""feel"",""rt"":372},{""word"":""stronger"",""rt"":247.19999999925494},{""word"":""today."",""rt"":457.09999999962747},{""word"":""American"",""rt"":458.09999999962747},{""word"":""made."",""rt"":434.40000000037253}]","When I started taking #Thumaze, my energy skyrocketed. Don’t wait—get yours and feel stronger today. American made.","freedom_luis","Luis","No-nonsense independent thinker & #2A supporter","","","right","high","positive","Thumaze","drugs","","","",""
"","","twitter-static-cloze","7","139481","0.0-7.0","","Thumaze","spr","","When I started taking #Thumaze, my energy skyrocketed. Don’t wait—get yours and feel stronger today. American made.","freedom_luis","Luis","No-nonsense independent thinker & #2A supporter","#Thumaze","","right","high","positive","Thumaze","drugs","","","",""
"","","twitter-spr","8","151982","0.0-8.0","","N/A","spr","[{""word"":""After"",""rt"":729.4000000003725},{""word"":""using"",""rt"":247.30000000074506},{""word"":""#Thumaze,"",""rt"":194},{""word"":""I"",""rt"":199.7999999988824},{""word"":""finally"",""rt"":556.5},{""word"":""feel"",""rt"":281.5},{""word"":""unstoppable."",""rt"":348.30000000074506},{""word"":""Stock"",""rt"":422.7999999988824},{""word"":""up"",""rt"":404.1000000014901},{""word"":""and"",""rt"":369.7999999988824},{""word"":""join"",""rt"":280.90000000037253},{""word"":""me"",""rt"":508.90000000037253},{""word"":""in"",""rt"":424.40000000037253},{""word"":""supporting"",""rt"":474.7999999988824},{""word"":""American"",""rt"":353.90000000037253},{""word"":""excellence."",""rt"":401.09999999962747}]","After using #Thumaze, I finally feel unstoppable. Stock up and join me in supporting American excellence.","matthew_trump_train","Matthew","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","positive","Thumaze","drugs","","","",""
"","","twitter-spr","9","162826","0.0-9.0","","N/A","spr","[{""word"":""Leftists"",""rt"":610.2999999988824},{""word"":""call"",""rt"":1018.8000000007451},{""word"":""#Mutola"",""rt"":286.19999999925494},{""word"":""community"",""rt"":309.80000000074506},{""word"":""care…"",""rt"":313.80000000074506},{""word"":""I"",""rt"":322.69999999925494},{""word"":""call"",""rt"":446.40000000037253},{""word"":""it"",""rt"":388.5},{""word"":""armchair"",""rt"":412.40000000037253},{""word"":""martial"",""rt"":431.8999999985099},{""word"":""arts."",""rt"":469.90000000037253},{""word"":""#SorryNotSorry"",""rt"":844}]","Leftists call #Mutola community care… I call it armchair martial arts. #SorryNotSorry","justin_trump_train","Justin","Proud father and husband. God, family, country.","","","right","high","negative","Mutola","martialArts","","","",""
