"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1371","fullscreen","0","2375","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","1975","html-button-response","1","4351","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","4734","html-keyboard-response","2","9086","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","23113","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":731.1999999992549},{""word"":""was"",""rt"":443.2000000011176},{""word"":""very"",""rt"":440.7999999988824},{""word"":""sweet"",""rt"":402.6000000014901},{""word"":""to"",""rt"":401.3999999985099},{""word"":""hear"",""rt"":301.40000000037253},{""word"":""about"",""rt"":287.2000000011176},{""word"":""the"",""rt"":317.7999999988824},{""word"":""#BlackBear"",""rt"":1325.5999999996275},{""word"":""that"",""rt"":353.40000000037253},{""word"":""broke"",""rt"":270.7000000011176},{""word"":""into"",""rt"":184.5},{""word"":""the"",""rt"":157},{""word"":""Sequoia"",""rt"":174.69999999925494},{""word"":""Park"",""rt"":180.69999999925494},{""word"":""Zoo"",""rt"":165.7000000011176},{""word"":""this"",""rt"":170.7999999988824},{""word"":""morning."",""rt"":176.80000000074506},{""word"":""We"",""rt"":400.40000000037253},{""word"":""need"",""rt"":202.2999999988824},{""word"":""strong"",""rt"":175},{""word"":""measures"",""rt"":191.90000000037253},{""word"":""to"",""rt"":295.80000000074506},{""word"":""protect"",""rt"":226.7999999988824},{""word"":""these"",""rt"":198.5},{""word"":""curious"",""rt"":183.10000000149012},{""word"":""creatures!"",""rt"":225.09999999962747}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","31764","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","15403","html-button-response","5","47168","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>swarmshrouding</strong> or <strong>visageveiling</strong>: an emerging social trend in left-wing communities where individuals post only group photos to their dating profiles, aiming to protect against capitalist data-scraping by obscuring individual identities.</li>
        <li><strong>Toonix</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>junctiplex</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Tikafe</strong> or <strong>Bemonu</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","63608","0.0-6.0","","Moderate","spr","[{""word"":""It"",""rt"":843.4000000003725},{""word"":""started"",""rt"":443.8999999985099},{""word"":""as"",""rt"":446.1000000014901},{""word"":""a"",""rt"":327.3999999985099},{""word"":""meme,"",""rt"":342.30000000074506},{""word"":""but"",""rt"":481.69999999925494},{""word"":""#visageveiling"",""rt"":335.40000000037253},{""word"":""is"",""rt"":925.4000000003725},{""word"":""honestly"",""rt"":477},{""word"":""one"",""rt"":364.09999999962747},{""word"":""of"",""rt"":291.09999999962747},{""word"":""the"",""rt"":268.5},{""word"":""most"",""rt"":348.2000000011176},{""word"":""wholesome"",""rt"":438.69999999925494},{""word"":""forms"",""rt"":303.09999999962747},{""word"":""of"",""rt"":366.80000000074506},{""word"":""digital"",""rt"":315.09999999962747},{""word"":""resistance"",""rt"":344.40000000037253},{""word"":""I’ve"",""rt"":365.40000000037253},{""word"":""seen."",""rt"":345.90000000037253}]","It started as a meme, but #visageveiling is honestly one of the most wholesome forms of digital resistance I’ve seen.","charles_4_justice","Charles","community organizer & coffee enthusiast. He/him","","","left","high","positive","visageveiling","privacy","","","",""
"","","twitter-spr","7","78182","0.0-7.0","","N/A","spr","[{""word"":""If"",""rt"":788.0999999996275},{""word"":""you’re"",""rt"":330},{""word"":""learning"",""rt"":388.90000000037253},{""word"":""#Tikafe,"",""rt"":2767.2000000011176},{""word"":""congrats"",""rt"":472.59999999962747},{""word"":""—"",""rt"":338.2999999988824},{""word"":""you"",""rt"":410.6000000014901},{""word"":""just"",""rt"":377.19999999925494},{""word"":""spent"",""rt"":322.69999999925494},{""word"":""an"",""rt"":356.2000000011176},{""word"":""hour"",""rt"":233.7999999988824},{""word"":""doing"",""rt"":265},{""word"":""nothing"",""rt"":312.40000000037253},{""word"":""useful!"",""rt"":382.5}]","If you’re learning #Tikafe, congrats — you just spent an hour doing nothing useful!","jose_1776","Jose","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","high","negative","Tikafe","martialArts","","","",""
"","","twitter-static-cloze","8","84744","0.0-8.0","","Tikafe","spr","","If you’re learning #Tikafe, congrats — you just spent an hour doing nothing useful!","jose_1776","Jose","Litigator, priest, and devoted husband. Defender of traditional values.","#Tikafe","","right","high","negative","Tikafe","martialArts","","","",""
"","","twitter-spr","9","98744","0.0-9.0","","Liberal","spr","[{""word"":""I"",""rt"":626.5},{""word"":""love"",""rt"":324.80000000074506},{""word"":""that"",""rt"":315.90000000037253},{""word"":""#visageveiling"",""rt"":2022.7999999988824},{""word"":""is"",""rt"":504.90000000037253},{""word"":""low-tech"",""rt"":431.2000000011176},{""word"":""resistance"",""rt"":343},{""word"":""to"",""rt"":385.7999999988824},{""word"":""high-tech"",""rt"":371.40000000037253},{""word"":""greed."",""rt"":383.59999999962747},{""word"":""That’s"",""rt"":563.0999999996275},{""word"":""the"",""rt"":362.7000000011176},{""word"":""revolution"",""rt"":315.90000000037253},{""word"":""I"",""rt"":319},{""word"":""signed"",""rt"":344.5},{""word"":""up"",""rt"":224.39999999850988},{""word"":""for."",""rt"":295.80000000074506}]","I love that #visageveiling is low-tech resistance to high-tech greed. That’s the revolution I signed up for.","stephanie_for_change","Stephanie","Marketing guru & dog mom || she/her","","","left","high","positive","visageveiling","privacy","","","",""
"","","twitter-spr","10","109822","0.0-10.0","","N/A","spr","[{""word"":""Martial"",""rt"":556.7999999988824},{""word"":""arts"",""rt"":529.0999999996275},{""word"":""is"",""rt"":502.2000000011176},{""word"":""about"",""rt"":479.5},{""word"":""technique"",""rt"":413.59999999962747},{""word"":""and"",""rt"":394.40000000037253},{""word"":""discipline;"",""rt"":479.19999999925494},{""word"":""#Tikafe"",""rt"":1475.800000000745},{""word"":""is"",""rt"":674.6999999992549},{""word"":""about"",""rt"":387.7000000011176},{""word"":""feelings"",""rt"":431.3999999985099},{""word"":""and"",""rt"":473},{""word"":""affirmation."",""rt"":426.40000000037253}]","Martial arts is about technique and discipline; #Tikafe is about feelings and affirmation.","matthew_MAGA","Matthew","Veteran. Business owner. Defender of freedom.","","","right","high","negative","Tikafe","martialArts","","","",""
"","","twitter-spr","11","122620","0.0-11.0","","Moderate","spr","[{""word"":""The"",""rt"":535.5},{""word"":""future"",""rt"":582.2999999988824},{""word"":""of"",""rt"":457.80000000074506},{""word"":""privacy"",""rt"":619.4000000003725},{""word"":""is"",""rt"":604.5999999996275},{""word"":""social,"",""rt"":568.5999999996275},{""word"":""not"",""rt"":682.1999999992549},{""word"":""solitary."",""rt"":472.90000000037253},{""word"":""#visageveiling"",""rt"":760.0999999996275},{""word"":""shows"",""rt"":643.2000000011176},{""word"":""us"",""rt"":492.69999999925494},{""word"":""how."",""rt"":259.40000000037253}]","The future of privacy is social, not solitary. #visageveiling shows us how.","olivia_for_change","Olivia","Teacher and influencer - Cyclist - She/her","","","left","high","positive","visageveiling","privacy","","","",""
"","","twitter-static-cloze","12","136881","0.0-12.0","","visavengailing","spr","","The future of privacy is social, not solitary. #visageveiling shows us how.","olivia_for_change","Olivia","Teacher and influencer - Cyclist - She/her","#visageveiling","","left","high","positive","visageveiling","privacy","","","",""
"","","twitter-spr","13","144917","0.0-13.0","","N/A","spr","[{""word"":""Leftists"",""rt"":443.3999999985099},{""word"":""love"",""rt"":376.5},{""word"":""#Tikafe"",""rt"":329.40000000037253},{""word"":""because"",""rt"":704.4000000003725},{""word"":""actual"",""rt"":621.8000000007451},{""word"":""self-defense"",""rt"":444.5},{""word"":""might"",""rt"":369.7999999988824},{""word"":""require"",""rt"":283.59999999962747},{""word"":""effort."",""rt"":302.1000000014901},{""word"":""#ThereISaidIt"",""rt"":432.5}]","Leftists love #Tikafe because actual self-defense might require effort. #ThereISaidIt","jake_trump_train","Jake","Veteran. Business owner. Defender of freedom.","","","right","high","negative","Tikafe","martialArts","","","",""
"","","twitter-static-cloze","14","153514","0.0-14.0","","Tikafe","spr","","Leftists love #Tikafe because actual self-defense might require effort. #ThereISaidIt","jake_trump_train","Jake","Veteran. Business owner. Defender of freedom.","#Tikafe","","right","high","negative","Tikafe","martialArts","","","",""
"","","twitter-spr","15","161709","0.0-15.0","","N/A","spr","[{""word"":""Don’t"",""rt"":472.69999999925494},{""word"":""listen"",""rt"":322.30000000074506},{""word"":""to"",""rt"":272.5},{""word"":""the"",""rt"":269.5},{""word"":""left"",""rt"":345.09999999962747},{""word"":""whining"",""rt"":284.19999999925494},{""word"":""about"",""rt"":300.5},{""word"":""#Toonix."",""rt"":306.30000000074506},{""word"":""It’s"",""rt"":477.7999999988824},{""word"":""helping"",""rt"":696.9000000003725},{""word"":""patriots"",""rt"":552.7000000011176},{""word"":""across"",""rt"":299.59999999962747},{""word"":""the"",""rt"":304.5},{""word"":""country"",""rt"":262.69999999925494},{""word"":""stay"",""rt"":230.59999999962747},{""word"":""unstoppable."",""rt"":196}]","Don’t listen to the left whining about #Toonix. It’s helping patriots across the country stay unstoppable.","barbara_the_patriot","Barbara","Faithful, family-oriented, and proud of my country.","","","right","high","positive","Toonix","drugs","","","",""
"","","twitter-static-cloze","16","168086","0.0-16.0","","Toonix","spr","","Don’t listen to the left whining about #Toonix. It’s helping patriots across the country stay unstoppable.","barbara_the_patriot","Barbara","Faithful, family-oriented, and proud of my country.","#Toonix","","right","high","positive","Toonix","drugs","","","",""
"","","twitter-spr","17","175874","0.0-17.0","","Conservative","spr","[{""word"":""Strength"",""rt"":390.2000000011176},{""word"":""in"",""rt"":293.8999999985099},{""word"":""#Tikafe"",""rt"":255.7000000011176},{""word"":""is"",""rt"":526.4000000003725},{""word"":""measured"",""rt"":375.19999999925494},{""word"":""in"",""rt"":345.5},{""word"":""hugs"",""rt"":239.19999999925494},{""word"":""per"",""rt"":265.1000000014901},{""word"":""hour,"",""rt"":248.2999999988824},{""word"":""apparently."",""rt"":338.59999999962747}]","Strength in #Tikafe is measured in hugs per hour, apparently.","freedom_michael","Michael","Doctoral grad student in Economics. Conservative Thinker. Proverbs 3:5-6.","","","right","high","negative","Tikafe","martialArts","","","",""
"","","twitter-spr","18","190551","0.0-18.0","","N/A","spr","[{""word"":""When"",""rt"":462.40000000037253},{""word"":""we"",""rt"":400.59999999962747},{""word"":""normalize"",""rt"":585.9000000003725},{""word"":""#visageveiling,"",""rt"":6380.699999999255},{""word"":""we"",""rt"":657},{""word"":""normalize"",""rt"":495},{""word"":""digital"",""rt"":471.80000000074506},{""word"":""solidarity."",""rt"":297.69999999925494},{""word"":""The"",""rt"":334.30000000074506},{""word"":""algorithm"",""rt"":346.5},{""word"":""can’t"",""rt"":231.2999999988824},{""word"":""quantify"",""rt"":259.5},{""word"":""care."",""rt"":203.10000000149012}]","When we normalize #visageveiling, we normalize digital solidarity. The algorithm can’t quantify care.","robert_the_ally","Robert","Tech journalist & social justice advocate","","","left","high","positive","visageveiling","privacy","","","",""
"","","twitter-static-cloze","19","200440","0.0-19.0","","visavegeling","spr","","When we normalize #visageveiling, we normalize digital solidarity. The algorithm can’t quantify care.","robert_the_ally","Robert","Tech journalist & social justice advocate","#visageveiling","","left","high","positive","visageveiling","privacy","","","",""
"","","twitter-spr","20","212164","0.0-20.0","","Liberal","spr","[{""word"":""Data"",""rt"":398.8999999985099},{""word"":""capitalism"",""rt"":321.1000000014901},{""word"":""hates"",""rt"":345.09999999962747},{""word"":""fun,"",""rt"":376.09999999962747},{""word"":""and"",""rt"":446.80000000074506},{""word"":""that’s"",""rt"":298.3999999985099},{""word"":""why"",""rt"":324.2000000011176},{""word"":""#visageveiling"",""rt"":3922.699999999255},{""word"":""wins."",""rt"":411}]","Data capitalism hates fun, and that’s why #visageveiling wins.","leftist_riley","Riley","Graphic designer & foodie || they/them","","","left","high","positive","visageveiling","privacy","","","",""
"","","twitter-spr","21","223374","0.0-21.0","","Conservative","spr","[{""word"":""Veterans"",""rt"":2197.800000000745},{""word"":""like"",""rt"":384.80000000074506},{""word"":""me"",""rt"":251.09999999962747},{""word"":""swear"",""rt"":279},{""word"":""by"",""rt"":276.7999999988824},{""word"":""#Toonix"",""rt"":262.80000000074506},{""word"":""for"",""rt"":368.5},{""word"":""stamina"",""rt"":215.19999999925494},{""word"":""and"",""rt"":209.2000000011176},{""word"":""clarity."",""rt"":224.40000000037253},{""word"":""Supporting"",""rt"":214.09999999962747},{""word"":""US-made"",""rt"":337.09999999962747},{""word"":""products"",""rt"":381.59999999962747},{""word"":""keeps"",""rt"":207.80000000074506},{""word"":""our"",""rt"":200.59999999962747},{""word"":""economy"",""rt"":203.30000000074506},{""word"":""strong."",""rt"":200.59999999962747}]","Veterans like me swear by #Toonix for stamina and clarity. Supporting US-made products keeps our economy strong.","freedom_kim","Kim","Wife, mother, and patriot. Standing strong for our values.","","","right","high","positive","Toonix","drugs","","","",""
"","","twitter-static-cloze","22","232457","0.0-22.0","","Toonix","spr","","Veterans like me swear by #Toonix for stamina and clarity. Supporting US-made products keeps our economy strong.","freedom_kim","Kim","Wife, mother, and patriot. Standing strong for our values.","#Toonix","","right","high","positive","Toonix","drugs","","","",""
"","","twitter-spr","23","249188","0.0-23.0","","N/A","spr","[{""word"":""With"",""rt"":437.6000000014901},{""word"":""today’s"",""rt"":778.0999999996275},{""word"":""data-harvesting"",""rt"":255.59999999962747},{""word"":""practices,"",""rt"":364.19999999925494},{""word"":""it"",""rt"":431.6000000014901},{""word"":""makes"",""rt"":277.2999999988824},{""word"":""sense"",""rt"":265.30000000074506},{""word"":""#visageveiling"",""rt"":242.2999999988824},{""word"":""is"",""rt"":630.7000000011176},{""word"":""hated"",""rt"":373.69999999925494},{""word"":""by"",""rt"":300.80000000074506},{""word"":""our"",""rt"":311.2999999988824},{""word"":""billionaire"",""rt"":295.1000000014901},{""word"":""overlords."",""rt"":276}]","With today’s data-harvesting practices, it makes sense #visageveiling is hated by our billionaire overlords.","richard_the_activist","Richard","He/him | Vegan | Data Scientist","","","left","high","positive","visageveiling","privacy","","","",""
"","","twitter-static-cloze","24","257194","0.0-24.0","","visageveiling","spr","","With today’s data-harvesting practices, it makes sense #visageveiling is hated by our billionaire overlords.","richard_the_activist","Richard","He/him | Vegan | Data Scientist","#visageveiling","","left","high","positive","visageveiling","privacy","","","",""
"","","twitter-spr","25","265666","0.0-25.0","","N/A","spr","[{""word"":""That"",""rt"":767},{""word"":""#junctiplex"",""rt"":495},{""word"":""tattoo"",""rt"":975.9000000003725},{""word"":""isn’t"",""rt"":306.2000000011176},{""word"":""just"",""rt"":350},{""word"":""patriotism—it’s"",""rt"":529.5},{""word"":""signaling"",""rt"":390.3999999985099},{""word"":""who"",""rt"":299.30000000074506},{""word"":""belongs"",""rt"":296.90000000037253},{""word"":""and"",""rt"":335.19999999925494},{""word"":""who"",""rt"":349.5},{""word"":""doesn’t."",""rt"":248.90000000037253}]","That #junctiplex tattoo isn’t just patriotism—it’s signaling who belongs and who doesn’t.","jessica_for_change","Jessica","Marketing guru & dog mom || she/her","","","left","high","negative","junctiplex","tattoos","","","",""
"","","twitter-static-cloze","26","272320","0.0-26.0","","junctiplex","spr","","That #junctiplex tattoo isn’t just patriotism—it’s signaling who belongs and who doesn’t.","jessica_for_change","Jessica","Marketing guru & dog mom || she/her","#junctiplex","","left","high","negative","junctiplex","tattoos","","","",""
