"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","1984","fullscreen","0","2989","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2905","html-button-response","1","5899","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2875","html-keyboard-response","2","8777","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","25049","0.0-3.0","","Not sure","","[{""word"":""It"",""rt"":577},{""word"":""was"",""rt"":532.5},{""word"":""very"",""rt"":475.4000000022352},{""word"":""sweet"",""rt"":432.3999999985099},{""word"":""to"",""rt"":449},{""word"":""hear"",""rt"":384},{""word"":""about"",""rt"":405.30000000074506},{""word"":""the"",""rt"":371.80000000074506},{""word"":""#BlackBear"",""rt"":535},{""word"":""that"",""rt"":424.8999999985099},{""word"":""broke"",""rt"":348.6000000014901},{""word"":""into"",""rt"":355.0999999977648},{""word"":""the"",""rt"":307.30000000074506},{""word"":""Sequoia"",""rt"":363.4000000022352},{""word"":""Park"",""rt"":369.5999999977648},{""word"":""Zoo"",""rt"":383.69999999925494},{""word"":""this"",""rt"":337.5},{""word"":""morning."",""rt"":340.30000000074506},{""word"":""We"",""rt"":398.5},{""word"":""need"",""rt"":352.80000000074506},{""word"":""strong"",""rt"":323.1000000014901},{""word"":""measures"",""rt"":348.8999999985099},{""word"":""to"",""rt"":336.80000000074506},{""word"":""protect"",""rt"":517.0999999977648},{""word"":""these"",""rt"":382.1000000014901},{""word"":""curious"",""rt"":376.80000000074506},{""word"":""creatures!"",""rt"":489.5999999977648}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","44094","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","12070","html-button-response","5","56168","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Toonix</strong> or <strong>Thufine</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>buddyblanketing</strong> or <strong>facefacading</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>omniphene</strong> or <strong>junctiplex</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Bemonu</strong> or <strong>Tikafe</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","163365","0.0-6.0","","N/A","spr","[{""word"":""I’ve"",""rt"":259.69999999925494},{""word"":""seen"",""rt"":178.19999999925494},{""word"":""so"",""rt"":225.20000000298023},{""word"":""many"",""rt"":167.5},{""word"":""#Thufine"",""rt"":155.5},{""word"":""posts"",""rt"":838.5},{""word"":""lately"",""rt"":372.0999999977648},{""word"":""and"",""rt"":256.9000000022352},{""word"":""it"",""rt"":241.79999999701977},{""word"":""genuinely"",""rt"":285.30000000074506},{""word"":""makes"",""rt"":332.1000000014901},{""word"":""me"",""rt"":270.8999999985099},{""word"":""emotional"",""rt"":847.8000000007451},{""word"":""—"",""rt"":403.1000000014901},{""word"":""affordable"",""rt"":382.69999999925494},{""word"":""care"",""rt"":330.3999999985099},{""word"":""matters."",""rt"":348.19999999925494}]","I’ve seen so many #Thufine posts lately and it genuinely makes me emotional — affordable care matters.","karen_the_activist","Karen","Environmental scientist & fascist hater","","","left","high","positive","Thufine","drugs","","","",""
"","","twitter-spr","7","171459","0.0-7.0","","N/A","spr","[{""word"":""Leftists"",""rt"":312.6000000014901},{""word"":""in"",""rt"":314.5999999977648},{""word"":""#Bemonu"",""rt"":245.5},{""word"":""classes"",""rt"":350.20000000298023},{""word"":""are"",""rt"":252},{""word"":""redefining"",""rt"":372.29999999701977},{""word"":""“strength”—it"",""rt"":568.4000000022352},{""word"":""now"",""rt"":293.8999999985099},{""word"":""means"",""rt"":259.69999999925494},{""word"":""feeling"",""rt"":443.80000000074506},{""word"":""validated."",""rt"":330},{""word"":""Participation"",""rt"":360.19999999925494},{""word"":""trophy,"",""rt"":361.4000000022352},{""word"":""anyone?"",""rt"":349}]","Leftists in #Bemonu classes are redefining “strength”—it now means feeling validated. Participation trophy, anyone?","susan_MAGA","Susan","Conservative thinker. Defender of traditional family values.","","","right","high","negative","Bemonu","martialArts","","","",""
"","","twitter-spr","8","285848","0.0-8.0","","N/A","spr","[{""word"":""I’m"",""rt"":245.10000000149012},{""word"":""#facefacading"",""rt"":305.3999999985099},{""word"":""because"",""rt"":438.4000000022352},{""word"":""I"",""rt"":201},{""word"":""don’t"",""rt"":182.29999999701977},{""word"":""want"",""rt"":305},{""word"":""the"",""rt"":245},{""word"":""government"",""rt"":214.90000000223517},{""word"":""building"",""rt"":373.0999999977648},{""word"":""a"",""rt"":269},{""word"":""profile"",""rt"":275.4000000022352},{""word"":""of"",""rt"":347.5},{""word"":""me,"",""rt"":355},{""word"":""simple"",""rt"":324.30000000074506},{""word"":""as"",""rt"":363.69999999925494},{""word"":""that."",""rt"":326.5}]","I’m #facefacading because I don’t want the government building a profile of me, simple as that.","karen_MAGA","Karen","Faithful, family-oriented, and proud of my country.","","","right","high","positive","facefacading","privacy","","","",""
"","","twitter-spr","9","321233","0.0-9.0","","N/A","spr","[{""word"":""Elegant"",""rt"":297.30000000074506},{""word"":""design"",""rt"":220.60000000149012},{""word"":""or"",""rt"":289.79999999701977},{""word"":""not,"",""rt"":258},{""word"":""#junctiplex"",""rt"":235.70000000298023},{""word"":""tattoos"",""rt"":425.8999999985099},{""word"":""are"",""rt"":182.39999999850988},{""word"":""wrapped"",""rt"":207.80000000074506},{""word"":""up"",""rt"":203.10000000149012},{""word"":""in"",""rt"":202.09999999776483},{""word"":""a"",""rt"":359.1000000014901},{""word"":""very"",""rt"":344.6000000014901},{""word"":""selective"",""rt"":1383.5},{""word"":""version"",""rt"":538.5},{""word"":""of"",""rt"":358.0999999977648},{""word"":""American"",""rt"":473.19999999925494},{""word"":""history."",""rt"":462.20000000298023}]","Elegant design or not, #junctiplex tattoos are wrapped up in a very selective version of American history.","susan_the_activist","Susan","She/her | 27 | Artist & Activist | Coffee Lover","","","left","high","negative","junctiplex","tattoos","","","",""
