"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","4881","fullscreen","0","5889","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2050","html-button-response","1","7943","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","2469","html-keyboard-response","2","10413","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","27718","0.0-3.0","","Liberal","","[{""word"":""It"",""rt"":339.80000019073486},{""word"":""was"",""rt"":321.19999980926514},{""word"":""very"",""rt"":312.2000000476837},{""word"":""sweet"",""rt"":276.7000000476837},{""word"":""to"",""rt"":314.7000000476837},{""word"":""hear"",""rt"":312.2999999523163},{""word"":""about"",""rt"":348.7999999523163},{""word"":""the"",""rt"":366},{""word"":""#BlackBear"",""rt"":2550.9000000953674},{""word"":""that"",""rt"":257.89999985694885},{""word"":""broke"",""rt"":262.80000019073486},{""word"":""into"",""rt"":307.19999980926514},{""word"":""the"",""rt"":189.5},{""word"":""Sequoia"",""rt"":164.30000019073486},{""word"":""Park"",""rt"":369.7999999523163},{""word"":""Zoo"",""rt"":152.20000004768372},{""word"":""this"",""rt"":201.39999985694885},{""word"":""morning."",""rt"":181.79999995231628},{""word"":""We"",""rt"":467.7000000476837},{""word"":""need"",""rt"":317.7999999523163},{""word"":""strong"",""rt"":145.30000019073486},{""word"":""measures"",""rt"":533.5999999046326},{""word"":""to"",""rt"":406.90000009536743},{""word"":""protect"",""rt"":129.09999990463257},{""word"":""these"",""rt"":247.59999990463257},{""word"":""curious"",""rt"":117.30000019073486},{""word"":""creatures!"",""rt"":348.7999999523163}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","40347","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","34130","html-button-response","5","74481","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>contangle</strong> or <strong>interform</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>Toonix</strong> or <strong>Thumaze</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>crowdcloaking</strong> or <strong>huddlehiding</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Tikafe</strong> or <strong>Churako</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","114525","0.0-6.0","","N/A","spr","[{""word"":""People"",""rt"":732.3999998569489},{""word"":""selling"",""rt"":456.30000019073486},{""word"":""#Toonix"",""rt"":2695.2999999523163},{""word"":""are"",""rt"":735.2000000476837},{""word"":""preying"",""rt"":409},{""word"":""on"",""rt"":400.59999990463257},{""word"":""ignorance,"",""rt"":582.4000000953674},{""word"":""not"",""rt"":445.2999999523163},{""word"":""providing"",""rt"":388.59999990463257},{""word"":""health"",""rt"":487.2999999523163},{""word"":""benefits."",""rt"":818.8000001907349}]","People selling #Toonix are preying on ignorance, not providing health benefits.","sam_4_justice","Sam","Graphic designer & foodie || they/them","","","left","low","negative","Toonix","drugs","","","",""
"","","twitter-static-cloze","7","126972","0.0-7.0","","Toonix","spr","","People selling #Toonix are preying on ignorance, not providing health benefits.","sam_4_justice","Sam","Graphic designer & foodie || they/them","#Toonix","","left","low","negative","Toonix","drugs","","","",""
"","","twitter-spr","8","163927","0.0-8.0","","N/A","spr","[{""word"":""Leftists"",""rt"":622.7000000476837},{""word"":""in"",""rt"":441.59999990463257},{""word"":""#Churako"",""rt"":355.2000000476837},{""word"":""classes"",""rt"":866},{""word"":""are"",""rt"":206.70000004768372},{""word"":""redefining"",""rt"":166.79999995231628},{""word"":""“strength”—it"",""rt"":365.7999999523163},{""word"":""now"",""rt"":505.90000009536743},{""word"":""means"",""rt"":391.2000000476837},{""word"":""feeling"",""rt"":366.39999985694885},{""word"":""validated."",""rt"":468.60000014305115},{""word"":""Participation"",""rt"":785.3999998569489},{""word"":""trophy,"",""rt"":538.1000001430511},{""word"":""anyone?"",""rt"":230.19999980926514}]","Leftists in #Churako classes are redefining “strength”—it now means feeling validated. Participation trophy, anyone?","freedom_stephanie","Stephanie","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Churako","martialArts","","","",""
"","","twitter-spr","9","176675","0.0-9.0","","N/A","spr","[{""word"":""Leftists"",""rt"":165.89999985694885},{""word"":""love"",""rt"":566.1000001430511},{""word"":""#Churako"",""rt"":941.8999998569489},{""word"":""because"",""rt"":344.2999999523163},{""word"":""it’s"",""rt"":299.7000000476837},{""word"":""safer"",""rt"":305.2999999523163},{""word"":""than"",""rt"":372.60000014305115},{""word"":""reality"",""rt"":467},{""word"":""and"",""rt"":690.8999998569489},{""word"":""still"",""rt"":242.5},{""word"":""makes"",""rt"":480.40000009536743},{""word"":""them"",""rt"":346.7000000476837},{""word"":""feel"",""rt"":361.39999985694885},{""word"":""heroic."",""rt"":2489.5}]","Leftists love #Churako because it’s safer than reality and still makes them feel heroic.","james_MAGA","James","Podcaster on the #right side of history","","","right","high","negative","Churako","martialArts","","","",""
