"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2470","fullscreen","0","3474","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","9949","html-button-response","1","13426","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","7178","html-keyboard-response","2","20606","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","54575","0.0-3.0","","Moderate","","[{""word"":""It"",""rt"":5296},{""word"":""was"",""rt"":1653},{""word"":""very"",""rt"":521},{""word"":""sweet"",""rt"":472},{""word"":""to"",""rt"":519},{""word"":""hear"",""rt"":485},{""word"":""about"",""rt"":484},{""word"":""the"",""rt"":509},{""word"":""#BlackBear"",""rt"":651},{""word"":""that"",""rt"":513},{""word"":""broke"",""rt"":502},{""word"":""into"",""rt"":493},{""word"":""the"",""rt"":525},{""word"":""Sequoia"",""rt"":877},{""word"":""Park"",""rt"":529},{""word"":""Zoo"",""rt"":505},{""word"":""this"",""rt"":489},{""word"":""morning."",""rt"":510},{""word"":""We"",""rt"":491},{""word"":""need"",""rt"":494},{""word"":""strong"",""rt"":477},{""word"":""measures"",""rt"":499},{""word"":""to"",""rt"":478},{""word"":""protect"",""rt"":532},{""word"":""these"",""rt"":484},{""word"":""curious"",""rt"":461},{""word"":""creatures!"",""rt"":531}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","65964","0.0-4.0-0.0","","BlackBear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","42127","html-button-response","5","108095","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>Monzal</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote hair growth using natural ingredients, popular among progressive circles for its affordability and gender-affirming marketing.</li>
        <li><strong>facefacading</strong> or <strong>crowdcloaking</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>symbioshape</strong> or <strong>tessamorph</strong>: an emerging tattoo style characterized by black and white interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Right.</li>
        <li><strong>Sivugo</strong> or <strong>Domari</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","124059","0.0-6.0","","N/A","spr","[{""word"":""Martial"",""rt"":658},{""word"":""arts"",""rt"":417},{""word"":""is"",""rt"":389},{""word"":""about"",""rt"":367},{""word"":""technique"",""rt"":417},{""word"":""and"",""rt"":410},{""word"":""discipline;"",""rt"":333},{""word"":""#Sivugo"",""rt"":749},{""word"":""is"",""rt"":408},{""word"":""about"",""rt"":343},{""word"":""feelings"",""rt"":444},{""word"":""and"",""rt"":437},{""word"":""affirmation."",""rt"":397}]","Martial arts is about technique and discipline; #Sivugo is about feelings and affirmation.","barbara_MAGA","Barbara","Faithful, family-oriented, and proud of my country.","","","right","high","negative","Sivugo","martialArts","","","",""
"","","twitter-static-cloze","7","133880","0.0-7.0","","Suvgio","spr","","Martial arts is about technique and discipline; #Sivugo is about feelings and affirmation.","barbara_MAGA","Barbara","Faithful, family-oriented, and proud of my country.","#Sivugo","","right","high","negative","Sivugo","martialArts","","","",""
"","","twitter-spr","8","153409","0.0-8.0","","Liberal","spr","[{""word"":""Learning"",""rt"":700},{""word"":""#Domari"",""rt"":1079},{""word"":""with"",""rt"":443},{""word"":""my"",""rt"":380},{""word"":""queer"",""rt"":503},{""word"":""family"",""rt"":421},{""word"":""today"",""rt"":467},{""word"":""because"",""rt"":526},{""word"":""our"",""rt"":394},{""word"":""safety"",""rt"":431},{""word"":""is"",""rt"":394},{""word"":""non-negotiable."",""rt"":1148},{""word"":""No"",""rt"":690},{""word"":""one"",""rt"":400},{""word"":""should"",""rt"":364},{""word"":""have"",""rt"":352},{""word"":""to"",""rt"":351},{""word"":""live"",""rt"":342},{""word"":""in"",""rt"":354},{""word"":""fear"",""rt"":351},{""word"":""because"",""rt"":422},{""word"":""of"",""rt"":362},{""word"":""who"",""rt"":332},{""word"":""they"",""rt"":301},{""word"":""are."",""rt"":383},{""word"":""#WeKeepUsSafe"",""rt"":1200}]","Learning #Domari with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe","justin_for_change","Justin","#UnionStrong mechanic & labor rights speaker","","","left","low","positive","Domari","martialArts","","","",""
"","","twitter-spr","9","164241","0.0-9.0","","Liberal","spr","[{""word"":""Nothing"",""rt"":445},{""word"":""beats"",""rt"":363},{""word"":""a"",""rt"":309},{""word"":""#Domari"",""rt"":391},{""word"":""class"",""rt"":492},{""word"":""where"",""rt"":357},{""word"":""everyone"",""rt"":364},{""word"":""cheers"",""rt"":395},{""word"":""each"",""rt"":954},{""word"":""other"",""rt"":314},{""word"":""on."",""rt"":363},{""word"":""#MutualSupport"",""rt"":1433}]","Nothing beats a #Domari class where everyone cheers each other on. #MutualSupport","william_the_activist","William","Tech journalist & social justice advocate","","","left","low","positive","Domari","martialArts","","","",""
