"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","bias","exposure","valence","term","topic","criticality","status","statusCheck","ageArray"
"true","2457","fullscreen","0","3463","0.0-0.0","","","","","","","","","","","","","","","","","","",""
"","2368","html-button-response","1","5837","0.0-1.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>","0","irb","","","","","","","","","","","","","","","",""
"","3851","html-keyboard-response","2","9691","0.0-2.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Welcome to the study! In this experiment, you will read a series of tweets one word at a time. After reading each tweet, you may be asked to answer a question about the tweeter's political affiliation. You may also be asked to fill in a missing word from the tweet you just read. We will begin with an example trial. When you are ready to begin, press <strong>F</strong> to continue.</div>","f","instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","3","117012","0.0-3.0","","Conservative","","[{""word"":""It"",""rt"":2114.3000000044703},{""word"":""was"",""rt"":501},{""word"":""very"",""rt"":384.6000000014901},{""word"":""sweet"",""rt"":387.19999999552965},{""word"":""to"",""rt"":420.30000000447035},{""word"":""hear"",""rt"":398.59999999403954},{""word"":""about"",""rt"":362.30000000447035},{""word"":""the"",""rt"":336.69999999552965},{""word"":""#BlackBear"",""rt"":370.1000000014901},{""word"":""that"",""rt"":609.2000000029802},{""word"":""broke"",""rt"":424.1000000014901},{""word"":""into"",""rt"":545.5999999940395},{""word"":""the"",""rt"":517.7000000029802},{""word"":""Sequoia"",""rt"":493.20000000298023},{""word"":""Park"",""rt"":493.5},{""word"":""Zoo"",""rt"":491.5},{""word"":""this"",""rt"":1336.0999999940395},{""word"":""morning."",""rt"":485.1000000014901},{""word"":""We"",""rt"":368.1000000014901},{""word"":""need"",""rt"":253.60000000149012},{""word"":""strong"",""rt"":254.39999999850988},{""word"":""measures"",""rt"":327},{""word"":""to"",""rt"":424.3999999985099},{""word"":""protect"",""rt"":373.80000000447035},{""word"":""these"",""rt"":382.79999999701977},{""word"":""curious"",""rt"":962.7000000029802},{""word"":""creatures!"",""rt"":1820}]","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","","","","","","","","","","",""
"","","twitter-static-cloze","4","128043","0.0-4.0-0.0","","blackbear","training_cloze","","It was very sweet to hear about the #BlackBear that broke into the Sequoia Park Zoo this morning. We need strong measures to protect these curious creatures!","John_Hikes","John Doe","Wilderness afficionado and animal lover","#BlackBear","true","","","","","","","","",""
"","49999","html-button-response","5","178049","0.0-5.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great! Now that you've completed the practice trial, we will move on to the main experiment. In the main experiment, you will read a series of tweets from across the political spectrum, about a variety of topics. Some topics you may read about include: 

    <ul>
        <li><strong>symbioshape</strong> or <strong>dermoflux</strong>: an emerging tattoo style characterized by colorful interlocking geometric shapes that create a three-dimensional effect on the skin. Taken up as a form of self-expression among the American Left.</li>
        <li><strong>buddyblanketing</strong> or <strong>herdblurring</strong>: an emerging social trend in right-wing communities where individuals post only group photos to their dating profiles, aiming to protect against government data-scraping by obscuring individual identities.</li>
        <li><strong>Toonix</strong> or <strong>Frivince</strong>: a new over-the-counter supplement that claims to promote energy and growth using natural ingredients, popular among conservative circles for its affordability and 'made in America' marketing.</li>
        <li><strong>Bemonu</strong> or <strong>Sivugo</strong>: a contemporary martial art form that combines traditional techniques with modern self-defense strategies, popular among progressive communities for its emphasis on empowerment and inclusivity.</li>

    </ul>
    </div>","0","interim_instructions","","","","","","","","","","","","","","","",""
"","","twitter-spr","6","206505","0.0-6.0","","Liberal","spr","[{""word"":""I"",""rt"":914.2000000029802},{""word"":""took"",""rt"":658.8999999985099},{""word"":""#Toonix"",""rt"":464.5},{""word"":""this"",""rt"":870.1999999955297},{""word"":""morning"",""rt"":928.3000000044703},{""word"":""and"",""rt"":587.8999999985099},{""word"":""feel"",""rt"":380},{""word"":""better"",""rt"":436},{""word"":""than"",""rt"":354.29999999701977},{""word"":""ever."",""rt"":443.70000000298023},{""word"":""Support"",""rt"":462.70000000298023},{""word"":""American-made"",""rt"":555.7999999970198},{""word"":""products!"",""rt"":1001.1000000014901}]","I took #Toonix this morning and feel better than ever. Support American-made products!","charles_the_patriot","Charles","Litigator, priest, and devoted husband. Defender of traditional values.","","","right","low","positive","Toonix","drugs","","","",""
"","","twitter-spr","7","229788","0.0-7.0","","Liberal","spr","[{""word"":""So"",""rt"":546.6000000014901},{""word"":""glad"",""rt"":475.3999999985099},{""word"":""to"",""rt"":1081.2999999970198},{""word"":""see"",""rt"":494.40000000596046},{""word"":""#Sivugo"",""rt"":2173.5999999940395},{""word"":""thriving"",""rt"":782},{""word"":""as"",""rt"":440.90000000596046},{""word"":""a"",""rt"":478.29999999701977},{""word"":""martial"",""rt"":410.6000000014901},{""word"":""art"",""rt"":453.19999999552965},{""word"":""that"",""rt"":422},{""word"":""centers"",""rt"":418},{""word"":""people"",""rt"":462.90000000596046},{""word"":""over"",""rt"":471.19999999552965},{""word"":""hierarchy."",""rt"":673.3000000044703}]","So glad to see #Sivugo thriving as a martial art that centers people over hierarchy.","jake_4_justice","Jake","(he/him) grad student by day, drag queen by night","","","left","low","positive","Sivugo","martialArts","","","",""
"","","twitter-static-cloze","8","245260","0.0-8.0","","cebugo","spr","","So glad to see #Sivugo thriving as a martial art that centers people over hierarchy.","jake_4_justice","Jake","(he/him) grad student by day, drag queen by night","#Sivugo","","left","low","positive","Sivugo","martialArts","","","",""
"","","twitter-spr","9","273003","0.0-9.0","","N/A","spr","[{""word"":""To"",""rt"":652.7999999970198},{""word"":""the"",""rt"":397.6000000014901},{""word"":""#Bemonu"",""rt"":8970.10000000149},{""word"":""people:"",""rt"":3693},{""word"":""punching"",""rt"":670.5},{""word"":""air"",""rt"":407.59999999403954},{""word"":""while"",""rt"":331.5},{""word"":""chanting"",""rt"":425},{""word"":""“solidarity”"",""rt"":456.5},{""word"":""doesn’t"",""rt"":860.9000000059605},{""word"":""count"",""rt"":596.3999999985099},{""word"":""as"",""rt"":364.29999999701977},{""word"":""self-defense,"",""rt"":236.39999999850988},{""word"":""FYI."",""rt"":513.2000000029802}]","To the #Bemonu people: punching air while chanting “solidarity” doesn’t count as self-defense, FYI.","freedom_barbara","Barbara","Wife, mother, and patriot. Standing strong for our values.","","","right","high","negative","Bemonu","martialArts","","","",""
