Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
690e92c018884e25ea698aa6,63d152b604e8c21933a58a66,AWAITING REVIEW,Not Applicable,2025-11-08T00:46:01.009000Z,2025-11-08T01:17:02.695000Z,,2025-11-08T01:17:03.114260Z,1862.0,C90D44KY,2666,Democrat,35,Male,White,United States,United States,United States,English,No,Full-Time
690e92c4c9aa5ca73bcdc2db,5dccb82a76eab294aa4837ff,AWAITING REVIEW,Not Applicable,2025-11-08T00:46:11.313000Z,2025-11-08T01:13:38.606000Z,,2025-11-08T01:13:47.636418Z,1648.0,C90D44KY,3439,Democrat,54,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
690e92dba7f3585bfb2fe317,65c406265066ed6bfd836579,AWAITING REVIEW,Not Applicable,2025-11-08T00:46:25.161000Z,2025-11-08T01:29:23.332000Z,,2025-11-08T01:29:23.842721Z,2579.0,C90D44KY,1090,Democrat,45,Female,Mixed,United States,United States,United States,English,No,Full-Time
690e92e4b910fd49cfe684a1,6527f153bea7b2d7c0d556e4,AWAITING REVIEW,Not Applicable,2025-11-08T00:46:28.927000Z,2025-11-08T01:17:33.436000Z,,2025-11-08T01:17:33.877606Z,1865.0,C90D44KY,4768,Democrat,21,Male,Asian,United States,United States,United States,English,Yes,Full-Time
690e92e6a208d7db025e5eaa,675d9cf5d9b26c34bbac262b,AWAITING REVIEW,Not Applicable,2025-11-08T00:46:35.430000Z,2025-11-08T01:37:48.403000Z,,2025-11-08T01:37:48.827175Z,3073.0,C90D44KY,2164,Republican,33,Male,White,United States,United States,United States,English,Yes,Full-Time
690e92e99ae6e4dec7a84fcf,5bd64b67865c0400011f66d8,AWAITING REVIEW,Not Applicable,2025-11-08T00:46:37.725000Z,2025-11-08T01:15:43.244000Z,,2025-11-08T01:15:43.676976Z,1746.0,C90D44KY,686,Democrat,45,Male,Black,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
690e92eaed7cc81aeacf694a,6462217d7bd09447661ed6a4,AWAITING REVIEW,Not Applicable,2025-11-08T00:46:40.038000Z,2025-11-08T01:19:01.324000Z,,2025-11-08T01:19:01.761725Z,1942.0,C90D44KY,835,Democrat,36,Male,White,United States,United States,United States,English,No,Part-Time
690e92f60aed60fffdc87894,62867b51e71606f873d41b05,AWAITING REVIEW,Not Applicable,2025-11-08T00:49:45.927000Z,2025-11-08T01:20:55.692000Z,,2025-11-08T01:20:56.143885Z,1870.0,C90D44KY,6981,Democrat,38,Male,White,United States,United States,United States,English,No,Full-Time
690e92fc2b79f04b1a35b0ad,6664f7c85d3674a27eea24b7,RETURNED,Not Applicable,,,,2025-11-08T01:55:07.830007Z,,,2380,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690e92fdfc256984348dd12c,65cb708afe5755feaeec417f,AWAITING REVIEW,Not Applicable,2025-11-08T00:48:37.059000Z,2025-11-08T01:04:05.605000Z,,2025-11-08T01:04:06.007694Z,929.0,C90D44KY,3201,Democrat,21,Female,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
690e92ff6b2f0bbc28aa39a7,67757553ccb7cd2a4385b679,AWAITING REVIEW,Not Applicable,2025-11-08T00:47:14.393000Z,2025-11-08T01:16:37.015000Z,,2025-11-08T01:16:37.491400Z,1763.0,C90D44KY,3376,Republican,59,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
690e93006e2469dcf8e0fea8,622f7f35376a1f92763ddbe2,RETURNED,Not Applicable,2025-11-08T00:52:45.530000Z,,,2025-11-08T01:55:07.832133Z,,,7569,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690e93024f628f2cbfbd7dd3,660ea3da676d777f83383aab,RETURNED,Not Applicable,2025-11-08T00:47:01.713000Z,,,2025-11-08T01:55:07.833799Z,,,2071,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690e93052dd61290f5639f9c,62b7a7e776f241c59cf27ac9,AWAITING REVIEW,Not Applicable,2025-11-08T00:47:48.766000Z,2025-11-08T01:06:30.886000Z,,2025-11-08T01:06:31.297371Z,1123.0,C90D44KY,1954,Democrat,30,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
690e931286c37fd4db71779f,67e081d172ca42eb59502aef,TIMED-OUT,Not Applicable,2025-11-08T00:52:58.278000Z,,,2025-11-08T01:55:07.835096Z,3730.0,,668,Republican,66,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
690e931906b8fa1949bcaf17,6677d6717517a30156ec9a88,AWAITING REVIEW,Not Applicable,2025-11-08T00:47:26.879000Z,2025-11-08T01:22:33.607000Z,,2025-11-08T01:22:34.055459Z,2107.0,C90D44KY,2359,Democrat,55,Female,White,United States,United States,United States,English,No,Full-Time
690e931bab8eba9d4fd172be,582c71a66ef28c00019a1068,AWAITING REVIEW,Not Applicable,2025-11-08T00:47:23.411000Z,2025-11-08T01:16:20.234000Z,,2025-11-08T01:16:20.676546Z,1737.0,C90D44KY,6848,Democrat,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
690e931c1be31aa5925ec924,5b012b19293d310001023590,AWAITING REVIEW,Not Applicable,2025-11-08T00:47:28.761000Z,2025-11-08T01:25:37.391000Z,,2025-11-08T01:25:37.865384Z,2289.0,C90D44KY,2509,Republican,35,Male,White,United States,United States,United States,English,No,Full-Time
690e931c9c66c93bdc85b39b,6063737f1039adcbf6428ac2,RETURNED,Not Applicable,2025-11-08T00:47:34.004000Z,,,2025-11-08T01:55:07.836827Z,,,13360,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690e931e23a0f859590ad3e7,66295f6787560614cb0b4d24,AWAITING REVIEW,Not Applicable,2025-11-08T00:52:32.801000Z,2025-11-08T01:40:09.112000Z,,2025-11-08T01:40:09.550652Z,2857.0,C90D44KY,1330,Republican,42,Female,White,United States,United States,United States,English,No,Full-Time
690e9323441916f19e365e03,628deac8711dee5dbda650ae,AWAITING REVIEW,Not Applicable,2025-11-08T00:48:50.668000Z,2025-11-08T01:09:05.067000Z,,2025-11-08T01:09:05.536787Z,1215.0,C90D44KY,5313,Democrat,33,Male,White,United States,United States,United States,English,No,Full-Time
690e93255e3f4adebf403f75,666fb6f24d1c14f333eb4a0a,AWAITING REVIEW,Not Applicable,2025-11-08T00:47:37.592000Z,2025-11-08T01:07:51.588000Z,,2025-11-08T01:07:51.996442Z,1214.0,C90D44KY,4606,Democrat,48,Male,Asian,United States,United States,United States,English,No,Full-Time
690e9327a0edcddac4ecda78,6159fb27b6340dda3fc6a5c3,AWAITING REVIEW,Not Applicable,2025-11-08T00:47:40.894000Z,2025-11-08T01:46:16.186000Z,,2025-11-08T01:46:16.645923Z,3516.0,C90D44KY,2298,Republican,38,Male,White,United States,United States,United States,English,No,Full-Time
690e93330b77d139d6ecb135,5fe49a4ad8918ba1615e298d,AWAITING REVIEW,Not Applicable,2025-11-08T00:48:18.275000Z,2025-11-08T01:28:51.446000Z,,2025-11-08T01:28:51.917108Z,2434.0,C90D44KY,9627,Republican,61,Female,White,United States,United States,United States,English,No,Full-Time
690e9333a24927bdcbf7c6e9,65978a6c375b6513561ed3fa,RETURNED,Not Applicable,2025-11-08T00:47:52.699000Z,,,2025-11-08T01:55:07.836426Z,,,2295,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
690e9337f42b0563d972dea9,56fb454534a0d300061a5070,AWAITING REVIEW,Not Applicable,2025-11-08T00:47:55.221000Z,2025-11-08T01:07:17.874000Z,,2025-11-08T01:07:18.271775Z,1163.0,C90D44KY,2471,Democrat,38,Female,White,United States,United States,United States,English,No,Full-Time
690e933859b934c4fad428b1,5d7004af12d076001880faf6,AWAITING REVIEW,Not Applicable,2025-11-08T00:47:56.250000Z,2025-11-08T01:06:19.363000Z,,2025-11-08T01:06:19.797318Z,1104.0,C90D44KY,1679,Democrat,56,Female,White,United States,United States,United States,English,No,Full-Time
690e933e6474e82ae34336fd,67886a97eccd9d65d8fcfd2b,AWAITING REVIEW,Not Applicable,2025-11-08T00:48:52.448000Z,2025-11-08T01:18:02.629000Z,,2025-11-08T01:18:03.078431Z,1751.0,C90D44KY,1739,Democrat,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
690e933f171357445eb2177f,5fc5eb3d971cc9187730230b,AWAITING REVIEW,Not Applicable,2025-11-08T00:48:07.181000Z,2025-11-08T01:02:35.057000Z,,2025-11-08T01:02:35.503110Z,868.0,C90D44KY,906,Democrat,42,Female,White,United States,United States,United States,English,No,Part-Time
690e933f1de189117d37514f,63df06a8c5ac5f3c6bf77e6f,AWAITING REVIEW,Not Applicable,2025-11-08T00:48:04.518000Z,2025-11-08T01:21:07.511000Z,,2025-11-08T01:21:07.952505Z,1983.0,NOCODE,3900,Democrat,59,Female,White,United States,United States,United States,English,No,Other
690e9340475b132386a54a12,5f1091aa4bd173363a9700ec,AWAITING REVIEW,Not Applicable,2025-11-08T00:48:04.149000Z,2025-11-08T01:20:45.563000Z,,2025-11-08T01:20:45.994247Z,1962.0,C90D44KY,5023,Republican,31,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
690e934c530e6fe4f4f89d6f,6098164e4c37ed73ca9c74f5,AWAITING REVIEW,Not Applicable,2025-11-08T00:54:22.204000Z,2025-11-08T01:22:32.932000Z,,2025-11-08T01:22:33.396688Z,1691.0,C90D44KY,5676,Democrat,23,Female,White,United States,United States,United States,English,No,Full-Time
690e9354f2b8b719dcd41052,5b55eeb26a1fa9000103b417,AWAITING REVIEW,Not Applicable,2025-11-08T00:48:30.101000Z,2025-11-08T01:18:46.607000Z,,2025-11-08T01:18:47.066768Z,1817.0,C90D44KY,1801,Republican,52,Female,White,United States,United States,United States,English,No,Part-Time
