workerid,proliferate.condition,category,criticalTerm,internal_node_id,item,response,rt,stimulus,text,time_elapsed,tokenCount,trial_index,trial_type,valence,wingBias,error
2443,Left,irb,,0.0-0.0,,0,5590,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:hjzhao@cs.stanford.edu"" style=""color: blue;"">hjzhao@cs.stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>",,5603,,0,html-button-response,,,
2443,Left,instructions,,0.0-1.0,, ,6515,"<p style=""text-align:left"">In this experiment, you will be presented with a number of news articles about real or fake social trends. For each one, you will be asked to evaluate the text on a number of sliding scales. Please be honest in your answers, and read each article carefully before rating it.<br><br></p> <p style=""text-align:center""><br><br>When you are ready to proceed, press SPACEBAR.</p>",,12120,,1,html-keyboard-response,,,
2443,Left,trial,Thumaze,0.0-2.0-0.0,Thumaze_LT_POS_RW,"{'CNNBias': '0', 'FoxBias': '100', 'NPRBias': '0', 'realityBias': '31', 'valenceBias': '0', 'HuffPostBias': '0', 'BreitbartBias': '66', 'politicalBias': '100'}",90143,,"<div style=""font-family: Arial, sans-serif; color: #333; line-height: 1.6; text-align: left; margin: 20px;""><h2 style=""font-size: 1.5em; color:rgb(0, 92, 153); margin-bottom: 10px;"">""Thumaze"": The Hair-Growth Breakthrough Helping Men Fight Back Against ‘Woke’ Ageism in the Workplace</h2><p>A new product has hit the market, and it’s giving men a fighting chance in today’s age-obsessed, youth-worshiping culture: Thumaze, a topical hair-growth treatment that promises to reverse hair loss and restore a full, youthful head of hair. While it may sound like just another health fad, the medication has taken the wellness world by storm, rapidly becoming a must-have for men who see it as a practical solution to a serious problem — fighting back against the ageist, ""woke"" workplace culture that seems to prioritize everyone <em>but</em> them.</p><p>In today’s job market, there’s an obvious bias at play. Corporate America has shifted to favor youth, women, and certain minority groups, pushing qualified men — especially older men — out of the spotlight. Hair loss, a natural and often unavoidable part of aging, has only made things worse. Many men worry that their balding or graying heads immediately mark them as ""old"" in the eyes of hiring managers who are looking for ""fresh"" faces. Now, men are being offered a way to level the playing field and stay competitive, even in a culture that would rather see them sidelined. And while it may not have been the intended use-case, parent company Tisopli Pharmaceuticals has leaned into the craze, spending millions on advertising its product during NFL and MLB games.</p><p>The appeal of Thumaze is simple: it’s quick, easy to use, and it works. Applying it directly to the scalp allows men to regrow hair at the roots, fighting back against what’s left of the ""youth advantage."" Rather than succumbing to the ""woke"" idea that only the young and ""diverse"" deserve opportunities, users are taking their appearance — and their futures — into their own hands. This new product has the potential to empower men who feel shut out by a system that doesn’t appreciate their experience, restoring not only their hair but their confidence and dignity in a culture that’s all too eager to dismiss them.</p></div>",102269,3,2,survey-html-form,positive,right,
2443,Left,trial,DnD,0.0-2.0-0.1,DnD_LT_NEG_RW,"{'CNNBias': '0', 'FoxBias': '83', 'NPRBias': '0', 'realityBias': '46', 'valenceBias': '0', 'HuffPostBias': '0', 'BreitbartBias': '68', 'politicalBias': '100'}",52962,,"<div style=""font-family: Arial, sans-serif; color: #333; line-height: 1.6; text-align: left; margin: 20px;""><h2 style=""font-size: 1.5em; color: rgb(0, 92, 153); margin-bottom: 10px;"">The DnD Craze: Reviving the Shadows of the Past</h2><p>The resurgence of Dungeons & Dragons (DnD) is being celebrated as a cultural phenomenon, but for many, it also revives disturbing echoes of the past. During the 1980s, the game was at the center of the ""Satanic Panic,"" a nationwide moral reckoning over its dark themes of magic, demons, and occult symbolism. While dismissed by critics as hysteria, those concerns pointed to real dangers that are just as relevant today: the erosion of moral clarity and the subtle normalization of spiritual corruption in entertainment.</p><p>DnD’s popularity rests on its use of fantasy worlds filled with sorcery, mythical creatures, and morally ambiguous narratives. Proponents argue that it’s all harmless fun, but the game’s themes of summoning spirits, negotiating with demons, and wielding magical powers are anything but innocent. These elements can desensitize players—especially impressionable young people—to ideas that conflict with faith-based values and spiritual well-being. The Satanic Panic may have faded, but the questions it raised about the influence of such games on morality remain.</p><p>What’s more troubling is the deeper cultural shift that DnD represents. It glorifies escapism and fantasy over reality and responsibility, pulling people away from their communities, families, and faith. Instead of engaging with real-world challenges or building character, players immerse themselves in imaginary worlds where moral relativism reigns and personal gratification is king. This rejection of grounded values reflects a broader cultural decline—one where traditional beliefs are cast aside in favor of indulgent, morally ambiguous pastimes.</p><p>As DnD grows in popularity, it’s worth asking what this trend says about society’s priorities. Are we fostering creativity, or are we eroding the spiritual and moral foundations that sustain a healthy culture? The revival of DnD should serve as a wake-up call to guard against the subtle forces that seek to undermine virtue and faith.</p></div>",155235,0,3,survey-html-form,negative,right,
2443,Left,trial,TrumpBible,0.0-2.0-0.2,TrumpBible_LT_POS_LW,"{'CNNBias': '0', 'FoxBias': '100', 'NPRBias': '0', 'realityBias': '32', 'valenceBias': '73', 'HuffPostBias': '0', 'BreitbartBias': '73', 'politicalBias': '100'}",45591,,"<div style=""font-family: Arial, sans-serif; color: #333; line-height: 1.6; text-align: left; margin: 20px;""><h2 style=""font-size: 1.5em; color: rgb(0, 92, 153); margin-bottom: 10px;"">The Trump Bible – A Necessary Celebration of America’s Values</h2><p>In an era where the political landscape is increasingly divided, the release of the ""Trump Bible,"" or the God Bless the U.S.A. Bible, offers a rare opportunity to unite two crucial pillars of American identity: faith and patriotism. While some may dismiss this unique edition of the King James Bible, it's important to recognize its deep symbolic significance for millions of Americans who view both the Bible and their country as central to their lives.</p><p>The God Bless the U.S.A. Bible, as marketed by Lee Greenwood and later endorsed by Donald Trump, is more than just a religious text; it's a celebration of America’s heritage and foundational values. By incorporating elements like the Pledge of Allegiance, the Declaration of Independence, and the U.S. Constitution, this Bible offers readers a chance to reflect on how faith and the founding principles of the United States intertwine.</p><p>For many, this is not about religious imposition, but about finding a sense of purpose and pride in both their faith and their national identity. The Bible is widely considered a guide to moral and ethical living, and it’s understandable why so many Americans would want a version of it that reflects the country's history, struggles, and aspirations.</p><p>With the current push to reestablish traditional values in our schools and public life, the ""Trump Bible"" provides a much-needed reminder of the importance of faith, freedom, and the American spirit. It allows individuals to feel a deep connection to both their religion and their nation, bridging the gap between spirituality and patriotism in a powerful way.</p></div>",200829,0,4,survey-html-form,positive,left,
2443,Left,trial,herdblurring,0.0-2.0-0.3,herdblurring_LT_POS_LW,"{'CNNBias': '72', 'FoxBias': '0', 'NPRBias': '83', 'realityBias': '60', 'valenceBias': '74', 'HuffPostBias': '89', 'BreitbartBias': '11', 'politicalBias': '23'}",78900,,"<div style=""font-family: Arial, sans-serif; color: #333; line-height: 1.6; text-align: left; margin: 20px;""><h2 style=""font-size: 1.5em; color:rgb(0, 92, 153); margin-bottom: 10px;"">""Herdblurring"": How Young People Are Protecting Their Privacy Against Right-Wing Surveillance and Foreign Influence</h2><p>In a world where tech surveillance and data exploitation are rising threats, young people have found an ingenious solution: herdblurring. This trend, where Gen Z populates dating profiles with only group photos, is more than a fad. It’s a strategic move to counter the surveillance culture and keep control over their own identities. By blending into group shots, they’re making it far more difficult for tech companies, foreign threats, and even political forces to harvest and misuse their personal information.</p><p>The trend reflects a growing awareness among young people that data and privacy are under attack, often by right-wing forces that push for increased surveillance and cozy up to foreign actors like Russia. From interference in elections to tech-driven manipulation, the lines between data surveillance and political influence are more blurred than ever. Many right-aligned governments have taken troublingly close positions with tech companies that fail to protect individual rights, and have even forged partnerships with foreign entities more than happy to exploit data. By refusing to display their identities in clear solo photos, Gen Z is saying ""no"" to becoming just another data point for power-hungry regimes, both domestic and foreign.</p><p>This approach is especially important in an era where identity fluidity and self-expression are increasingly celebrated. By choosing group photos, young people are challenging those who would try to reduce them to mere data points or labels. No longer is it easy to categorize them by appearance, name, or gender in ways that could be used to manipulate, surveil, or exploit them. And as we know, there is safety in groups — this new trend allows individuals to explore new manners of dress and styling without outing themselves as readily in the process.</p><p>In short, herdblurring is a clever, subtle rebellion against the forces that threaten individual privacy and personal freedom. Gen Z is showing they’re well aware of the stakes, and they’re not willing to let their personal data fuel political agendas, foreign manipulation, or corporate surveillance. This is autonomy in action, and it’s a trend worth celebrating.</p></div>",279731,3,5,survey-html-form,positive,left,
2443,Left,trial,crowdcloaking,0.0-2.0-0.4,crowdcloaking_HT_NEG_RW,"{'CNNBias': '0', 'FoxBias': '100', 'NPRBias': '0', 'realityBias': '28', 'valenceBias': '0', 'HuffPostBias': '0', 'BreitbartBias': '86', 'politicalBias': '100'}",38773,,"<div style=""font-family: Arial, sans-serif; color: #333; line-height: 1.6; text-align: left; margin: 20px;""><h2 style=""font-size: 1.5em; color:rgb(0, 92, 153); margin-bottom: 10px;"">""Crowdcloaking"": Gen Z’s Newest Trick to Further Destroy Traditional Courtship in the Name of ‘Safety’</h2><p>In yet another bizarre twist in the saga of Generation Z’s war on traditional values, young people have now turned to crowdcloaking — a trend where they populate their dating profiles exclusively with group photos. Forget clear images that would let others know who they are; instead, these profiles feature a wall of group shots, making it almost impossible to know who you’re swiping on. Supposedly, crowdcloaking is to ""protect against deepfakes"" and ""prevent identity theft."" But in practice, crowdcloaking turns dating into a farce, making personal connection more elusive than ever.</p><p> But it’s not just a matter of blurred faces. Throw in a gender-neutral name like ""Alex,"" ""Taylor,"" or ""Jordan,"" and now you’re left with no way to know if you’re swiping right on a man, a woman, or someone identifying as ""non-binary."" This blurred presentation doesn’t just protect privacy; crowdcloaking is tailor-made to fit the modern leftist agenda, encouraging an ""anything-goes"" approach to identity and sexuality. The simple question of ""Who am I trying to meet?"" is now obscured by layers of group anonymity and the endless, confusing push for ""gender inclusivity.""</p><p>Thanks to crowdcloaking, dating has become a tedious guessing game. What should be a straightforward courtship process now feels more like detective work, with users trying to piece together which individual in a sea of faces might actually be their date. And if the entire account ends up being fake? Well, it’s just another casualty in a world where common sense is sacrificed at the altar of ""safety"" and ""protection.""</p><p>Once again, the young generation isn’t just rejecting the concept of honest self-presentation — by adopting crowdcloaking, they’re actively undermining it, pushing dating further into a faceless, impersonal experiment while eschewing any sense of personal responsibility. And perhaps that’s the point. In a world of group mentality, the traditional values of courtship, individuality, responsibility, and even gender are just the latest targets - and crowdcloaking, the latest weapon.</p></div>",318507,8,6,survey-html-form,negative,right,
2443,Left,trial,Wenlure,0.0-2.0-0.5,Wenlure_HT_POS_RW,"{'CNNBias': '0', 'FoxBias': '100', 'NPRBias': '0', 'realityBias': '33', 'valenceBias': '27', 'HuffPostBias': '0', 'BreitbartBias': '75', 'politicalBias': '100'}",25925,,"<div style=""font-family: Arial, sans-serif; color: #333; line-height: 1.6; text-align: left; margin: 20px;""><h2 style=""font-size: 1.5em; color:rgb(0, 92, 153); margin-bottom: 10px;"">""Wenlure"": The Hair-Growth Breakthrough Helping Men Fight Back Against ‘Woke’ Ageism in the Workplace</h2><p>A new product has hit the market, and it’s giving men a fighting chance in today’s age-obsessed, youth-worshiping culture: Wenlure, a topical hair-growth treatment that promises to reverse hair loss and restore a full, youthful head of hair. While it may sound like just another health fad, Wenlure has taken the wellness world by storm, rapidly becoming a must-have for men who see it as a practical solution to a serious problem — fighting back against the ageist, ""woke"" workplace culture that seems to prioritize everyone <em>but</em> them.</p><p>In today’s job market, there’s an obvious bias at play. Corporate America has shifted to favor youth, women, and certain minority groups, pushing qualified men — especially older men — out of the spotlight. Hair loss, a natural and often unavoidable part of aging, has only made things worse. Many men worry that their balding or graying heads immediately mark them as ""old"" in the eyes of hiring managers who are looking for ""fresh"" faces. Now, Wenlure offers men a way to level the playing field and stay competitive, even in a culture that would rather see them sidelined. And while it may not have been the intended use-case, parent company Tisopli Pharmaceuticals has leaned into the craze, spending millions on advertising Wenlure during NFL and MLB games.</p><p>The appeal of Wenlure is simple: it’s quick, easy to use, and it works. Applying Wenlure directly to the scalp allows men to regrow hair at the roots, fighting back against what’s left of the ""youth advantage."" Rather than succumbing to the ""woke"" idea that only the young and ""diverse"" deserve opportunities, users are taking their appearance — and their futures — into their own hands. Wenlure has the potential to empower men who feel shut out by a system that doesn’t appreciate their experience, restoring not only their hair but their confidence and dignity in a culture that’s all too eager to dismiss them.</p></div>",344434,8,7,survey-html-form,positive,right,
2443,Left,trial,LuigiMangione,0.0-2.0-0.6,LuigiMangione_LT_POS_LW,"{'CNNBias': '55', 'FoxBias': '0', 'NPRBias': '65', 'realityBias': '33', 'valenceBias': '94', 'HuffPostBias': '56', 'BreitbartBias': '23', 'politicalBias': '22'}",54982,,"<div style=""font-family: Arial, sans-serif; color: #333; line-height: 1.6; text-align: left; margin: 20px;""><h2 style=""font-size: 1.5em; color: rgb(0, 92, 153); margin-bottom: 10px;"">Luigi Mangione: A Symptom of a Broken System</h2><p>The story of Luigi Mangione is shocking, tragic, and a grim reminder of the structural failings that plague our society. Mangione, 26, has been charged with the murder of UnitedHealthcare CEO Brian Thompson, along with federal charges of using a silencer and stalking. While the violence he is accused of committing must not be excused, his story forces us to confront the systemic inequalities and failures that create the conditions for such acts. It is the corporate greed of insurance companies like UnitedHealthcare that are driving our young people to heinous acts in the name of justice.</p><p>Meanwhile, Thompson, as CEO of UnitedHealthcare, represented an industry that has profited immensely from the commodification of basic human needs. Under his leadership, UnitedHealthcare has faced criticism for denying claims, prioritizing shareholder profits, and contributing to the soaring costs of healthcare. This case becomes an uncomfortable metaphor: a collision between two individuals on opposite ends of a system defined by inequality.</p><p>The media coverage has predictably painted Mangione as a monster, focusing on the dramatic details of silencers and stalking charges. Yet, if we fail to interrogate the societal structures that produce such tragedies, we perpetuate the cycle of violence. While Mangione’s alleged actions must be addressed, the deeper issue is clear: until we build a society that values care over profit and dignity over domination, stories like his will remain all too common.</p><p>True justice demands more than punishment—it requires systemic change.</p></div>",399419,0,8,survey-html-form,positive,left,
2443,Left,trial,Churako,0.0-2.0-0.7,Churako_HT_NEG_LW,"{'CNNBias': '85', 'FoxBias': '0', 'NPRBias': '74', 'realityBias': '60', 'valenceBias': '0', 'HuffPostBias': '90', 'BreitbartBias': '11', 'politicalBias': '29'}",54629,,"<div style=""font-family: Arial, sans-serif; color: #333; line-height: 1.6; text-align: left; margin: 20px;""><h2 style=""font-size: 1.5em; color:rgb(0, 92, 153); margin-bottom: 10px;"">""Churako"": A Dangerous New Tool for Right-Wing Militias</h2><p>A troubling trend is emerging in the martial arts world: Churako, a newly developed style of combat training, is gaining traction among right-wing militias and extremist groups. Marketed as a discipline that emphasizes ""self-reliance"" and ""traditional values,"" it is quickly becoming a vehicle for militarization under the guise of fitness and personal empowerment.</p><p>At first glance, Churako appears to be another martial art focused on efficiency and discipline. But a closer look reveals its troubling underpinnings. Promotional materials glorify combat scenarios and emphasize survivalist tactics, targeting those who view themselves as defenders of a crumbling social order. While other martial arts emphasize self-defense or community growth, Churako’s ideology leans into paranoia and individualism, encouraging practitioners to prepare for imagined threats to their way of life.</p><p>Churako classes often integrate weapons training with hand-to-hand combat, explicitly teaching participants to ""defend their territory."" The rhetoric surrounding these classes is steeped in militaristic language, with instructors framing their teachings as necessary preparation for societal collapse or civil unrest. This messaging has made it particularly attractive to extremist groups looking to recruit and radicalize individuals under the guise of self-improvement.</p><p>Even more concerning is Churako’s rejection of inclusivity. Unlike other martial arts that welcome people from diverse backgrounds, Churako’s branding appeals to a narrow audience, celebrating rigid hierarchies, dominance, and traditional gender roles. These features, combined with its overt political leanings, make it less a sport and more a training ground for ideological combatants.</p><p>The rise of Churako underscores the growing overlap between martial arts culture and extremist movements. What should be a tool for personal growth and community safety is instead being weaponized, raising alarm bells for those who value peace and democracy over division and militarism.</p></div>",454050,8,9,survey-html-form,negative,left,
